seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13720,758415,5321,home,1,4-2-3-1,1,1,22,161822,Joshua Smits,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5321,home,1,4-2-3-1,1,1,20,252907,Dylan Pierias,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5321,home,1,4-2-3-1,1,1,7,195788,Ryan Kitto,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5321,home,1,4-2-3-1,1,1,23,296952,Luke Duzel,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5321,home,1,4-2-3-1,1,1,3,124962,Bart Vriends,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5321,home,1,4-2-3-1,1,1,4,357239,Panagiotis Kikianis,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5321,home,1,4-2-3-1,1,1,12,312891,Jonny Yull,Attacking Midfielder Right,7,0,0,-1,,,,1,144554,58,144554.0,4560.0,76',2025-10-18 05:20:05
13720,758415,5321,home,1,4-2-3-1,1,1,55,328924,Ethan Alagich,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5321,home,1,4-2-3-1,1,1,9,346468,Luka Jovanovic,Forward,9,0,0,-1,,,,1,147544,10,147544.0,4560.0,76',2025-10-18 05:20:05
13720,758415,5321,home,1,4-2-3-1,1,1,11,170754,Craig Goodwin,Attacking Midfielder,10,0,0,-1,,,,1,361719,62,361719.0,5340.0,89',2025-10-18 05:20:05
13720,758415,5321,home,1,4-2-3-1,1,1,19,286984,Yaya Dukuly,Attacking Midfielder Left,11,0,0,-1,,,,1,346464,36,346464.0,4260.0,71',2025-10-18 05:20:05
13720,758415,5321,home,1,4-2-3-1,1,0,58,144554,Harry Crawford,Substitute,0,1,312891,12,312891.0,4560.0,76',0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5321,home,1,4-2-3-1,1,0,79,392323,Feyzo Kasumovic,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5321,home,1,4-2-3-1,1,0,54,368566,Bailey O'Neil,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5321,home,1,4-2-3-1,1,0,62,361719,Fabian Talladira,Substitute,0,1,170754,11,170754.0,5340.0,89',0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5321,home,1,4-2-3-1,1,0,36,346464,Panashe Madanha,Substitute,0,1,286984,19,286984.0,4260.0,71',0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5321,home,1,4-2-3-1,1,0,40,328534,Ethan Cox,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5321,home,1,4-2-3-1,1,0,10,147544,Juan Muñiz,Substitute,0,1,346468,9,346468.0,4560.0,76',0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5327,away,0,4-4-2,1,1,12,386267,Harrison Devenish-Meares,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5327,away,0,4-4-2,1,1,23,130119,Rhyan Grant,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5327,away,0,4-4-2,1,1,16,276916,Joel King,Left Back,3,0,0,-1,,,,1,291696,4,291696.0,5280.0,88',2025-10-18 05:20:05
13720,758415,5327,away,0,4-4-2,1,1,36,351687,Rhys Youlley,Center Right Midfielder,4,0,0,-1,,,,1,381512,20,381512.0,5220.0,87',2025-10-18 05:20:05
13720,758415,5327,away,0,4-4-2,1,1,32,191942,Marcel Tisserand,Center Right Defender,5,0,0,-1,,,,1,328536,41,328536.0,5220.0,87',2025-10-18 05:20:05
13720,758415,5327,away,0,4-4-2,1,1,5,173189,Alex Grant,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5327,away,0,4-4-2,1,1,10,191001,Joe Lolley,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5327,away,0,4-4-2,1,1,24,403528,Paul Okon,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5327,away,0,4-4-2,1,1,7,316523,Piero Quispe,Center Left Forward,9,0,0,-1,,,,1,310562,13,310562.0,4800.0,80',2025-10-18 05:20:05
13720,758415,5327,away,0,4-4-2,1,1,9,284949,Víctor Campuzano,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5327,away,0,4-4-2,1,1,35,291694,Al Hassan Toure,Left Midfielder,11,0,0,-1,,,,1,383971,11,383971.0,3600.0,60',2025-10-18 05:20:05
13720,758415,5327,away,0,4-4-2,1,0,4,291696,Jordan Courtney-Perkins,Substitute,0,1,276916,16,276916.0,5280.0,88',0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5327,away,0,4-4-2,1,0,13,310562,Patrick Wood,Substitute,0,1,316523,7,316523.0,4800.0,80',0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5327,away,0,4-4-2,1,0,41,328536,Alexandar Popovic,Substitute,0,1,191942,32,191942.0,5220.0,87',0,0,-1,,,,2025-10-18 05:20:05
13720,758415,5327,away,0,4-4-2,1,0,1,368557,Gus Hoefsloot,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-18 05:20:05
