seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13644,754172,187,home,0,4-3-3,1,1,1,322058,Novak Micovic,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-03 05:13:17
13644,754172,187,home,0,4-3-3,1,1,2,238050,Miki Yamane,Right Back,2,0,0,-1,,,,1,287252,19,287252.0,4200.0,70',2025-10-03 05:13:17
13644,754172,187,home,0,4-3-3,1,1,3,297050,Julián Aude,Left Back,3,0,0,-1,,,,1,225615,14,225615.0,4200.0,70',2025-10-03 05:13:17
13644,754172,187,home,0,4-3-3,1,1,6,286198,Edwin Cerrillo,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-10-03 05:13:17
13644,754172,187,home,0,4-3-3,1,1,4,105803,Maya Yoshida,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-10-03 05:13:17
13644,754172,187,home,0,4-3-3,1,1,25,133963,Carlos Garcés,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-10-03 05:13:17
13644,754172,187,home,0,4-3-3,1,1,26,366047,Harbor Miller,Right Midfielder,7,0,0,-1,,,,1,304659,9,304659.0,4260.0,71',2025-10-03 05:13:17
13644,754172,187,home,0,4-3-3,1,1,22,287568,Elijah Wynder,Left Midfielder,8,0,0,-1,,,,1,246766,27,246766.0,5400.0,90'+5',2025-10-04 05:12:32
13644,754172,187,home,0,4-3-3,1,1,28,256843,Joseph Paintsil,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-10-03 05:13:17
13644,754172,187,home,0,4-3-3,1,1,11,295005,Gabriel Pec,Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-10-14 05:15:44
13644,754172,187,home,0,4-3-3,1,1,7,156187,Diego Fagundez,Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-10-03 05:13:17
13644,754172,187,home,0,4-3-3,1,0,5,111177,Mathias Jørgensen,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-03 05:13:17
