seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13141,727434,2750,home,1,4-1-4-1,1,1,1,288706,Solana Pereyra,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,1,4,336425,Catalina Roggerone,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,1,14,361698,Milagros Martín,Left Back,3,0,0,-1,,,,1,284170,3,284170.0,4860.0,81',2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,1,5,328195,Vanina Preininger,Defensive Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,1,13,313734,Sophie Braun,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,1,6,284172,Aldana Cometti,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,1,22,406322,Betina Soriano,Right Midfielder,7,0,0,-1,,,,1,313737,18,313737.0,4860.0,81',2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,1,8,298688,Daiana Falfán,Center Right Midfielder,8,0,0,-1,,,,1,384862,16,384862.0,3960.0,66',2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,1,11,284163,Yamila Rodríguez,Forward,9,0,0,-1,,,,1,331481,19,331481.0,3960.0,66',2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,1,15,284157,Florencia Bonsegundo,Center Left Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,1,10,331479,Maricel Pereyra,Left Midfielder,11,0,0,-1,,,,1,384866,9,384866.0,3960.0,66',2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,0,20,284175,Virginia Gómez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,0,18,313737,Carolina Troncoso,Substitute,0,1,406322,22,406322.0,4860.0,81',0,0,-1,,,,2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,0,12,402408,Renata Masciarelli,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,0,7,394352,Margarita Giménez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,0,9,384866,Kishi Núñez,Substitute,0,1,331479,10,331479.0,3960.0,66',0,0,-1,,,,2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,0,16,384862,Sofía Domínguez,Substitute,0,1,298688,8,298688.0,3960.0,66',0,0,-1,,,,2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,0,17,364453,Francisca Altgelt,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,0,23,364097,Abigaíl Chaves,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,0,2,284169,Adriana Sachs,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,0,3,284170,Eliana Stábile,Substitute,0,1,361698,14,361698.0,4860.0,81',0,0,-1,,,,2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,0,21,331482,Paulina Gramaglia,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,2750,home,1,4-1-4-1,1,0,19,331481,Agostina Holzlieier,Substitute,0,1,284163,11,284163.0,3960.0,66',0,0,-1,,,,2025-08-02 04:40:34
13141,727434,19960,away,0,4-4-2,1,1,12,397155,Agustina Miranda,Goalkeeper,1,0,0,-1,,,,1,286624,13,286624.0,5400.0,90'+4',2025-08-02 04:40:34
13141,727434,19960,away,0,4-4-2,1,1,4,286615,Carina Felipe,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,19960,away,0,4-4-2,1,1,7,327696,Stephanie Tregartten,Left Back,3,0,0,-1,,,,1,296593,6,296593.0,5400.0,90'+4',2025-08-02 04:40:34
13141,727434,19960,away,0,4-4-2,1,1,8,286623,Ximena Velazco,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,19960,away,0,4-4-2,1,1,2,288745,Stephanie Lacoste Gularte,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,19960,away,0,4-4-2,1,1,15,288742,Maria Fatima Barone Zaguera,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,19960,away,0,4-4-2,1,1,19,296589,Wendy Carballo,Right Midfielder,7,0,0,-1,,,,1,404634,5,404634.0,5040.0,84',2025-08-02 04:40:34
13141,727434,19960,away,0,4-4-2,1,1,9,286622,Pamela González,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,19960,away,0,4-4-2,1,1,11,286612,Esperanza Pizarro,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,19960,away,0,4-4-2,1,1,10,288744,Belen Aquino,Center Right Forward,10,0,0,-1,,,,1,407187,20,407187.0,4200.0,70',2025-08-02 04:40:34
13141,727434,19960,away,0,4-4-2,1,1,21,327984,Juliana Viera,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13141,727434,19960,away,0,4-4-2,1,0,13,286624,Sofía Olivera,Substitute,0,1,397155,12,397155.0,5400.0,90'+4',0,0,-1,,,,2025-08-02 04:40:34
13141,727434,19960,away,0,4-4-2,1,0,6,296593,Sindy Ramírez,Substitute,0,1,327696,7,327696.0,5400.0,90'+4',0,0,-1,,,,2025-08-02 04:40:34
