seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13110,726768,882,home,0,4-4-2,1,1,12,253655,David Cabezas,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-02-20 05:49:20
13110,726768,882,home,0,4-4-2,1,1,30,255385,Franklin Carabalí,Right Back,2,0,0,-1,,,,1,314924,4,314924.0,3189.0,54',2025-02-20 05:49:20
13110,726768,882,home,0,4-4-2,1,1,19,302172,Eddy Mejía,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-02-20 05:49:20
13110,726768,882,home,0,4-4-2,1,1,29,32687,Jose Cevallos,Center Right Midfielder,4,0,0,-1,,,,1,241243,16,241243.0,3922.0,66',2025-02-20 05:49:20
13110,726768,882,home,0,4-4-2,1,1,32,208045,Anthony Bedoya,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-02-20 05:49:20
13110,726768,882,home,0,4-4-2,1,1,5,228489,José Flor,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-02-20 05:49:20
13110,726768,882,home,0,4-4-2,1,1,7,190615,Jeison Chala,Right Midfielder,7,0,0,-1,,,,1,34150,10,34150.0,3908.0,66',2025-02-20 05:49:20
13110,726768,882,home,0,4-4-2,1,1,6,302170,Marcos Olmedo,Center Left Midfielder,8,0,0,-1,,,,1,302189,14,302189.0,4652.0,78',2025-02-20 05:49:20
13110,726768,882,home,0,4-4-2,1,1,21,144900,Ángel Ledesma,Center Left Forward,9,0,0,-1,,,,1,145626,17,145626.0,4650.0,78',2025-02-20 05:49:20
13110,726768,882,home,0,4-4-2,1,1,8,130615,Fidel Martínez,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-02-20 05:49:20
13110,726768,882,home,0,4-4-2,1,1,20,388380,Jawer Guisamano,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-02-20 05:49:20
13110,726768,882,home,0,4-4-2,1,0,18,259934,Bryan Rivera,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-20 05:49:20
13110,726768,882,home,0,4-4-2,1,0,24,24110,Fernando Mora,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-20 05:49:20
13110,726768,882,home,0,4-4-2,1,0,4,314924,Rommel Cabezas,Substitute,0,1,255385,30,255385.0,3189.0,54',0,0,-1,,,,2025-02-20 05:49:20
13110,726768,882,home,0,4-4-2,1,0,14,302189,Darío Pazmiño,Substitute,0,1,302170,6,302170.0,4652.0,78',0,0,-1,,,,2025-02-20 05:49:20
13110,726768,882,home,0,4-4-2,1,0,10,34150,Jonathan Borja,Substitute,0,1,190615,7,190615.0,3908.0,66',0,0,-1,,,,2025-02-20 05:49:20
13110,726768,882,home,0,4-4-2,1,0,13,104678,Edison Caicedo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-20 05:49:20
13110,726768,882,home,0,4-4-2,1,0,15,248859,Adrián Cela,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-20 05:49:20
