seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13779,759492,2550,home,0,,1,1,-1,379506,Elián Sosa,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759492,4039,away,0,,1,1,15,187952,Hrvoje Milicevic,Defender,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759495,21530,home,1,,1,1,45,302943,Ross McCausland,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759495,21530,home,1,,1,1,5,333132,Alex Moussounda,Defender,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759495,550,away,0,,1,1,-1,239964,Vieirinha,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759496,131456,home,1,,1,1,-1,166993,Yevhen Budnik,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759496,131456,home,1,,1,1,-1,170673,Nikola Trujic,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759496,131459,away,0,,1,1,-1,233721,Jorginho,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759497,617,home,1,,1,1,6,238920,Carel Eiting,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759497,4039,away,0,,1,1,11,189041,Riad Bajic,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759498,550,home,0,,1,1,-1,326589,Iasonas Pikis,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759498,131456,away,0,,1,1,-1,210398,Maxime Do Couto Teixeira,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759499,131460,home,0,,1,1,-1,237731,Thomas Ioannou,Defender,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759499,2497,away,1,,1,1,-1,297085,Diego Rosa,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759499,2497,away,1,,1,1,-1,339003,Gabriel Maioli,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759499,2497,away,1,,1,1,-1,306354,Marius Dumitru Corbu,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759499,2497,away,1,,1,1,-1,189646,Konstantinos Laifis,Defender,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759500,4045,home,1,,1,1,-1,229855,Nicolás Andereggen,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759500,2550,away,0,,1,1,-1,237629,Fanos Katelaris,Defender,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759501,131459,home,0,,1,1,-1,411794,Mohamed Ashraf,Defender,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759501,22281,away,1,,1,1,26,194767,Ivan Sunjic,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759501,22281,away,1,,1,1,7,258886,Bruno,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759502,525,home,1,,1,1,44,220704,Josef Kvida,Defender,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759502,525,home,1,,1,1,9,294352,Sergio Castel,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759502,131461,away,0,,1,1,3,411779,Andreas Christofi,Defender,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759503,617,home,1,,1,1,74,366462,Panagiotis Andreou,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759503,617,home,1,,1,1,85,365315,Angelos Neophytou,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759503,617,home,1,,1,1,5,274954,Senou Coulibaly,Defender,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759503,617,home,1,,1,1,7,271675,Willy Semedo,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759503,617,home,1,,1,1,31,279962,Ioannis Kousoulos,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759503,8357,away,0,,1,1,-1,411793,Theokleitos Polychroniou,Defender,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759504,4039,home,1,,1,1,7,157344,Gus Ledes,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759504,4039,home,1,,1,1,15,187952,Hrvoje Milicevic,Defender,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759504,4039,home,1,,1,1,9,268618,Dorde Ivanovic,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759504,21530,away,0,,1,1,45,302943,Ross McCausland,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759504,21530,away,0,,1,1,66,366131,Jaden Montnor,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759505,22281,home,1,,1,1,88,155143,Pêpê,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2025-10-22 05:13:45
13779,759505,22281,home,1,,1,1,17,194277,Mislav Orsic,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759505,22281,home,1,,1,1,8,236708,Domingos Quina,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759505,131461,away,0,,1,1,4,411761,Sean Ioannou,Defender,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759506,21530,home,1,,1,1,45,302943,Ross McCausland,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759506,21530,home,1,,1,1,80,305500,Andronikos Kakoulis,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759506,21530,home,1,,1,1,14,238396,Arthur Gomis,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759506,4045,away,0,,1,1,-1,307688,Konstantinos Venizelos,Defender,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759507,22281,home,1,,1,1,33,36807,Anderson Silva,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13779,759507,22281,home,1,,1,1,10,238804,Landry Dimata,Forward,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
