seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13180,729467,882,home,0,4-2-3-1,1,1,12,253655,David Cabezas,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
13180,729467,882,home,0,4-2-3-1,1,1,25,180888,Marco Montaño,Right Back,2,0,0,-1,,,,1,104678,13,104678.0,4680.0,78',2025-02-02 14:50:29
13180,729467,882,home,0,4-2-3-1,1,1,24,24110,Fernando Mora,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
13180,729467,882,home,0,4-2-3-1,1,1,17,145626,Charles Vélez,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
13180,729467,882,home,0,4-2-3-1,1,1,32,208045,Anthony Bedoya,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
13180,729467,882,home,0,4-2-3-1,1,1,4,314924,Rommel Cabezas,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
13180,729467,882,home,0,4-2-3-1,1,1,20,388380,Jawer Guisamano,Attacking Midfielder Right,7,0,0,-1,,,,1,302170,6,302170.0,4680.0,78',2025-02-02 14:50:29
13180,729467,882,home,0,4-2-3-1,1,1,14,302189,Darío Pazmiño,Right Midfielder,8,0,0,-1,,,,1,248859,15,248859.0,4680.0,78',2025-02-02 14:50:29
13180,729467,882,home,0,4-2-3-1,1,1,16,241243,Jhon Cifuente,Forward,9,0,0,-1,,,,1,144900,21,144900.0,5340.0,89',2025-02-02 14:50:29
13180,729467,882,home,0,4-2-3-1,1,1,29,399458,José Ceballos,Attacking Midfielder,10,0,0,-1,,,,1,130615,8,130615.0,5340.0,89',2025-02-02 14:50:29
13180,729467,882,home,0,4-2-3-1,1,1,19,302172,Eddy Mejía,Attacking Midfielder Left,11,0,0,-1,,,,1,228489,5,228489.0,1320.0,22',2025-02-02 14:50:29
13180,729467,882,home,0,4-2-3-1,1,0,13,104678,Edison Caicedo,Substitute,0,1,180888,25,180888.0,4680.0,78',0,0,-1,,,,2025-02-02 14:50:29
13180,729467,882,home,0,4-2-3-1,1,0,6,302170,Marcos Olmedo,Substitute,0,1,388380,20,388380.0,4680.0,78',0,0,-1,,,,2025-02-02 14:50:29
13180,729467,882,home,0,4-2-3-1,1,0,15,248859,Adrián Cela,Substitute,0,1,302189,14,302189.0,4680.0,78',0,0,-1,,,,2025-02-02 14:50:29
13180,729467,882,home,0,4-2-3-1,1,0,5,228489,José Flor,Substitute,0,1,302172,19,302172.0,1320.0,22',0,0,-1,,,,2025-02-02 14:50:29
13180,729467,882,home,0,4-2-3-1,1,0,1,228482,Leodan Chalá,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
13180,729467,882,home,0,4-2-3-1,1,0,77,190615,Jeison Chala,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
13180,729467,882,home,0,4-2-3-1,1,0,21,144900,Ángel Ledesma,Substitute,0,1,241243,16,241243.0,5340.0,89',0,0,-1,,,,2025-02-02 14:50:29
13180,729467,882,home,0,4-2-3-1,1,0,8,130615,Fidel Martínez,Substitute,0,1,399458,29,399458.0,5340.0,89',0,0,-1,,,,2025-02-02 14:50:29
13180,729467,882,home,0,4-2-3-1,1,0,28,259934,Bryan Rivera,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,1,22,95614,Alexander Domínguez,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,1,31,336876,Daniel de La Cruz,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,1,33,269885,Leonel Quiñonez,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,1,8,199963,Carlos Gruezo,Defensive Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,1,4,188106,Ricardo Adé,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,1,30,358763,Gian Franco Allala,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,1,29,236049,Bryan Ramirez,Right Midfielder,7,0,0,-1,,,,1,269890,17,269890.0,5400.0,90'+6',2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,1,15,283647,Gabriel Villamil,Center Right Midfielder,8,0,0,-1,,,,1,249848,11,249848.0,2700.0,45',2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,1,19,257754,Alex Arce,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,1,20,82355,Fernando Cornejo,Center Left Midfielder,10,0,0,-1,,,,1,287404,10,287404.0,4260.0,71',2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,1,7,338866,Lautaro Pastran,Left Midfielder,11,0,0,-1,,,,1,216651,9,216651.0,1680.0,28',2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,0,11,249848,Michael Estrada,Substitute,0,1,283647,15,283647.0,2700.0,45',0,0,-1,,,,2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,0,6,224147,Darío Aimar,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,0,17,269890,Freddy Mina,Substitute,0,1,236049,29,236049.0,5400.0,90'+6',0,0,-1,,,,2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,0,9,216651,Lisandro Alzugaray,Substitute,0,1,338866,7,338866.0,1680.0,28',0,0,-1,,,,2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,0,10,287404,Alexander Alvarado,Substitute,0,1,82355,20,82355.0,4260.0,71',0,0,-1,,,,2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,0,5,207896,Kevin Minda,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,0,1,131726,Gonzalo Valle,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,0,2,359820,Yeltzin Erique,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
13180,729467,4816,away,1,4-1-4-1,1,0,21,389361,Ederson Castillo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-02 14:50:29
