seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13534,745152,301,home,1,3-4-2-1,1,1,24,342864,Joshua Keeley,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745152,301,home,1,3-4-2-1,1,1,2,327168,Reuell Walters,Right Midfielder,2,0,0,-1,,,,1,290105,6,290105.0,5280.0,88',2025-08-02 04:40:34
13534,745152,301,home,1,3-4-2-1,1,1,17,308022,Nigel Lonwijk,Left Midfielder,3,0,0,-1,,,,1,347289,37,347289.0,4020.0,67',2025-08-02 04:40:34
13534,745152,301,home,1,3-4-2-1,1,1,3,152200,Kal Naismith,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745152,301,home,1,3-4-2-1,1,1,5,236457,Mads Andersen,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745152,301,home,1,3-4-2-1,1,1,28,362476,Christ Makosso,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745152,301,home,1,3-4-2-1,1,1,8,16040,Liam Walsh,Center Right Midfielder,7,0,0,-1,,,,1,263113,26,263113.0,4800.0,80',2025-08-02 04:40:34
13534,745152,301,home,1,3-4-2-1,1,1,23,175323,George Saville,Center Left Midfielder,8,0,0,-1,,,,1,361838,22,361838.0,4020.0,67',2025-08-02 04:40:34
13534,745152,301,home,1,3-4-2-1,1,1,21,155228,Nahki Wells,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745152,301,home,1,3-4-2-1,1,1,18,157473,Jordan Clark,Center Right Forward,10,0,0,-1,,,,1,153570,10,153570.0,4800.0,80',2025-08-02 04:40:34
13534,745152,301,home,1,3-4-2-1,1,1,7,324205,Millenic Alli,Center Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745152,301,home,1,3-4-2-1,1,0,1,141147,James Shea,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745152,301,home,1,3-4-2-1,1,0,22,361838,Lamine Dabo,Substitute,0,1,175323,23,175323.0,4020.0,67',0,0,-1,,,,2025-08-02 04:40:34
13534,745152,301,home,1,3-4-2-1,1,0,30,352196,Gideon Kodua,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745152,301,home,1,3-4-2-1,1,0,37,347289,Zack Nelson,Substitute,0,1,308022,17,308022.0,4020.0,67',0,0,-1,,,,2025-08-02 04:40:34
13534,745152,301,home,1,3-4-2-1,1,0,6,290105,Mark McGuinness,Substitute,0,1,327168,2,327168.0,5280.0,88',0,0,-1,,,,2025-08-02 04:40:34
13534,745152,301,home,1,3-4-2-1,1,0,26,263113,Shandon Baptiste,Substitute,0,1,16040,8,16040.0,4800.0,80',0,0,-1,,,,2025-08-02 04:40:34
13534,745152,301,home,1,3-4-2-1,1,0,10,153570,Cauley Woodrow,Substitute,0,1,157473,18,157473.0,4800.0,80',0,0,-1,,,,2025-08-02 04:40:34
13534,745152,3802,away,0,3-4-2-1,1,1,1,254194,Nathan Bishop,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745152,3802,away,0,3-4-2-1,1,1,2,362488,Nathan Asilmwe,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745152,3802,away,0,3-4-2-1,1,1,3,270304,Steve Seddon,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745152,3802,away,0,3-4-2-1,1,1,6,75642,Ryan Johnson,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745152,3802,away,0,3-4-2-1,1,1,31,279145,Joe Lewis,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745152,3802,away,0,3-4-2-1,1,1,33,324680,Isaac Ogundere,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745152,3802,away,0,3-4-2-1,1,1,4,157669,Jake Reeves,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745152,3802,away,0,3-4-2-1,1,1,12,282750,Alistair Smith,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745152,3802,away,0,3-4-2-1,1,1,14,211297,Mathew Stevens,Forward,9,0,0,-1,,,,1,308403,7,308403.0,4200.0,70',2025-08-02 04:40:34
13534,745152,3802,away,0,3-4-2-1,1,1,21,197233,Myles Hippolyte,Center Right Forward,10,0,0,-1,,,,1,330236,29,330236.0,5280.0,88',2025-08-02 04:40:34
13534,745152,3802,away,0,3-4-2-1,1,1,10,167788,Josh Kelly,Center Left Forward,11,0,0,-1,,,,1,306714,16,306714.0,4800.0,80',2025-08-02 04:40:34
13534,745152,3802,away,0,3-4-2-1,1,0,8,241311,Callum Maycock,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745152,3802,away,0,3-4-2-1,1,0,20,144376,Joe McDonnell,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745152,3802,away,0,3-4-2-1,1,0,29,330236,Aron Sasu,Substitute,0,1,197233,21,197233.0,5280.0,88',0,0,-1,,,,2025-08-02 04:40:34
13534,745152,3802,away,0,3-4-2-1,1,0,7,308403,Danilo Orsi-Dadomo,Substitute,0,1,211297,14,211297.0,4200.0,70',0,0,-1,,,,2025-08-02 04:40:34
13534,745152,3802,away,0,3-4-2-1,1,0,16,306714,Antwoine Hackford,Substitute,0,1,167788,10,167788.0,4800.0,80',0,0,-1,,,,2025-08-02 04:40:34
13534,745152,3802,away,0,3-4-2-1,1,0,9,252914,Omar Chaaban,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745152,3802,away,0,3-4-2-1,1,0,26,316553,Riley Harbottle,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-02 04:40:34
13534,745153,347,home,1,4-1-4-1,1,1,41,290843,Matthew Turner,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13534,745153,347,home,1,4-1-4-1,1,1,44,388826,Ronan Kpakio,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13534,745153,347,home,1,4-1-4-1,1,1,3,302640,Joel Bagan,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13534,745153,347,home,1,4-1-4-1,1,1,6,223831,Ryan Wintle,Defensive Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13534,745153,347,home,1,4-1-4-1,1,1,48,384035,Dylan Lawlor,Center Right Defender,5,0,0,-1,,,,1,300089,5,300089.0,3840.0,64',2025-08-03 04:40:32
13534,745153,347,home,1,4-1-4-1,1,1,2,296621,William Fish,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13534,745153,347,home,1,4-1-4-1,1,1,11,293212,Ollie Tanner,Right Midfielder,7,0,0,-1,,,,1,313087,39,313087.0,5400.0,90'+1',2025-08-03 04:40:32
13534,745153,347,home,1,4-1-4-1,1,1,27,347306,Joel Colwill,Center Right Midfielder,8,0,0,-1,,,,1,329986,24,329986.0,5400.0,90'+2',2025-08-03 04:40:32
13534,745153,347,home,1,4-1-4-1,1,1,22,320915,Yousef Salech,Forward,9,0,0,-1,,,,1,194272,47,194272.0,4620.0,77',2025-08-03 04:40:32
13534,745153,347,home,1,4-1-4-1,1,1,10,313225,Rubin Colwill,Center Left Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13534,745153,347,home,1,4-1-4-1,1,1,45,367502,Cian Ashford,Left Midfielder,11,0,0,-1,,,,1,222154,16,222154.0,4620.0,77',2025-08-03 04:40:32
13534,745153,347,home,1,4-1-4-1,1,0,21,163197,Jak Alnwick,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13534,745153,347,home,1,4-1-4-1,1,0,47,194272,Callum Robinson,Substitute,0,1,320915,22,320915.0,4620.0,77',0,0,-1,,,,2025-08-03 04:40:32
13534,745153,347,home,1,4-1-4-1,1,0,16,222154,Chris Willock,Substitute,0,1,367502,45,367502.0,4620.0,77',0,0,-1,,,,2025-08-03 04:40:32
13534,745153,347,home,1,4-1-4-1,1,0,5,300089,Jesper Daland,Substitute,0,1,384035,48,384035.0,3840.0,64',0,0,-1,,,,2025-08-03 04:40:32
13534,745153,347,home,1,4-1-4-1,1,0,39,313087,Isaak Davies,Substitute,0,1,293212,11,293212.0,5400.0,90'+1',0,0,-1,,,,2025-08-03 04:40:32
