seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13504,743268,384,home,1,3-4-2-1,1,1,1,234172,Dean Henderson,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-11 04:41:30
13504,743268,384,home,1,3-4-2-1,1,1,2,146679,Daniel Muñoz,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2025-08-11 04:41:30
13504,743268,384,home,1,3-4-2-1,1,1,3,300853,Tyrick Mitchell,Left Midfielder,3,0,0,-1,,,,1,228319,24,228319.0,4740.0,79',2025-08-11 04:41:30
13504,743268,384,home,1,3-4-2-1,1,1,6,265907,Marc Guéhi,Center Left Defender,4,0,0,-1,,,,1,291468,55,291468.0,5400.0,90'+4',2025-08-11 04:41:30
13504,743268,384,home,1,3-4-2-1,1,1,5,265918,Maxence Lacroix,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-11 04:41:30
13504,743268,384,home,1,3-4-2-1,1,1,26,272585,Chris Richards,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-08-11 04:41:30
13504,743268,384,home,1,3-4-2-1,1,1,20,333419,Adam Wharton,Center Right Midfielder,7,0,0,-1,,,,1,197399,8,197399.0,5100.0,85',2025-08-11 04:41:30
13504,743268,384,home,1,3-4-2-1,1,1,18,219362,Daichi Kamada,Center Left Midfielder,8,0,0,-1,,,,1,168421,19,168421.0,1740.0,29',2025-08-11 04:41:30
13504,743268,384,home,1,3-4-2-1,1,1,14,241187,Jean-Philippe Mateta,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-08-11 04:41:30
13504,743268,384,home,1,3-4-2-1,1,1,7,241012,Ismaïla Sarr,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-08-11 04:41:30
13504,743268,384,home,1,3-4-2-1,1,1,10,251400,Eberechi Eze,Center Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-08-11 04:41:30
13504,743268,384,home,1,3-4-2-1,1,0,17,127865,Nathaniel Clyne,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-11 04:41:30
13504,743268,384,home,1,3-4-2-1,1,0,55,291468,Justin Devenny,Substitute,0,1,265907,6,265907.0,5400.0,90'+4',0,0,-1,,,,2025-08-11 04:41:30
