seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13541,758184,399,home,0,3-5-2,1,1,24,192027,Ethan Horvath,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13541,758184,399,home,0,3-5-2,1,1,19,386590,Olaf Kobacki,Right Midfielder,2,0,0,-1,,,,1,387770,22,387770.0,2168.0,37',2025-09-17 05:14:04
13541,758184,399,home,0,3-5-2,1,1,27,408684,Reece Johnson,Left Midfielder,3,0,0,-1,,,,1,409132,33,409132.0,2179.0,37',2025-09-17 05:14:04
13541,758184,399,home,0,3-5-2,1,1,28,400733,Cole Mcghee,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13541,758184,399,home,0,3-5-2,1,1,30,409131,Ernie Weaver,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13541,758184,399,home,0,3-5-2,1,1,32,409130,Joe Emery,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13541,758184,399,home,0,3-5-2,1,1,4,352803,Sean Fusire,Center Right Midfielder,7,0,0,-1,,,,1,130079,10,130079.0,4251.0,71',2025-09-17 05:14:04
13541,758184,399,home,0,3-5-2,1,1,37,408682,Jarvis Thornton,Center Left Midfielder,8,0,0,-1,,,,1,325548,17,325548.0,5147.0,86',2025-09-17 05:14:04
13541,758184,399,home,0,3-5-2,1,1,29,250648,George Brown,Center Left Forward,9,0,0,-1,,,,1,225545,11,225545.0,4248.0,71',2025-09-17 05:14:04
13541,758184,399,home,0,3-5-2,1,1,9,178089,Jamal Lowe,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13541,758184,399,home,0,3-5-2,1,1,20,352805,Rio Shipston,Attacking Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13541,758184,399,home,0,3-5-2,1,0,2,143632,Liam Palmer,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13541,758184,399,home,0,3-5-2,1,0,10,130079,Barry Bannan,Substitute,0,1,352803,4,352803.0,4251.0,71',0,0,-1,,,,2025-09-17 05:14:04
13541,758184,399,home,0,3-5-2,1,0,11,225545,Ike Ugbo,Substitute,0,1,250648,29,250648.0,4248.0,71',0,0,-1,,,,2025-09-17 05:14:04
13541,758184,399,home,0,3-5-2,1,0,41,388883,Favour Onukwuli,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13541,758184,399,home,0,3-5-2,1,0,17,325548,Charlie McNeill,Substitute,0,1,408682,37,408682.0,5147.0,86',0,0,-1,,,,2025-09-17 05:14:04
13541,758184,399,home,0,3-5-2,1,0,22,387770,Gabriel Otegbayo,Substitute,0,1,386590,19,386590.0,2168.0,37',0,0,-1,,,,2025-09-17 05:14:04
13541,758184,399,home,0,3-5-2,1,0,25,408683,Logan Stretch,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13541,758184,399,home,0,3-5-2,1,0,33,409132,Yisa Alao,Substitute,0,1,408684,27,408684.0,2179.0,37',0,0,-1,,,,2025-09-17 05:14:04
13541,758184,399,home,0,3-5-2,1,0,31,409133,Will Grainger,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13541,758184,386,away,1,4-1-4-1,1,1,1,223887,Christy Pym,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13541,758184,386,away,1,4-1-4-1,1,1,5,242604,Harvey Rodgers,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13541,758184,386,away,1,4-1-4-1,1,1,16,267873,Reece Staunton,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13541,758184,386,away,1,4-1-4-1,1,1,20,248765,George McEachran,Defensive Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13541,758184,386,away,1,4-1-4-1,1,1,21,238722,Tyrell Warren,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13541,758184,386,away,1,4-1-4-1,1,1,17,245531,Cameron Mcjannett,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13541,758184,386,away,1,4-1-4-1,1,1,14,241305,Justin Amaluzor,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13541,758184,386,away,1,4-1-4-1,1,1,4,212808,Kieran Green,Center Right Midfielder,8,0,0,-1,,,,1,169045,7,169045.0,3174.0,53',2025-09-17 05:14:04
13541,758184,386,away,1,4-1-4-1,1,1,9,312533,Jaze Kabia,Forward,9,0,0,-1,,,,1,284488,29,284488.0,4685.0,79',2025-09-17 05:14:04
13541,758184,386,away,1,4-1-4-1,1,1,8,294300,Evan Khouri,Center Left Midfielder,10,0,0,-1,,,,1,384283,12,384283.0,5188.0,87',2025-09-17 05:14:04
13541,758184,386,away,1,4-1-4-1,1,1,30,192114,Charles Vernam,Left Midfielder,11,0,0,-1,,,,1,317640,18,317640.0,4677.0,78',2025-09-17 05:14:04
13541,758184,386,away,1,4-1-4-1,1,0,12,384283,Neo Eccleston,Substitute,0,1,294300,8,294300.0,5188.0,87',0,0,-1,,,,2025-09-17 05:14:04
13541,758184,386,away,1,4-1-4-1,1,0,33,358301,Charlie Casper,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
