seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13564,748524,12597,home,1,4-2-3-1,1,1,13,189960,Ander Cantero,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,1,4,233278,Anderson Arroyo,Right Back,2,0,0,-1,,,,1,375963,2,375963.0,4860.0,81',2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,1,12,213890,Florian Miguel,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,1,5,264124,Miguel Atienza,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,1,18,213024,Aitor Córdoba,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,1,8,259821,Gregorio Sierra,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,1,14,346404,David González,Attacking Midfielder Right,7,0,0,-1,,,,1,395588,17,395588.0,5160.0,86',2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,1,23,297369,Ivan Ruiz Morante,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,1,9,301684,Fernando Niño,Forward,9,0,0,-1,,,,1,325552,7,325552.0,4860.0,81',2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,1,16,231344,Curro,Attacking Midfielder,10,0,0,-1,,,,1,324482,19,324482.0,3840.0,64',2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,1,21,227414,Iñigo Córdoba,Attacking Midfielder Left,11,0,0,-1,,,,1,276262,10,276262.0,3840.0,64',2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,0,32,409299,Ethan Ventosa,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,0,6,268602,Sergio González,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,0,10,276262,Kevin Appin,Substitute,0,1,227414,21,227414.0,3840.0,64',0,0,-1,,,,2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,0,31,279504,Fermín García,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,0,19,324482,Iván Chapela,Substitute,0,1,231344,16,231344.0,3840.0,64',0,0,-1,,,,2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,0,7,325552,Mateo Mejia,Substitute,0,1,301684,9,301684.0,4860.0,81',0,0,-1,,,,2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,0,22,331721,Brais Martínez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,0,28,332595,Saúl Del Cerro,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,0,2,375963,Álex Lizancos,Substitute,0,1,233278,4,233278.0,4860.0,81',0,0,-1,,,,2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,0,33,388525,Marcelo Expósito,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,0,17,395588,Mario Cantero,Substitute,0,1,346404,14,346404.0,5160.0,86',0,0,-1,,,,2025-08-16 04:52:22
13564,748524,12597,home,1,4-2-3-1,1,0,37,395802,Marc Monedero,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-16 04:52:22
13564,748524,10629,away,0,4-2-3-1,1,1,13,169785,Edgar Badía,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-16 04:52:22
13564,748524,10629,away,0,4-2-3-1,1,1,24,203680,Víctor García,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-08-16 04:52:22
13564,748524,10629,away,0,4-2-3-1,1,1,33,325545,Juan Larios,Left Back,3,0,0,-1,,,,1,393785,2,393785.0,5040.0,84',2025-08-16 04:52:22
13564,748524,10629,away,0,4-2-3-1,1,1,27,367996,Selu Diallo,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-08-16 04:52:22
13564,748524,10629,away,0,4-2-3-1,1,1,5,268589,Quique Fornos,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-16 04:52:22
