seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13735,759747,9028,home,0,4-2-3-1,1,1,1,354620,Josan,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-29 05:15:49
13735,759747,9028,home,0,4-2-3-1,1,1,15,350102,Miguel Acosta,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-10-29 05:15:49
13735,759747,9028,home,0,4-2-3-1,1,1,23,332039,Juan Durán,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-10-29 05:15:49
13735,759747,9028,home,0,4-2-3-1,1,1,6,307512,Dani Vidal,Left Midfielder,4,0,0,-1,,,,1,394747,8,394747.0,4320.0,72',2025-10-29 05:15:49
13735,759747,9028,home,0,4-2-3-1,1,1,4,231813,Daniel Ramos,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-10-29 05:15:49
13735,759747,9028,home,0,4-2-3-1,1,1,26,413195,Javier Tejedor,Center Left Defender,6,0,0,-1,,,,1,312971,16,312971.0,2700.0,45',2025-10-29 05:15:49
13735,759747,9028,home,0,4-2-3-1,1,1,14,311932,Yuya Yoshimura,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2025-10-29 05:15:49
13735,759747,9028,home,0,4-2-3-1,1,1,21,154728,Alejandro Barba,Right Midfielder,8,0,0,-1,,,,1,271637,11,271637.0,2700.0,45',2025-10-29 05:15:49
13735,759747,9028,home,0,4-2-3-1,1,1,9,413173,Ilies Hassaine,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-10-29 05:15:49
13735,759747,9028,home,0,4-2-3-1,1,1,17,375744,Koke San José,Attacking Midfielder,10,0,0,-1,,,,1,157709,7,157709.0,2700.0,45',2025-10-29 05:15:49
13735,759747,9028,home,0,4-2-3-1,1,1,10,279687,Daniel Plomer,Attacking Midfielder Left,11,0,0,-1,,,,1,412026,28,412026.0,4020.0,67',2025-10-29 05:15:49
13735,759747,9028,home,0,4-2-3-1,1,0,8,394747,Antonio Amaro Mendo,Substitute,0,1,307512,6,307512.0,4320.0,72',0,0,-1,,,,2025-10-29 05:15:49
13735,759747,9028,home,0,4-2-3-1,1,0,11,271637,Pol Prats,Substitute,0,1,154728,21,154728.0,2700.0,45',0,0,-1,,,,2025-10-29 05:15:49
13735,759747,9028,home,0,4-2-3-1,1,0,7,157709,Alberto Noguera,Substitute,0,1,375744,17,375744.0,2700.0,45',0,0,-1,,,,2025-10-29 05:15:49
13735,759747,9028,home,0,4-2-3-1,1,0,16,312971,Javí Martín,Substitute,0,1,413195,26,413195.0,2700.0,45',0,0,-1,,,,2025-10-29 05:15:49
13735,759747,9028,home,0,4-2-3-1,1,0,20,389759,Sergio Carmona,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-29 05:15:49
13735,759747,9028,home,0,4-2-3-1,1,0,28,412026,Iñigo Ramos,Substitute,0,1,279687,10,279687.0,4020.0,67',0,0,-1,,,,2025-10-29 05:15:49
13735,759747,9028,home,0,4-2-3-1,1,0,27,413197,Javier Gordo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-29 05:15:49
13735,759747,9028,home,0,4-2-3-1,1,0,29,413201,Cheikh Sall,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-29 05:15:49
13735,759747,9028,home,0,4-2-3-1,1,0,30,414074,Savo Veinovich,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13735,759747,5428,away,1,4-4-2,1,1,1,393808,Jaime González,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-29 05:15:49
13735,759747,5428,away,1,4-4-2,1,1,22,239195,Fran Rodríguez,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-10-29 05:15:49
13735,759747,5428,away,1,4-4-2,1,1,2,333210,David Cuenca Barreno,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-10-29 05:15:49
13735,759747,5428,away,1,4-4-2,1,1,6,299218,Roberto Doncel,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-10-29 05:15:49
13735,759747,5428,away,1,4-4-2,1,1,4,332728,Álvaro López,Center Right Defender,5,0,0,-1,,,,1,353686,5,353686.0,3660.0,61',2025-10-29 05:15:49
13735,759747,5428,away,1,4-4-2,1,1,23,264081,Manuel Farrando,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-10-29 05:15:49
13735,759747,5428,away,1,4-4-2,1,1,11,331952,Edu Gallardo,Right Midfielder,7,0,0,-1,,,,1,412012,8,412012.0,3660.0,61',2025-10-29 05:15:49
13735,759747,5428,away,1,4-4-2,1,1,18,260725,Pedro Capó,Center Left Midfielder,8,0,0,-1,,,,1,354414,10,354414.0,4980.0,83',2025-10-29 05:15:49
13735,759747,5428,away,1,4-4-2,1,1,7,216205,Gonzalo Di Renzo,Center Left Forward,9,0,0,-1,,,,1,368435,9,368435.0,4620.0,77',2025-10-29 05:15:49
13735,759747,5428,away,1,4-4-2,1,1,21,283863,Sergio Montero,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-10-29 05:15:49
13735,759747,5428,away,1,4-4-2,1,1,15,300312,Nahuel Arroyo,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-10-29 05:15:49
