seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13673,759819,131386,home,0,4-2-3-1,1,1,1,414152,Victoria Hernando,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-06 06:13:20
13673,759819,131386,home,0,4-2-3-1,1,1,18,381502,Saioa Martínez,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-11-06 06:13:20
13673,759819,131386,home,0,4-2-3-1,1,1,16,414240,Mireia Hinojal,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-11-06 06:13:20
13673,759819,131386,home,0,4-2-3-1,1,1,4,414244,Elena González,Left Midfielder,4,0,0,-1,,,,1,414242,12,414242.0,5160.0,86',2025-11-07 06:11:40
13673,759819,131386,home,0,4-2-3-1,1,1,21,414153,Esperanza Cuello,Center Right Defender,5,0,0,-1,,,,1,414251,22,414251.0,5160.0,86',2025-11-06 06:13:20
13673,759819,131386,home,0,4-2-3-1,1,1,3,414154,Anlly Taborda,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-11-06 06:13:20
13673,759819,131386,home,0,4-2-3-1,1,1,11,414247,Ana Herrera,Attacking Midfielder Right,7,0,0,-1,,,,1,414469,15,414469.0,3720.0,62',2025-11-06 06:13:20
13673,759819,131386,home,0,4-2-3-1,1,1,2,328677,Alba Zafra,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-11-07 06:11:40
13673,759819,131386,home,0,4-2-3-1,1,1,17,395523,Amanda,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-11-06 06:13:20
13673,759819,131386,home,0,4-2-3-1,1,1,10,414243,Valeria Tena,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-11-06 06:13:20
13673,759819,131386,home,0,4-2-3-1,1,1,6,298697,Daysy Bareiro,Attacking Midfielder Left,11,0,0,-1,,,,0,0,-1,,,,2025-11-06 06:13:20
13673,759819,131386,home,0,4-2-3-1,1,0,7,414237,Eda Özbay,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-07 06:11:40
