seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13565,748986,21372,home,0,4-3-3,1,1,13,335824,Adriana Nanclares,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,1,20,333482,Ane Elexpuru,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,1,17,333461,Nerea Nevado,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,1,14,335783,Leire Baños,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,1,2,335825,Maddi Torre,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,1,4,333545,Bibiane Schulze Solano,Center Left Defender,6,0,0,-1,,,,1,333485,3,333485.0,2700.0,45',2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,1,8,333471,Maite Zubieta,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,1,18,334740,Sara Ortega,Left Midfielder,8,0,0,-1,,,,1,333449,9,333449.0,5400.0,90',2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,1,21,327778,Ane Campos,Forward,9,0,0,-1,,,,1,344362,7,344362.0,3840.0,64',2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,1,30,392188,Daniela Agote,Right Forward,10,0,0,-1,,,,1,355090,5,355090.0,4560.0,76',2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,1,29,409816,Oihana Agirregomezkorta,Left Forward,11,0,0,-1,,,,1,354973,19,354973.0,2700.0,45',2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,0,9,333449,Sanadri,Substitute,0,1,334740,18,334740.0,5400.0,90',0,0,-1,,,,2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,0,27,409764,Nerea Benito,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,0,33,401073,Elene Gurtubay,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,0,23,366516,Eider Arana,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,0,5,355090,Maite Valero,Substitute,0,1,392188,30,392188.0,4560.0,76',0,0,-1,,,,2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,0,7,344362,Jone Amezaga,Substitute,0,1,327778,21,327778.0,3840.0,64',0,0,-1,,,,2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,0,1,335811,Olatz Santana,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,0,3,333485,Naia Landaluze,Substitute,0,1,333545,4,333545.0,2700.0,45',0,0,-1,,,,2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,0,6,333484,Irene Oguiza,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,0,22,333476,Peke,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,0,11,333470,Ane Azkona,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-31 05:05:28
13565,748986,21372,home,0,4-3-3,1,0,19,354973,Vilariño,Substitute,0,1,409816,29,409816.0,2700.0,45',0,0,-1,,,,2025-08-31 05:05:28
