seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13064,724696,2765,home,1,4-2-3-1,1,1,21,208938,Phallon Tullis-Joyce,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-04-06 04:54:38
13064,724696,2765,home,1,4-2-3-1,1,1,23,263684,Emily Fox,Right Back,2,0,0,-1,,,,1,307766,13,307766.0,5226.0,88',2025-04-06 04:54:38
13064,724696,2765,home,1,4-2-3-1,1,1,19,227388,Crystal Dunn,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-04-06 04:54:38
13064,724696,2765,home,1,4-2-3-1,1,1,11,351658,Alyssa Thompson,Left Midfielder,4,0,0,-1,,,,1,263902,22,263902.0,5047.0,85',2025-04-06 04:54:38
13064,724696,2765,home,1,4-2-3-1,1,1,4,263690,Tara McKeown,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-04-06 04:54:38
13064,724696,2765,home,1,4-2-3-1,1,1,14,211034,Emily Sonnett,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-04-06 04:54:38
13064,724696,2765,home,1,4-2-3-1,1,1,2,317423,Trinity Rodman,Attacking Midfielder Right,7,0,0,-1,,,,1,325236,15,325236.0,3654.0,61',2025-04-06 04:54:38
13064,724696,2765,home,1,4-2-3-1,1,1,17,335326,Sam Coffey,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-04-06 04:54:38
13064,724696,2765,home,1,4-2-3-1,1,1,20,261568,Catarina Macario,Forward,9,0,0,-1,,,,1,210318,7,210318.0,5009.0,84',2025-04-06 04:54:38
13064,724696,2765,home,1,4-2-3-1,1,1,10,228716,Lindsey Heaps,Attacking Midfielder,10,0,0,-1,,,,1,346600,8,346600.0,5040.0,84',2025-04-06 04:54:38
13064,724696,2765,home,1,4-2-3-1,1,1,9,327195,Ally Sentnor,Attacking Midfielder Left,11,0,0,-1,,,,1,369801,24,369801.0,3624.0,61',2025-04-06 04:54:38
13064,724696,2765,home,1,4-2-3-1,1,0,13,307766,Avery Patterson,Substitute,0,1,263684,23,263684.0,5226.0,88',0,0,-1,,,,2025-04-06 04:54:38
13064,724696,2765,home,1,4-2-3-1,1,0,7,210318,Ashley Hatch,Substitute,0,1,261568,20,261568.0,5009.0,84',0,0,-1,,,,2025-04-06 04:54:38
13064,724696,2765,home,1,4-2-3-1,1,0,5,230970,Alana Cook,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-06 04:54:38
13064,724696,2765,home,1,4-2-3-1,1,0,6,262615,Emily Sams,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-04-06 04:54:38
13064,724696,2765,home,1,4-2-3-1,1,0,22,263902,Yazmeen Ryan,Substitute,0,1,351658,11,351658.0,5047.0,85',0,0,-1,,,,2025-04-06 04:54:38
