seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13242,731587,11676,home,1,4-2-3-1,1,1,1,301770,Obed Nkambadio,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13242,731587,11676,home,1,4-2-3-1,1,1,19,305935,Ismael Doukoure,Right Back,2,0,0,-1,,,,1,355980,13,355980.0,5400.0,90',2025-03-22 04:54:47
13242,731587,11676,home,1,4-2-3-1,1,1,3,313890,Quentin Merlin,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13242,731587,11676,home,1,4-2-3-1,1,1,10,297158,Enzo Millot,Left Midfielder,4,0,0,-1,,,,1,373927,21,373927.0,5400.0,90',2025-03-22 04:54:47
13242,731587,11676,home,1,4-2-3-1,1,1,4,297165,Chrislain Matsima,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13242,731587,11676,home,1,4-2-3-1,1,1,2,319100,Castello Lukeba,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-03-22 04:54:47
13242,731587,11676,home,1,4-2-3-1,1,1,8,329690,Maghnes Akliouche,Attacking Midfielder Right,7,0,0,-1,,,,1,297157,15,297157.0,4800.0,80',2025-03-22 04:54:47
13242,731587,11676,home,1,4-2-3-1,1,1,20,282289,Lucien Agoumé,Right Midfielder,8,0,0,-1,,,,1,297166,6,297166.0,3900.0,65',2025-03-22 04:54:47
13242,731587,11676,home,1,4-2-3-1,1,1,11,304901,Hugo Ekitike,Forward,9,0,0,-1,,,,1,325042,7,325042.0,3960.0,66',2025-03-22 04:54:47
13242,731587,11676,home,1,4-2-3-1,1,1,18,298008,Rayan Cherki,Attacking Midfielder,10,0,0,-1,,,,1,301166,17,301166.0,4860.0,81',2025-03-22 04:54:47
13242,731587,11676,home,1,4-2-3-1,1,1,22,345687,Wilson Odobert,Attacking Midfielder Left,11,0,0,-1,,,,1,319167,12,319167.0,4800.0,80',2025-03-22 04:54:47
13242,731587,11676,home,1,4-2-3-1,1,0,15,297157,Dilane Bakwa,Substitute,0,1,329690,8,329690.0,4800.0,80',0,0,-1,,,,2025-03-22 04:54:47
