seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13427,736598,21561,home,0,3-4-2-1,1,1,1,386742,Ana Morganti,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13427,736598,21561,home,0,3-4-2-1,1,1,15,388048,Mariane,Right Midfielder,2,0,0,-1,,,,1,405158,7,405158.0,3660.0,61',2025-11-30 06:14:16
13427,736598,21561,home,0,3-4-2-1,1,1,13,394075,Maria Santos,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13427,736598,21561,home,0,3-4-2-1,1,1,2,388043,Allyne Vithorya,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13427,736598,21561,home,0,3-4-2-1,1,1,6,405038,Julia Pereira,Center Defender,5,0,0,-1,,,,1,405149,4,405149.0,5400.0,90'+6',2025-11-30 06:14:16
13427,736598,21561,home,0,3-4-2-1,1,1,3,405156,Marina,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13427,736598,21561,home,0,3-4-2-1,1,1,18,405150,Dulce Maria,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13427,736598,21561,home,0,3-4-2-1,1,1,20,405155,Julia Faria,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13427,736598,21561,home,0,3-4-2-1,1,1,17,405151,Evelin,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13427,736598,21561,home,0,3-4-2-1,1,1,8,405157,Pepê,Center Right Forward,10,0,0,-1,,,,1,405037,9,405037.0,4080.0,68',2025-11-30 06:14:16
13427,736598,21561,home,0,3-4-2-1,1,1,10,386700,Kaylane,Center Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13427,736598,21561,home,0,3-4-2-1,1,0,12,386698,Josi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13427,736598,21561,home,0,3-4-2-1,1,0,11,386695,Giovanna Waksman,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13427,736598,21561,home,0,3-4-2-1,1,0,14,411091,Hellena Victória,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13427,736598,21561,home,0,3-4-2-1,1,0,21,411086,Jhennifer Santos,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13427,736598,21561,home,0,3-4-2-1,1,0,7,405158,Ravenna,Substitute,0,1,388048,15,388048.0,3660.0,61',0,0,-1,,,,2025-11-30 06:14:16
13427,736598,21561,home,0,3-4-2-1,1,0,19,405153,Giovana Iseppe,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13427,736598,21561,home,0,3-4-2-1,1,0,16,405152,Gabriela Rolnik,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13427,736598,21561,home,0,3-4-2-1,1,0,4,405149,Dany Pereira,Substitute,0,1,405038,6,405038.0,5400.0,90'+6',0,0,-1,,,,2025-11-30 06:14:16
13427,736598,21561,home,0,3-4-2-1,1,0,9,405037,Gabi Pusch,Substitute,0,1,405157,8,405157.0,4080.0,68',0,0,-1,,,,2025-11-30 06:14:16
13427,736598,21568,away,1,4-2-3-1,1,1,1,386669,Valentina Murrieta,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,1,2,394067,Alexa Martinez,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,1,5,386664,Mia Villalpando,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,1,20,405122,Valeria Alvarado,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,1,6,405049,Stella Barajas,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,1,4,386657,Berenice Ibarra,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,1,7,394063,Anaiya Miyazato,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,1,16,405050,Samantha Ruiz,Right Midfielder,8,0,0,-1,,,,1,386660,8,386660.0,3900.0,65',2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,1,9,405116,Ava Stack,Forward,9,0,0,-1,,,,1,405123,19,405123.0,5400.0,90'+1',2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,1,10,386658,Citlalli Reyes,Attacking Midfielder,10,0,0,-1,,,,1,410587,14,410587.0,5400.0,90'+1',2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,1,11,405120,Joselyn Solís,Attacking Midfielder Left,11,0,0,-1,,,,1,405048,17,405048.0,3900.0,65',2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,0,12,393172,Bárbara Del Real,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,0,17,405048,Fernanda Monroy,Substitute,0,1,405120,11,405120.0,3900.0,65',0,0,-1,,,,2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,0,8,386660,Dafne Sánchez,Substitute,0,1,405050,16,405050.0,3900.0,65',0,0,-1,,,,2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,0,15,405051,Valeria Vázquez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,0,3,405121,Vanessa Paredes,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,0,19,405123,Miranda Solís,Substitute,0,1,405116,9,405116.0,5400.0,90'+1',0,0,-1,,,,2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,0,21,405124,Dayana Covarrubias,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,0,14,410587,Laila Avila,Substitute,0,1,386658,10,386658.0,5400.0,90'+1',0,0,-1,,,,2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,0,18,411464,Chloe Del Real,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-09 15:05:09
13427,736598,21568,away,1,4-2-3-1,1,0,13,411467,Emily Deigado,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-09 15:05:09
13428,736596,21561,home,0,3-2-4-1,1,1,1,386742,Ana Morganti,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13428,736596,21561,home,0,3-2-4-1,1,1,20,405155,Julia Faria,Center Right Midfielder,2,0,0,-1,,,,1,388048,15,388048.0,5280.0,88',2025-11-30 06:14:16
13428,736596,21561,home,0,3-2-4-1,1,1,6,405038,Julia Pereira,Center Left Midfielder,3,0,0,-1,,,,1,405158,7,405158.0,2700.0,45',2025-11-30 06:14:16
13428,736596,21561,home,0,3-2-4-1,1,1,2,388043,Allyne Vithorya,Left Back,4,0,0,-1,,,,1,411091,14,411091.0,2700.0,45',2025-11-30 06:14:16
13428,736596,21561,home,0,3-2-4-1,1,1,5,386691,Andreyna,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-11-08 06:11:57
13428,736596,21561,home,0,3-2-4-1,1,1,3,405156,Marina,Right Back,6,0,0,-1,,,,1,405149,4,405149.0,5280.0,88',2025-11-30 06:14:16
13428,736596,21561,home,0,3-2-4-1,1,1,8,405157,Pepê,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13428,736596,21561,home,0,3-2-4-1,1,1,10,386700,Kaylane,Attacking Midfielder Left,8,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13428,736596,21561,home,0,3-2-4-1,1,1,17,405151,Evelin,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13428,736596,21561,home,0,3-2-4-1,1,1,19,405153,Giovana Iseppe,Right Midfielder,10,0,0,-1,,,,1,405150,18,405150.0,960.0,16',2025-11-30 06:14:16
13428,736596,21561,home,0,3-2-4-1,1,1,13,394075,Maria Santos,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13428,736596,21561,home,0,3-2-4-1,1,0,11,386695,Giovanna Waksman,,0,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13428,736596,21561,home,0,3-2-4-1,1,0,14,411091,Hellena Victória,,0,1,388043,2,388043.0,2700.0,45',0,0,-1,,,,2025-11-30 06:14:16
13428,736596,21561,home,0,3-2-4-1,1,0,21,411086,Jhennifer Santos,,0,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13428,736596,21561,home,0,3-2-4-1,1,0,7,405158,Ravenna,,0,1,405038,6,405038.0,2700.0,45',0,0,-1,,,,2025-11-30 06:14:16
13428,736596,21561,home,0,3-2-4-1,1,0,18,405150,Dulce Maria,,0,1,405153,19,405153.0,960.0,16',0,0,-1,,,,2025-11-30 06:14:16
13428,736596,21561,home,0,3-2-4-1,1,0,4,405149,Dany Pereira,,0,1,405156,3,405156.0,5280.0,88',0,0,-1,,,,2025-11-30 06:14:16
13428,736596,21561,home,0,3-2-4-1,1,0,9,405037,Gabi Pusch,,0,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13428,736596,21561,home,0,3-2-4-1,1,0,15,388048,Mariane,,0,1,405155,20,405155.0,5280.0,88',0,0,-1,,,,2025-11-30 06:14:16
13428,736596,21561,home,0,3-2-4-1,1,0,12,386698,Josi,,0,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13428,736596,21561,home,0,3-2-4-1,1,0,16,405152,Gabriela Rolnik,,0,0,0,-1,,,,0,0,-1,,,,2025-11-30 06:14:16
13428,736596,22303,away,1,4-4-2,1,1,1,412331,Kim Song-Gyong,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-06 06:13:20
13428,736596,22303,away,1,4-4-2,1,1,17,412362,Kim Su-Rim,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-11-06 06:13:20
13428,736596,22303,away,1,4-4-2,1,1,2,412332,Yun Jin-A,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-11-06 06:13:20
13428,736596,22303,away,1,4-4-2,1,1,9,412348,Ri Kyong-Im,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-11-08 06:11:57
13428,736596,22303,away,1,4-4-2,1,1,3,412333,Ri Jin-A,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-11-06 06:13:20
13428,736596,22303,away,1,4-4-2,1,1,12,412355,Ryu Jin-Ju,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-11-06 06:13:20
13428,736596,22303,away,1,4-4-2,1,1,11,412352,Pak Rye-Yong,Right Midfielder,7,0,0,-1,,,,1,412360,16,412360.0,5400.0,90',2025-11-06 06:13:20
13428,736596,22303,away,1,4-4-2,1,1,8,412347,Eh Chong-Gum,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-11-08 06:11:57
13428,736596,22303,away,1,4-4-2,1,1,15,412359,Kim Won-Sim,Center Left Forward,9,0,0,-1,,,,1,412339,6,412339.0,5400.0,90'+7',2025-11-06 06:13:20
13428,736596,22303,away,1,4-4-2,1,1,10,412350,Yu Jong-Hyang,Center Right Forward,10,0,0,-1,,,,1,412367,19,412367.0,5400.0,90'+11',2025-11-06 06:13:20
13428,736596,22303,away,1,4-4-2,1,1,7,412344,Ri Ui-Gyong,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-11-06 06:13:20
13428,736596,22303,away,1,4-4-2,1,0,18,412365,Kim Su-Jin,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-06 06:13:20
13428,736596,22303,away,1,4-4-2,1,0,19,412367,Kim Sun-Nyo,Substitute,0,1,412350,10,412350.0,5400.0,90'+11',0,0,-1,,,,2025-11-06 06:13:20
13428,736596,22303,away,1,4-4-2,1,0,16,412360,Ri Ye-Rim,Substitute,0,1,412352,11,412352.0,5400.0,90',0,0,-1,,,,2025-11-06 06:13:20
13428,736596,22303,away,1,4-4-2,1,0,20,412368,Paek So-Hyang,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-06 06:13:20
13428,736596,22303,away,1,4-4-2,1,0,13,412357,Ri Hyo-Yang,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-06 06:13:20
13428,736596,22303,away,1,4-4-2,1,0,6,412339,Pak Su-Rim,Substitute,0,1,412359,15,412359.0,5400.0,90'+7',0,0,-1,,,,2025-11-06 06:13:20
13428,736596,22303,away,1,4-4-2,1,0,5,412336,Kim Yon-A,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-06 06:13:20
