seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13553,747462,7869,home,1,5-4-1,1,1,30,333414,Azamat Uriev,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13553,747462,7869,home,1,5-4-1,1,1,18,250460,Demba Thiam,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13553,747462,7869,home,1,5-4-1,1,1,33,410723,Emmanuel Kouassi,Left Back,3,0,0,-1,,,,1,270146,12,270146.0,3900.0,65',2025-09-17 05:14:04
13553,747462,7869,home,1,5-4-1,1,1,24,408574,Louis Siliadin,Center Left Defender,4,0,0,-1,,,,1,333238,21,333238.0,3420.0,57',2025-09-17 05:14:04
13553,747462,7869,home,1,5-4-1,1,1,15,313086,Adrien Pinot,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13553,747462,7869,home,1,5-4-1,1,1,25,351867,Siad Gourville,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13553,747462,7869,home,1,5-4-1,1,1,23,315629,Noah Fatar,Right Midfielder,7,0,0,-1,,,,1,331042,27,331042.0,3900.0,65',2025-09-17 05:14:04
13553,747462,7869,home,1,5-4-1,1,1,14,397379,Joffrey Bultel,Center Right Midfielder,8,0,0,-1,,,,1,315361,22,315361.0,4740.0,79',2025-09-17 05:14:04
13553,747462,7869,home,1,5-4-1,1,1,26,398444,Gabin Capuano,Forward,9,0,0,-1,,,,1,305356,17,305356.0,4740.0,79',2025-09-17 05:14:04
13553,747462,7869,home,1,5-4-1,1,1,19,408571,Nolan Binet,Center Left Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13553,747462,7869,home,1,5-4-1,1,1,10,269355,Amine El Farissi,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
13553,747462,7869,home,1,5-4-1,1,0,16,41549,Ibrahima Koné,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-08 05:23:16
13553,747462,7869,home,1,5-4-1,1,0,12,270146,Julien Boyer,Substitute,0,1,410723,33,410723.0,3900.0,65',0,0,-1,,,,2025-09-17 05:14:04
13553,747462,7869,home,1,5-4-1,1,0,17,305356,Corentin Fatou,Substitute,0,1,398444,26,398444.0,4740.0,79',0,0,-1,,,,2025-09-17 05:14:04
13553,747462,7869,home,1,5-4-1,1,0,22,315361,Sonny Duflos,Substitute,0,1,397379,14,397379.0,4740.0,79',0,0,-1,,,,2025-09-17 05:14:04
13553,747462,7869,home,1,5-4-1,1,0,27,331042,Exauce Mpembele Boula,Substitute,0,1,315629,23,315629.0,3900.0,65',0,0,-1,,,,2025-09-17 05:14:04
13553,747462,7869,home,1,5-4-1,1,0,21,333238,Aurélien Platret,Substitute,0,1,408574,24,408574.0,3420.0,57',0,0,-1,,,,2025-09-17 05:14:04
13553,747462,7869,home,1,5-4-1,1,0,7,408573,Luka Boiteau,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-09-17 05:14:04
