seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13548,747024,133,home,1,5-4-1,1,1,1,165764,Loris Karius,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747024,133,home,1,5-4-1,1,1,17,326766,Adrian Gantenbein,Right Back,2,0,0,-1,,,,1,372033,31,372033.0,5280.0,88',2025-08-03 04:40:32
13548,747024,133,home,1,5-4-1,1,1,33,386465,Vitalie Becker,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747024,133,home,1,5-4-1,1,1,2,358421,Felipe Sanchez,Center Left Defender,4,0,0,-1,,,,1,403400,43,403400.0,5280.0,88',2025-08-03 04:40:32
13548,747024,133,home,1,5-4-1,1,1,25,220538,Nikola Katic,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747024,133,home,1,5-4-1,1,1,5,169481,Timo Becker,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747024,133,home,1,5-4-1,1,1,39,386462,Peter Remmert,Right Midfielder,7,0,0,-1,,,,1,386463,37,386463.0,3660.0,61',2025-08-03 04:40:32
13548,747024,133,home,1,5-4-1,1,1,6,253816,Ron Schallenberg,Center Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747024,133,home,1,5-4-1,1,1,9,40791,Moussa Sylla,Forward,9,0,0,-1,,,,1,332429,15,332429.0,4620.0,77',2025-08-03 04:40:32
13548,747024,133,home,1,5-4-1,1,1,23,318343,Soufian El-Faouzi,Center Left Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747024,133,home,1,5-4-1,1,1,18,259252,Christopher Antwi-Adjei,Left Midfielder,11,0,0,-1,,,,1,250866,11,250866.0,4620.0,77',2025-08-03 04:40:32
13548,747024,133,home,1,5-4-1,1,0,31,372033,Taylan Bulut,Substitute,0,1,326766,17,326766.0,5280.0,88',0,0,-1,,,,2025-08-03 04:40:32
13548,747024,133,home,1,5-4-1,1,0,11,250866,Bryan Lasme,Substitute,0,1,259252,18,259252.0,4620.0,77',0,0,-1,,,,2025-08-03 04:40:32
13548,747024,133,home,1,5-4-1,1,0,37,386463,Max Grüger,Substitute,0,1,386462,39,386462.0,3660.0,61',0,0,-1,,,,2025-08-03 04:40:32
13548,747024,133,home,1,5-4-1,1,0,28,343985,Justin Heekeren,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747024,133,home,1,5-4-1,1,0,16,389674,Mauro Zalazar,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747024,133,home,1,5-4-1,1,0,43,403400,Mert Can Ayhan,Substitute,0,1,358421,2,358421.0,5280.0,88',0,0,-1,,,,2025-08-03 04:40:32
13548,747024,133,home,1,5-4-1,1,0,15,332429,Emil Höjlund,Substitute,0,1,40791,9,40791.0,4620.0,77',0,0,-1,,,,2025-08-03 04:40:32
13548,747024,133,home,1,5-4-1,1,0,24,323989,Ilyes Hamache,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747024,133,home,1,5-4-1,1,0,41,319272,Henning Matriciani,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,1,1,335870,Tjark Ernst,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,1,2,339898,Julian Eitscberger,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,1,33,305864,Michal Karbownik,Left Midfielder,3,0,0,-1,,,,1,319271,22,319271.0,4140.0,69',2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,1,31,303754,Márton Dárdai,Center Left Defender,4,0,0,-1,,,,1,223212,27,223212.0,2700.0,45',2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,1,37,154087,Toni Leistner,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,1,42,238921,Deyovaiso Zeefuik,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,1,10,258871,Michaël Cuisance,Center Right Midfielder,7,0,0,-1,,,,1,277120,5,277120.0,4800.0,80',2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,1,6,154407,Diego Demme,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,1,14,358496,Maurice Krattenmacher,Attacking Midfielder,9,0,0,-1,,,,1,261506,24,261506.0,4140.0,69',2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,1,9,220060,Dawid Kownacki,Center Right Forward,10,0,0,-1,,,,1,238871,17,238871.0,4800.0,80',2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,1,11,230950,Fabian Reese,Center Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,0,21,392485,Boris Lum,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,0,23,408246,Kennet Eichhorn,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,0,27,223212,Niklas Kolbe,Substitute,0,1,303754,31,303754.0,2700.0,45',0,0,-1,,,,2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,0,17,238871,Sebastian Gronning,Substitute,0,1,220060,9,220060.0,4800.0,80',0,0,-1,,,,2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,0,3,254033,Agustin Rogel,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,0,24,261506,Jon Dagur Thorsteinsson,Substitute,0,1,358496,14,358496.0,4140.0,69',0,0,-1,,,,2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,0,5,277120,Leon Jensen,Substitute,0,1,258871,10,258871.0,4800.0,80',0,0,-1,,,,2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,0,22,319271,Marten Winkler,Substitute,0,1,305864,33,305864.0,4140.0,69',0,0,-1,,,,2025-08-03 04:40:32
13548,747024,129,away,0,3-4-1-2,1,0,13,346618,Robert Kwasigroch,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13548,747025,10382,home,0,3-4-3,1,1,1,218716,Dominik Reimann,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,10382,home,0,3-4-3,1,1,7,260935,Herbert Bockhorn,Right Midfielder,2,0,0,-1,,,,1,324321,21,324321.0,4320.0,72',2025-08-04 04:45:49
13548,747025,10382,home,0,3-4-3,1,1,17,291146,Alexander Nollenberger,Left Midfielder,3,0,0,-1,,,,1,220800,27,220800.0,4920.0,82',2025-08-04 04:45:49
13548,747025,10382,home,0,3-4-3,1,1,24,291983,Jean Hugonet,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,10382,home,0,3-4-3,1,1,16,219189,Marcus Mathiesen,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,10382,home,0,3-4-3,1,1,3,323116,Andi Hoti,Center Right Defender,6,0,0,-1,,,,1,174546,5,174546.0,1860.0,31',2025-08-04 04:45:49
13548,747025,10382,home,0,3-4-3,1,1,25,251665,Silas Gnaka,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-08-06 04:46:56
13548,747025,10382,home,0,3-4-3,1,1,8,345394,Laurin Ulrich,Center Left Midfielder,8,0,0,-1,,,,1,281267,11,281267.0,4320.0,72',2025-08-06 04:46:56
13548,747025,10382,home,0,3-4-3,1,1,9,250459,Martijn Kaars,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,10382,home,0,3-4-3,1,1,19,215338,Lubambo Musonda,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,10382,home,0,3-4-3,1,1,23,235097,Baris Atik,Center Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,10382,home,0,3-4-3,1,0,27,220800,Philipp Hercher,Substitute,0,1,291146,17,291146.0,4920.0,82',0,0,-1,,,,2025-08-04 04:45:49
13548,747025,10382,home,0,3-4-3,1,0,10,397565,Noah Pesch,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,10382,home,0,3-4-3,1,0,5,174546,Tobias Müller,Substitute,0,1,323116,3,323116.0,1860.0,31',0,0,-1,,,,2025-08-04 04:45:49
13548,747025,10382,home,0,3-4-3,1,0,34,238548,Tarek Chahed,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,10382,home,0,3-4-3,1,0,11,281267,Alex Ahl-Holmström,Substitute,0,1,345394,8,345394.0,4320.0,72',0,0,-1,,,,2025-08-04 04:45:49
13548,747025,10382,home,0,3-4-3,1,0,21,324321,Falko Michel,Substitute,0,1,260935,7,260935.0,4320.0,72',0,0,-1,,,,2025-08-04 04:45:49
13548,747025,10382,home,0,3-4-3,1,0,30,324704,Noah Kruth,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,10382,home,0,3-4-3,1,0,14,344660,Abu-Bekir Ömer El-Zein,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,10382,home,0,3-4-3,1,0,35,402965,Magnus Baars,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,1,1,259128,Ron-Thorben Hofmann,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,1,8,316105,Mehmet Can Aydin,Right Back,2,0,0,-1,,,,1,306060,18,306060.0,5280.0,88',2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,1,22,343950,Fabio Di-Michele-Sanchez,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,1,29,321225,Lukas Frenkert,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,1,27,290759,Sven Kohler,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,1,21,286350,Kevin Ehlers,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,1,15,386433,Max Marie,Center Right Midfielder,7,0,0,-1,,,,1,364592,44,364592.0,3540.0,59',2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,1,30,306924,Robin Heusser,Center Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,1,9,290402,Erencan Yardimci,Center Left Forward,9,0,0,-1,,,,1,305191,11,305191.0,3900.0,65',2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,1,32,288371,Christian Conteh,Center Right Forward,10,0,0,-1,,,,1,322708,16,322708.0,3540.0,59',2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,1,20,268127,Lino Tempelmann,Center Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,0,33,408381,Marko Rajkovacic,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,0,7,189552,Fabio Kaufmann,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,0,17,136593,Sebastian Polter,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,0,5,289693,Frederik Jakel,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,0,19,291753,Leon Bell,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,0,11,305191,Levente Szabo,Substitute,0,1,290402,9,290402.0,3900.0,65',0,0,-1,,,,2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,0,18,306060,Marvin Rittmüller,Substitute,0,1,316105,8,316105.0,5280.0,88',0,0,-1,,,,2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,0,16,322708,Louis Breunig,Substitute,0,1,288371,32,288371.0,3540.0,59',0,0,-1,,,,2025-08-04 04:45:49
13548,747025,3067,away,1,5-3-2,1,0,44,364592,Johan Gómez,Substitute,0,1,386433,15,386433.0,3540.0,59',0,0,-1,,,,2025-08-04 04:45:49
13548,747026,2506,home,1,4-3-3,1,1,1,343848,Jonas Kersken,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
