seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13474,760546,127,home,0,3-4-3,1,1,26,305926,Daniel Peretz,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
13474,760546,127,home,0,3-4-3,1,1,16,306347,Giorgi Gocholeishvili,Right Midfielder,2,0,0,-1,,,,1,206999,7,206999.0,4867.0,82',2025-12-04 06:07:20
13474,760546,127,home,0,3-4-3,1,1,28,243626,Miro Muheim,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
13474,760546,127,home,0,3-4-3,1,1,25,251061,Jordan Torunarigha,Center Left Defender,4,0,0,-1,,,,1,381633,22,381633.0,5865.0,98',2025-12-04 06:07:20
13474,760546,127,home,0,3-4-3,1,1,44,364962,Luka Vuskovic,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
13474,760546,127,home,0,3-4-3,1,1,13,321058,Guilherme Ramos,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
13474,760546,127,home,0,3-4-3,1,1,20,88865,Fabio Vieira,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
13474,760546,127,home,0,3-4-3,1,1,21,321226,Nicolai Remberg,Center Left Midfielder,8,0,0,-1,,,,1,180819,23,180819.0,3800.0,64',2025-12-04 06:07:20
13474,760546,127,home,0,3-4-3,1,1,11,300961,Ransford-Yeboah Königsdörffer,Forward,9,0,0,-1,,,,1,238542,18,238542.0,5880.0,98',2025-12-04 06:07:20
13474,760546,127,home,0,3-4-3,1,1,14,291849,Rayan Philippe,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
13474,760546,127,home,0,3-4-3,1,1,38,384471,Alexander Røssing-Lelesiit,Center Left Forward,11,0,0,-1,,,,1,237432,29,237432.0,3803.0,64',2025-12-04 06:07:20
13474,760546,127,home,0,3-4-3,1,0,1,180162,Daniel Heuer Fernandes,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
13474,760546,127,home,0,3-4-3,1,0,43,415376,Shafiq Nandja,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
13474,760546,127,home,0,3-4-3,1,0,45,388392,Fabio Baldé,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
13474,760546,127,home,0,3-4-3,1,0,22,381633,Aboubaka Soumahoro,Substitute,0,1,251061,25,251061.0,5865.0,98',0,0,-1,,,,2025-12-04 06:07:20
13474,760546,127,home,0,3-4-3,1,0,2,313897,William Mikelbrencis,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
13474,760546,127,home,0,3-4-3,1,0,18,238542,Bakery Jatta,Substitute,0,1,300961,11,300961.0,5880.0,98',0,0,-1,,,,2025-12-04 06:07:20
13474,760546,127,home,0,3-4-3,1,0,29,237432,Emir Sahiti,Substitute,0,1,384471,38,384471.0,3803.0,64',0,0,-1,,,,2025-12-04 06:07:20
13474,760546,127,home,0,3-4-3,1,0,7,206999,Jean-Luc Dompé,Substitute,0,1,306347,16,306347.0,4867.0,82',0,0,-1,,,,2025-12-04 06:07:20
13474,760546,127,home,0,3-4-3,1,0,23,180819,Jonas Meffert,Substitute,0,1,321226,21,321226.0,3800.0,64',0,0,-1,,,,2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,1,1,275807,Timon Weiner,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,1,23,344856,Lasse Rosenboom,Right Back,2,0,0,-1,,,,1,377593,25,377593.0,6300.0,105',2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,1,47,279290,John Tolkin,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,1,3,205946,Marco Komenda,Center Left Defender,4,0,0,-1,,,,1,399191,13,399191.0,4637.0,78',2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,1,26,311534,David Zec,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,1,6,338304,Marko Ivezic,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,1,24,287274,Magnus Knudsen,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,1,15,386357,Kasper Davidsen,Center Midfielder,8,0,0,-1,,,,1,176374,22,176374.0,3555.0,60',2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,1,19,321202,Phil Harres,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,1,20,304966,Adrian Kapralik,Center Right Forward,10,0,0,-1,,,,1,359866,45,359866.0,5636.0,94',2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,1,10,343805,Jonas Therkelsen,Center Left Midfielder,11,0,0,-1,,,,1,364604,29,364604.0,4645.0,78',2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,0,29,364604,Niklas Niehoff,Substitute,0,1,343805,10,343805.0,4645.0,78',0,0,-1,,,,2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,0,22,176374,Stefan Schwab,Substitute,0,1,386357,15,386357.0,3555.0,60',0,0,-1,,,,2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,0,13,399191,Ivan Nekic,Substitute,0,1,205946,3,205946.0,4637.0,78',0,0,-1,,,,2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,0,48,389254,Hamza Muqaj,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,0,25,377593,Marcus Müller,Substitute,0,1,344856,23,344856.0,6300.0,105',0,0,-1,,,,2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,0,2,362836,Frederik Roslyng,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,0,45,359866,Louis Köster,Substitute,0,1,304966,20,304966.0,5636.0,94',0,0,-1,,,,2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,0,17,341489,Mladen Cvjetinovic,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
13474,760546,7884,away,1,5-3-2,1,0,21,329464,Jonas Krumrey,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-04 06:07:20
