seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13419,736457,134,home,0,4-2-3-1,1,1,1,201123,Fabian Bredlow,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-17 04:56:32
13419,736457,134,home,0,4-2-3-1,1,1,4,266839,Josha Vagnoman,Right Back,2,0,0,-1,,,,1,308461,22,308461.0,4860.0,81',2025-08-17 04:56:32
13419,736457,134,home,0,4-2-3-1,1,1,7,216225,Maximilian Mittelstädt,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-08-17 04:56:32
13419,736457,134,home,0,4-2-3-1,1,1,6,290232,Angelo Stiller,Left Midfielder,4,0,0,-1,,,,1,387489,30,387489.0,5220.0,87',2025-08-17 04:56:32
13419,736457,134,home,0,4-2-3-1,1,1,14,332574,Luca Jaquez,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-17 04:56:32
13419,736457,134,home,0,4-2-3-1,1,1,24,258909,Jeff Chabot,Center Left Defender,6,0,0,-1,,,,1,289322,3,289322.0,4260.0,71',2025-08-17 04:56:32
13419,736457,134,home,0,4-2-3-1,1,1,18,290811,Jamie Leweling,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2025-08-17 04:56:32
13419,736457,134,home,0,4-2-3-1,1,1,16,241742,Atakan Karazor,Right Midfielder,8,0,0,-1,,,,1,259878,28,259878.0,4860.0,81',2025-08-17 04:56:32
13419,736457,134,home,0,4-2-3-1,1,1,11,298349,Nick Woltemade,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-08-17 04:56:32
13419,736457,134,home,0,4-2-3-1,1,1,26,273300,Deniz Undav,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-08-17 04:56:32
13419,736457,134,home,0,4-2-3-1,1,1,10,268951,Chris Führich,Attacking Midfielder Left,11,0,0,-1,,,,1,269136,9,269136.0,4260.0,71',2025-08-17 04:56:32
13419,736457,134,home,0,4-2-3-1,1,0,9,269136,Ermedin Demirovic,Substitute,0,1,268951,10,268951.0,4260.0,71',0,0,-1,,,,2025-08-17 04:56:32
13419,736457,134,home,0,4-2-3-1,1,0,15,223266,Pascal Stenzel,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-17 04:56:32
13419,736457,134,home,0,4-2-3-1,1,0,45,252323,Lazar Jovanovic,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-17 04:56:32
