seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13246,732103,2812,home,1,4-2-3-1,1,1,12,384631,Blanca Félix,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-02-20 05:49:20
13246,732103,2812,home,1,4-2-3-1,1,1,2,158845,Kenti Robles,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-02-20 05:49:20
13246,732103,2812,home,1,4-2-3-1,1,1,5,359255,Karol Bernal,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-02-20 05:49:20
13246,732103,2812,home,1,4-2-3-1,1,1,8,288594,Alexia Delgado,Left Midfielder,4,0,0,-1,,,,1,317893,22,317893.0,4500.0,75',2025-02-20 05:49:20
13246,732103,2812,home,1,4-2-3-1,1,1,14,219205,Greta Espinoza,Center Right Defender,5,0,0,-1,,,,1,331323,20,331323.0,3840.0,64',2025-02-20 05:49:20
13246,732103,2812,home,1,4-2-3-1,1,1,23,300138,Kimberly Rodríguez,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-02-20 05:49:20
13246,732103,2812,home,1,4-2-3-1,1,1,7,328242,Myra Delgadillo,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2025-02-20 05:49:20
13246,732103,2812,home,1,4-2-3-1,1,1,18,352043,Fátima Servín,Right Midfielder,8,0,0,-1,,,,1,258848,4,258848.0,3840.0,64',2025-02-20 05:49:20
13246,732103,2812,home,1,4-2-3-1,1,1,17,364526,Christina Burkenroad,Forward,9,0,0,-1,,,,1,225038,13,225038.0,3840.0,64',2025-02-20 05:49:20
13246,732103,2812,home,1,4-2-3-1,1,1,10,344414,Alice Soto,Attacking Midfielder,10,0,0,-1,,,,1,314323,19,314323.0,3840.0,64',2025-02-20 05:49:20
