seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13369,735776,17763,home,0,4-4-2,1,1,1,378976,Oumar Pona,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-06-04 04:53:23
13369,735776,17763,home,0,4-4-2,1,1,2,404781,Séga Sanogo,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-06-04 04:53:23
13369,735776,17763,home,0,4-4-2,1,1,21,371474,Dan Sinaté,Left Back,3,0,0,-1,,,,1,364905,18,364905.0,4980.0,83',2025-06-04 04:53:23
13369,735776,17763,home,0,4-4-2,1,1,3,376352,Hamidou Makalou,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-06-04 04:53:23
13369,735776,17763,home,0,4-4-2,1,1,15,402966,Eden Gassama,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-06-04 04:53:23
13369,735776,17763,home,0,4-4-2,1,1,5,401306,Souleymane Sagnan,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-06-04 04:53:23
13369,735776,17763,home,0,4-4-2,1,1,19,372072,Mahamoud Barry,Right Midfielder,7,0,0,-1,,,,1,372068,8,372068.0,4620.0,77',2025-06-04 04:53:23
13369,735776,17763,home,0,4-4-2,1,1,6,372067,Ousmane Thiero,Center Left Midfielder,8,0,0,-1,,,,1,388895,7,388895.0,4620.0,77',2025-06-04 04:53:23
13369,735776,17763,home,0,4-4-2,1,1,20,380383,Gaoussou Diakité,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2025-06-04 04:53:23
13369,735776,17763,home,0,4-4-2,1,1,10,372081,Ange Tia,Center Right Forward,10,0,0,-1,,,,1,396766,13,396766.0,3600.0,60',2025-06-04 04:53:23
13369,735776,17763,home,0,4-4-2,1,1,11,372078,Ibrahim Kanate,Left Midfielder,11,0,0,-1,,,,1,355981,9,355981.0,3600.0,60',2025-06-04 04:53:23
13369,735776,17763,home,0,4-4-2,1,0,13,396766,Aboubacar Sidibe,Substitute,0,1,372081,10,372081.0,3600.0,60',0,0,-1,,,,2025-06-04 04:53:23
13369,735776,17763,home,0,4-4-2,1,0,9,355981,Wilson Samake,Substitute,0,1,372078,11,372078.0,3600.0,60',0,0,-1,,,,2025-06-04 04:53:23
13369,735776,17763,home,0,4-4-2,1,0,17,276128,Ibrahim Diarra,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-06-04 04:53:23
13369,735776,17763,home,0,4-4-2,1,0,22,385188,Emile Doucouré,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-06-04 04:53:23
