seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13359,735758,18467,home,1,4-2-3-1,1,1,1,399456,Leó Nannetti ,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13359,735758,18467,home,1,4-2-3-1,1,1,2,357115,Daniel Sales,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13359,735758,18467,home,1,4-2-3-1,1,1,6,389773,Gusttavo Sousa,Left Back,3,0,0,-1,,,,1,379318,16,379318.0,3360.0,56',2025-08-24 04:55:50
13359,735758,18467,home,1,4-2-3-1,1,1,8,379497,Guilherme Gomes,Left Midfielder,4,0,0,-1,,,,1,398646,21,398646.0,3840.0,64',2025-08-24 04:55:50
13359,735758,18467,home,1,4-2-3-1,1,1,4,376479,João Victor ,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13359,735758,18467,home,1,4-2-3-1,1,1,3,340588,Iago Teodoro ,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13359,735758,18467,home,1,4-2-3-1,1,1,10,334379,Matheus Gonçalves,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13359,735758,18467,home,1,4-2-3-1,1,1,5,387686,João Alves,Right Midfielder,8,0,0,-1,,,,1,388807,15,388807.0,4680.0,78',2025-08-24 04:55:50
13359,735758,18467,home,1,4-2-3-1,1,1,18,379317,Pedro Henrique Leão Alves Lopes,Forward,9,0,0,-1,,,,1,382847,19,382847.0,3420.0,57',2025-08-24 04:55:50
13359,735758,18467,home,1,4-2-3-1,1,1,11,357117,Lorran Lucas ,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13359,735758,18467,home,1,4-2-3-1,1,1,7,402494,Joshua ,Attacking Midfielder Left,11,0,0,-1,,,,1,382846,9,382846.0,4680.0,78',2025-08-24 04:55:50
13359,735758,18467,home,1,4-2-3-1,1,0,9,382846,Felipe Teresa,Substitute,0,1,402494,7,,,,0,0,-1,,,,2025-08-24 04:55:50
13359,735758,18467,home,1,4-2-3-1,1,0,19,382847,Shola Ogundana,Substitute,0,1,379317,18,379317.0,3420.0,57',0,0,-1,,,,2025-08-24 04:55:50
13359,735758,18467,home,1,4-2-3-1,1,0,20,358241,Lucas Furtado,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13359,735758,18467,home,1,4-2-3-1,1,0,17,409578,Ryan Roberto,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13359,735758,18467,home,1,4-2-3-1,1,0,25,409577,Kaio Nóbrega,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13359,735758,18467,home,1,4-2-3-1,1,0,23,402703,Douglas Telles,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13359,735758,18467,home,1,4-2-3-1,1,0,13,401051,Wanderson Junior De Souza Vaz,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
