seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13601,752273,435,home,1,4-2-3-1,1,1,88,284199,Konstantinos Tzolakis,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13601,752273,435,home,1,4-2-3-1,1,1,20,274285,Costinha,Right Back,2,0,0,-1,,,,1,215319,10,215319.0,3720.0,62',2025-09-15 05:14:23
13601,752273,435,home,1,4-2-3-1,1,1,3,268525,Francisco Ortega,Left Back,3,0,0,-1,,,,1,347628,70,347628.0,4860.0,81',2025-08-24 04:55:50
13601,752273,435,home,1,4-2-3-1,1,1,14,192734,Dani García,Left Midfielder,4,0,0,-1,,,,1,387657,96,387657.0,3720.0,62',2025-08-24 04:55:50
13601,752273,435,home,1,4-2-3-1,1,1,45,233973,Panagiotis Retsos,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13601,752273,435,home,1,4-2-3-1,1,1,5,290069,Lorenzo Pirola,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13601,752273,435,home,1,4-2-3-1,1,1,23,182187,Rodinei,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2025-09-01 05:08:47
13601,752273,435,home,1,4-2-3-1,1,1,32,290539,Santiago Hezze,Right Midfielder,8,0,0,-1,,,,1,365808,8,365808.0,4440.0,74',2025-08-24 04:55:50
13601,752273,435,home,1,4-2-3-1,1,1,9,269562,Ayoub El Kaabi,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13601,752273,435,home,1,4-2-3-1,1,1,22,275935,Chiquinho,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-09-15 05:14:23
13601,752273,435,home,1,4-2-3-1,1,1,80,387677,Stavros Pnevmonidis,Attacking Midfielder Left,11,0,0,-1,,,,1,236158,97,236158.0,4860.0,81',2025-08-24 04:55:50
13601,752273,435,home,1,4-2-3-1,1,0,67,387675,Argyrios Liatsikouras,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13601,752273,435,home,1,4-2-3-1,1,0,1,143223,Alexandros Paschalakis,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
