seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13447,736784,3997,home,0,4-3-3,1,1,13,261399,Stefano Turati,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13447,736784,3997,home,0,4-3-3,1,1,6,288483,Sebastian Walukiewicz,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13447,736784,3997,home,0,4-3-3,1,1,3,290418,Josh Doig,Left Back,3,0,0,-1,,,,1,287677,5,287677.0,4840.0,81',2025-08-24 04:55:50
13447,736784,3997,home,0,4-3-3,1,1,35,347408,Luca Lipani,Center Midfielder,4,0,0,-1,,,,1,324705,20,324705.0,4321.0,73',2025-08-24 04:55:50
13447,736784,3997,home,0,4-3-3,1,1,19,202335,Filippo Romagna,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13447,736784,3997,home,0,4-3-3,1,1,80,318390,Tarik Muharemovic,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13447,736784,3997,home,0,4-3-3,1,1,90,325001,Ismaël Koné,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13447,736784,3997,home,0,4-3-3,1,1,11,307061,Daniel Boloca,Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13447,736784,3997,home,0,4-3-3,1,1,99,239086,Andrea Pinamonti,Forward,9,0,0,-1,,,,1,278778,24,278778.0,5356.0,90',2025-08-24 04:55:50
13447,736784,3997,home,0,4-3-3,1,1,10,173817,Domenico Berardi,Right Forward,10,0,0,-1,,,,1,233088,77,233088.0,5383.0,90',2025-08-24 04:55:50
13447,736784,3997,home,0,4-3-3,1,1,45,272719,Armand Laurienté,Left Forward,11,0,0,-1,,,,1,288788,8,288788.0,4838.0,81',2025-08-24 04:55:50
13447,736784,3997,home,0,4-3-3,1,0,77,233088,Nicholas Pierini,Substitute,0,1,173817,10,173817.0,5383.0,90',0,0,-1,,,,2025-08-24 04:55:50
13447,736784,3997,home,0,4-3-3,1,0,8,288788,Andrea Ghion,Substitute,0,1,272719,45,272719.0,4838.0,81',0,0,-1,,,,2025-08-24 04:55:50
13447,736784,3997,home,0,4-3-3,1,0,5,287677,Fali Candé,Substitute,0,1,290418,3,290418.0,4840.0,81',0,0,-1,,,,2025-08-24 04:55:50
13447,736784,3997,home,0,4-3-3,1,0,16,310770,Gioele Zacchi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13447,736784,3997,home,0,4-3-3,1,0,12,234305,Giacomo Satalino,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13447,736784,3997,home,0,4-3-3,1,0,49,259838,Aro Muric,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13447,736784,3997,home,0,4-3-3,1,0,9,271140,Samuele Mulattieri,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
13447,736784,3997,home,0,4-3-3,1,0,21,272873,Jay Idzes,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-24 04:55:50
