seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13485,741282,148,home,1,4-3-3,1,1,32,277313,Matej Kovar,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13485,741282,148,home,1,4-3-3,1,1,8,266291,Sergiño Dest,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13485,741282,148,home,1,4-3-3,1,1,17,259136,Mauro Júnior,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13485,741282,148,home,1,4-3-3,1,1,22,239998,Jerdy Schouten,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13485,741282,148,home,1,4-3-3,1,1,6,304478,Ryan Flamingo,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13485,741282,148,home,1,4-3-3,1,1,3,364814,Yarek Gasiorowski,Center Left Defender,6,0,0,-1,,,,1,240965,20,240965.0,3720.0,62',2025-08-04 04:45:49
13485,741282,148,home,1,4-3-3,1,1,34,304572,Ismael Saibari,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13485,741282,148,home,1,4-3-3,1,1,23,240912,Joey Veerman,Left Midfielder,8,0,0,-1,,,,1,340252,7,340252.0,3720.0,62',2025-08-04 04:45:49
13485,741282,148,home,1,4-3-3,1,1,14,168318,Alassane Pléa,Forward,9,0,0,-1,,,,1,245918,4,245918.0,5160.0,86',2025-08-04 04:45:49
13485,741282,148,home,1,4-3-3,1,1,5,103485,Ivan Perisic,Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-08-04 04:45:49
13485,741282,148,home,1,4-3-3,1,1,11,304592,Couhaib Driouech,Left Forward,11,0,0,-1,,,,1,289120,9,289120.0,3720.0,62',2025-08-04 04:45:49
13485,741282,148,home,1,4-3-3,1,0,9,289120,Ricardo Pepi,Substitute,0,1,304592,11,304592.0,3720.0,62',0,0,-1,,,,2025-08-04 04:45:49
