seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13589,751506,20802,home,1,4-2-3-1,1,1,1,257550,Nicky Evrard,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-09-07 05:20:59
13589,751506,20802,home,1,4-2-3-1,1,1,2,314959,Sara Thrige,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-09-07 05:20:59
13589,751506,20802,home,1,4-2-3-1,1,1,5,309947,Melanie Bross,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-09-07 05:20:59
13589,751506,20802,home,1,4-2-3-1,1,1,6,359615,Robine Lacroix,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-09-07 05:20:59
13589,751506,20802,home,1,4-2-3-1,1,1,24,309860,Emmeke Henschen,Center Right Defender,5,0,0,-1,,,,1,309985,18,309985.0,3921.0,66',2025-09-08 05:09:13
13589,751506,20802,home,1,4-2-3-1,1,1,24,309860,Emmeke Henschen,Center Right Defender,5,0,0,-1,,,,1,309985,18,309985.0,3960.0,66',2025-09-08 05:09:13
13589,751506,20802,home,1,4-2-3-1,1,1,8,250645,Sisca Folkertsma,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-09-08 05:09:13
13589,751506,20802,home,1,4-2-3-1,1,1,17,388887,Lore Jacobs,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2025-09-07 05:20:59
13589,751506,20802,home,1,4-2-3-1,1,1,14,309943,Laura Strik,Right Midfielder,8,0,0,-1,,,,1,316075,20,316075.0,2700.0,45',2025-09-07 05:20:59
13589,751506,20802,home,1,4-2-3-1,1,1,14,309943,Laura Strik,Right Midfielder,8,0,0,-1,,,,1,316075,20,316075.0,2700.0,45',2025-09-07 05:20:59
