seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13190,730086,2680,home,1,4-1-4-1,1,1,23,181627,Guillermo Viscarra,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,2680,home,1,4-1-4-1,1,1,22,276854,Guillermo Enrique,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,2680,home,1,4-1-4-1,1,1,13,288607,Ricardo Lagos,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,2680,home,1,4-1-4-1,1,1,4,303030,Erick Noriega,Defensive Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,2680,home,1,4-1-4-1,1,1,5,112619,Carlos Zambrano,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,2680,home,1,4-1-4-1,1,1,6,251993,Renzo Garcés,Center Left Defender,6,0,0,-1,,,,1,288619,15,288619.0,4800.0,80',2025-02-09 05:50:16
13190,730086,2680,home,1,4-1-4-1,1,1,8,181208,Erick Castillo,Right Midfielder,7,0,0,-1,,,,1,309130,19,309130.0,4380.0,73',2025-02-09 05:50:16
13190,730086,2680,home,1,4-1-4-1,1,1,20,116144,Pablo Lavandeira,Center Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,2680,home,1,4-1-4-1,1,1,9,72655,Herná Barcos,Forward,9,0,0,-1,,,,1,267501,16,267501.0,4080.0,68',2025-02-09 05:50:16
13190,730086,2680,home,1,4-1-4-1,1,1,10,132344,Pablo Cepellini,Center Left Midfielder,10,0,0,-1,,,,1,144576,7,144576.0,4140.0,69',2025-02-09 05:50:16
13190,730086,2680,home,1,4-1-4-1,1,1,27,240043,Kevin Quevedo,Left Midfielder,11,0,0,-1,,,,1,302295,11,302295.0,4440.0,74',2025-02-09 05:50:16
13190,730086,2680,home,1,4-1-4-1,1,0,1,252645,Ángelo Campos,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,2680,home,1,4-1-4-1,1,0,44,339045,Carlos Gómez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,2680,home,1,4-1-4-1,1,0,19,309130,Alan Cantero,Substitute,0,1,181208,8,181208.0,4380.0,73',0,0,-1,,,,2025-02-09 05:50:16
13190,730086,2680,home,1,4-1-4-1,1,0,11,302295,Jhamir D´Arrigo,Substitute,0,1,240043,27,240043.0,4440.0,74',0,0,-1,,,,2025-02-09 05:50:16
13190,730086,2680,home,1,4-1-4-1,1,0,15,288619,Jesús Castillo,Substitute,0,1,251993,6,251993.0,4800.0,80',0,0,-1,,,,2025-02-09 05:50:16
13190,730086,2680,home,1,4-1-4-1,1,0,16,267501,Matías Succar,Substitute,0,1,72655,9,72655.0,4080.0,68',0,0,-1,,,,2025-02-09 05:50:16
13190,730086,2680,home,1,4-1-4-1,1,0,17,183904,Jean Pierre Archimbaud,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,2680,home,1,4-1-4-1,1,0,21,156342,Miguel Trauco,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,2680,home,1,4-1-4-1,1,0,7,144576,Fernando Gaibor,Substitute,0,1,132344,10,132344.0,4140.0,69',0,0,-1,,,,2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,1,13,171363,Andy Vidal,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,1,21,277356,Jose Zevallos,Right Back,2,0,0,-1,,,,1,301928,24,301928.0,4080.0,68',2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,1,6,164530,Alvaro Ampuero,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,1,16,284831,Oswaldo Valenzuela,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,1,2,261148,Marco Saravia,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,1,8,252644,Aldair Fuentes,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,1,7,225603,Pierre Da Silva,Attacking Midfielder Right,7,0,0,-1,,,,1,398336,32,398336.0,4080.0,68',2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,1,14,235839,Carlos Diez,Right Midfielder,8,0,0,-1,,,,1,241236,5,241236.0,4080.0,68',2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,1,11,164454,Juan Manuel Tévez,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,1,10,211540,Iván Colman,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,1,26,206308,Nicolás Silva,Attacking Midfielder Left,11,0,0,-1,,,,1,19469,19,19469.0,5100.0,85',2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,0,3,278774,Alessandro Milesi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,0,19,19469,Carlos Gamarra,Substitute,0,1,206308,26,206308.0,5100.0,85',0,0,-1,,,,2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,0,32,398336,Julián Aquino,Substitute,0,1,225603,7,225603.0,4080.0,68',0,0,-1,,,,2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,0,18,358205,Santiago Gálvez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,0,24,301928,Marlon Ruidías,Substitute,0,1,277356,21,277356.0,4080.0,68',0,0,-1,,,,2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,0,28,288604,Pedro Diaz,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,0,17,274476,Pablo Cárdenas,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,0,5,241236,Miguel Aucca,Substitute,0,1,235839,14,235839.0,4080.0,68',0,0,-1,,,,2025-02-09 05:50:16
13190,730086,11995,away,0,4-2-3-1,1,0,22,179984,Lucas Colitto,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-09 05:50:16
13190,730087,19432,home,0,4-1-4-1,1,1,1,288657,Pedro Ynamine,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-02-10 05:47:23
13190,730087,19432,home,0,4-1-4-1,1,1,26,333345,Gerson Iraola,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-02-10 05:47:23
13190,730087,19432,home,0,4-1-4-1,1,1,14,252682,Brayan Guevara,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-02-10 05:47:23
13190,730087,19432,home,0,4-1-4-1,1,1,11,171504,Edson Vasquez,Defensive Midfielder,4,0,0,-1,,,,1,285817,21,285817.0,4200.0,70',2025-02-10 05:47:23
13190,730087,19432,home,0,4-1-4-1,1,1,6,216599,Jhon Ibargüen,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-02-10 05:47:23
13190,730087,19432,home,0,4-1-4-1,1,1,50,158429,Christian Ramos,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-02-10 05:47:23
13190,730087,19432,home,0,4-1-4-1,1,1,32,379112,Walter Leguía,Right Midfielder,7,0,0,-1,,,,1,191012,90,191012.0,4920.0,82',2025-02-10 05:47:23
13190,730087,19432,home,0,4-1-4-1,1,1,38,183025,Jorginho Sernaqué,Center Right Midfielder,8,0,0,-1,,,,1,235614,20,235614.0,3600.0,60',2025-02-10 05:47:23
13190,730087,19432,home,0,4-1-4-1,1,1,17,142309,Yorleys Mena,Forward,9,0,0,-1,,,,1,399856,9,399856.0,4200.0,70',2025-02-10 05:47:23
13190,730087,19432,home,0,4-1-4-1,1,1,8,240032,Marcos Lliuya,Center Left Midfielder,10,0,0,-1,,,,1,255813,10,255813.0,4200.0,70',2025-02-10 05:47:23
13190,730087,19432,home,0,4-1-4-1,1,1,22,252698,Rick Campodónico,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-02-10 05:47:23
13190,730087,19432,home,0,4-1-4-1,1,0,90,191012,Camilo Rodríguez,Substitute,0,1,379112,32,379112.0,4920.0,82',0,0,-1,,,,2025-02-10 05:47:23
13190,730087,19432,home,0,4-1-4-1,1,0,28,190364,Aldair Perleche,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-10 05:47:23
13190,730087,19432,home,0,4-1-4-1,1,0,9,399856,Gustavo Pereira,Substitute,0,1,142309,17,142309.0,4200.0,70',0,0,-1,,,,2025-02-10 05:47:23
13190,730087,19432,home,0,4-1-4-1,1,0,12,196034,Eduardo Figueroa,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-10 05:47:23
13190,730087,19432,home,0,4-1-4-1,1,0,20,235614,Ray Gómez,Substitute,0,1,183025,38,183025.0,3600.0,60',0,0,-1,,,,2025-02-10 05:47:23
13190,730087,19432,home,0,4-1-4-1,1,0,19,254148,Jesús Mendieta,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-10 05:47:23
13190,730087,19432,home,0,4-1-4-1,1,0,10,255813,Yamir Oliva,Substitute,0,1,240032,8,240032.0,4200.0,70',0,0,-1,,,,2025-02-10 05:47:23
13190,730087,19432,home,0,4-1-4-1,1,0,21,285817,Anthony Aoki,Substitute,0,1,171504,11,171504.0,4200.0,70',0,0,-1,,,,2025-02-10 05:47:23
13190,730087,19432,home,0,4-1-4-1,1,0,33,378972,Gut,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-10 05:47:23
13190,730087,2673,away,0,4-2-3-1,1,1,1,286658,Diego Enriquez,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-02-10 05:47:23
13190,730087,2673,away,0,4-2-3-1,1,1,8,145150,Leandro Sosa,Right Back,2,0,0,-1,,,,1,298858,15,298858.0,2520.0,42',2025-02-10 05:47:23
13190,730087,2673,away,0,4-2-3-1,1,1,28,167354,Nicolás Pasquini,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-02-10 05:47:23
13190,730087,2673,away,0,4-2-3-1,1,1,55,235998,Gustavo Cazonatti,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-02-10 05:47:23
13190,730087,2673,away,0,4-2-3-1,1,1,21,128422,Franco Romero,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-02-10 05:47:23
