seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13655,755221,18825,home,0,4-2-3-1,1,1,16,230569,Jamal Salim,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13655,755221,18825,home,0,4-2-3-1,1,1,37,392111,Sbangani Zulu,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13655,755221,18825,home,0,4-2-3-1,1,1,47,390443,Sbani Khumalo,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13655,755221,18825,home,0,4-2-3-1,1,1,6,309000,Tlakusani Mthethwa,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13655,755221,18825,home,0,4-2-3-1,1,1,25,313712,Simphiwe Mcineka,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13655,755221,18825,home,0,4-2-3-1,1,1,72,313709,Tshepo Wilson Mabua,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13655,755221,18825,home,0,4-2-3-1,1,1,34,313431,Mfundo Thikazi,Attacking Midfielder Right,7,0,0,-1,,,,1,408447,14,408447.0,2700.0,45',2025-08-10 04:44:46
13655,755221,18825,home,0,4-2-3-1,1,1,20,313719,Moses Mthembu,Right Midfielder,8,0,0,-1,,,,1,399334,33,399334.0,4740.0,79',2025-08-10 04:44:46
13655,755221,18825,home,0,4-2-3-1,1,1,7,185268,Frank Mhango,Forward,9,0,0,-1,,,,1,266052,11,266052.0,5100.0,85',2025-08-10 04:44:46
13655,755221,18825,home,0,4-2-3-1,1,1,19,408419,Siyabonga Nzama,Attacking Midfielder,10,0,0,-1,,,,1,384133,35,384133.0,3900.0,65',2025-08-10 04:44:46
13655,755221,18825,home,0,4-2-3-1,1,1,17,346460,Thulani Gumede,Attacking Midfielder Left,11,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13655,755221,18825,home,0,4-2-3-1,1,0,35,384133,Thabisa Ndelu,Substitute,0,1,408419,19,408419.0,3900.0,65',0,0,-1,,,,2025-08-10 04:44:46
13655,755221,18825,home,0,4-2-3-1,1,0,36,395857,Lindokuhle Zikhali,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13655,755221,18825,home,0,4-2-3-1,1,0,33,399334,Wandile Ngema,Substitute,0,1,313719,20,313719.0,4740.0,79',0,0,-1,,,,2025-08-10 04:44:46
13655,755221,18825,home,0,4-2-3-1,1,0,26,408417,Halalisani Vilakazi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13655,755221,18825,home,0,4-2-3-1,1,0,1,296955,Ian Otieno,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13655,755221,18825,home,0,4-2-3-1,1,0,8,266128,Thabani Zuke,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13655,755221,18825,home,0,4-2-3-1,1,0,11,266052,Lindokuhle Praise Mtshali,Substitute,0,1,185268,7,185268.0,5100.0,85',0,0,-1,,,,2025-08-10 04:44:46
13655,755221,18825,home,0,4-2-3-1,1,0,14,408447,Lundi Mahala,Substitute,0,1,313431,34,313431.0,2700.0,45',0,0,-1,,,,2025-08-10 04:44:46
13655,755221,18825,home,0,4-2-3-1,1,0,75,408448,Mbulelo Nombengula,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13655,755221,13317,away,1,4-1-3-2,1,1,36,120123,Washington Arubi,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13655,755221,13317,away,1,4-1-3-2,1,1,13,398390,Khumbulani Ncube,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13655,755221,13317,away,1,4-1-3-2,1,1,4,271893,Lebohang Mabotja,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13655,755221,13317,away,1,4-1-3-2,1,1,5,164877,Diala Manaka,Sweeper,4,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13655,755221,13317,away,1,4-1-3-2,1,1,35,270040,Marvin Sibusiso Sikhosana,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13655,755221,13317,away,1,4-1-3-2,1,1,18,391762,Mpho Chabatsane,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13655,755221,13317,away,1,4-1-3-2,1,1,26,325169,Christopher Sekela,Right Midfielder,7,0,0,-1,,,,1,391764,33,391764.0,5100.0,85',2025-08-10 04:44:46
