seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13505,743498,2991,home,0,4-5-1,1,1,88,234407,Giorgi Shelia,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-07-21 04:38:10
13505,743498,2991,home,0,4-5-1,1,1,55,237586,Darko Todorovic,Right Back,2,0,0,-1,,,,1,364706,81,364706.0,2940.0,49',2025-07-21 04:38:10
13505,743498,2991,home,0,4-5-1,1,1,8,222299,Miroslav Bogosavac,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-07-21 04:38:10
13505,743498,2991,home,0,4-5-1,1,1,14,260270,Amine Talal,Center Right Midfielder,4,0,0,-1,,,,1,219176,77,219176.0,3300.0,55',2025-07-21 04:38:10
13505,743498,2991,home,0,4-5-1,1,1,75,191104,Nader Ghandri,Center Right Defender,5,0,0,-1,,,,1,258730,5,258730.0,2700.0,45',2025-07-21 04:38:10
13505,743498,2991,home,0,4-5-1,1,1,4,325368,Turpal-Ali Ibishev,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-07-21 04:38:10
13505,743498,2991,home,0,4-5-1,1,1,9,217150,Brian Mansilla,Right Midfielder,7,0,0,-1,,,,1,316610,20,316610.0,3300.0,55',2025-07-21 04:38:10
13505,743498,2991,home,0,4-5-1,1,1,42,357781,Manuel Keliano,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-07-21 04:38:10
13505,743498,2991,home,0,4-5-1,1,1,13,163213,Mohamed Konaté,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-07-21 04:38:10
13505,743498,2991,home,0,4-5-1,1,1,11,238434,Ismael Silva Lime,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-07-21 04:38:10
13505,743498,2991,home,0,4-5-1,1,1,7,283896,Lechii Sadulaev,Left Midfielder,11,0,0,-1,,,,1,385988,70,385988.0,4500.0,75',2025-07-21 04:38:10
13505,743498,2991,home,0,4-5-1,1,0,5,258730,Milos Satara,Substitute,0,1,191104,75,191104.0,2700.0,45',0,0,-1,,,,2025-07-21 04:38:10
13505,743498,2991,home,0,4-5-1,1,0,32,401435,Ilyas Gaibov,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-21 04:38:10
13505,743498,2991,home,0,4-5-1,1,0,70,385988,Abakar Gadzhiev,Substitute,0,1,283896,7,283896.0,4500.0,75',0,0,-1,,,,2025-07-21 04:38:10
13505,743498,2991,home,0,4-5-1,1,0,72,381081,Yakhya Magomedov,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-21 04:38:10
13505,743498,2991,home,0,4-5-1,1,0,81,364706,Maksim Sidorov,Substitute,0,1,237586,55,237586.0,2940.0,49',0,0,-1,,,,2025-07-21 04:38:10
