seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13501,742954,17582,home,0,4-2-3-1,1,1,1,366869,Freddie Owens,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,17582,home,0,4-2-3-1,1,1,5,162825,Sean Fagan,Right Back,2,0,0,-1,,,,1,170447,2,170447.0,3180.0,53',2025-08-03 04:40:32
13501,742954,17582,home,0,4-2-3-1,1,1,3,347295,Magnus Mackenzie,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,17582,home,0,4-2-3-1,1,1,6,190864,Jack Leitch,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,17582,home,0,4-2-3-1,1,1,24,346943,Erik Sula,Center Right Defender,5,0,0,-1,,,,1,277572,19,277572.0,3720.0,62',2025-08-03 04:40:32
13501,742954,17582,home,0,4-2-3-1,1,1,20,239327,Rhys Breen,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,17582,home,0,4-2-3-1,1,1,10,261415,John Robertson,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,17582,home,0,4-2-3-1,1,1,25,179662,Lewis Spence,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,17582,home,0,4-2-3-1,1,1,16,366364,Lewis Dobbie,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,17582,home,0,4-2-3-1,1,1,12,365680,Keir Foster,Attacking Midfielder,10,0,0,-1,,,,1,293874,11,293874.0,3720.0,62',2025-08-03 04:40:32
13501,742954,17582,home,0,4-2-3-1,1,1,7,206524,Nathan Flanagan,Attacking Midfielder Left,11,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,17582,home,0,4-2-3-1,1,0,2,170447,David Ferguson,Substitute,0,1,162825,5,162825.0,3180.0,53',0,0,-1,,,,2025-08-03 04:40:32
13501,742954,17582,home,0,4-2-3-1,1,0,14,378789,Dean Clelland,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,17582,home,0,4-2-3-1,1,0,27,311719,James Lyon,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,17582,home,0,4-2-3-1,1,0,11,293874,Jack Healy,Substitute,0,1,365680,12,365680.0,3720.0,62',0,0,-1,,,,2025-08-03 04:40:32
13501,742954,17582,home,0,4-2-3-1,1,0,19,277572,Reegan Mimnaugh,Substitute,0,1,346943,24,346943.0,3720.0,62',0,0,-1,,,,2025-08-03 04:40:32
13501,742954,17582,home,0,4-2-3-1,1,0,21,328873,Joe Morrison,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,18015,away,1,4-4-1-1,1,1,21,255840,Paddy Martin,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,18015,away,1,4-4-1-1,1,1,2,262798,Kieran Watson,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,18015,away,1,4-4-1-1,1,1,3,145039,Callum Booth,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,18015,away,1,4-4-1-1,1,1,4,137317,Sean Welsh,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,18015,away,1,4-4-1-1,1,1,15,250561,Aryton Sonkur,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,18015,away,1,4-4-1-1,1,1,23,248928,Kevin Waugh,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,18015,away,1,4-4-1-1,1,1,7,228919,Jamie Dishington,Right Midfielder,7,0,0,-1,,,,1,291069,22,291069.0,5040.0,84',2025-08-03 04:40:32
13501,742954,18015,away,1,4-4-1-1,1,1,33,334325,Bradley Whyte,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,18015,away,1,4-4-1-1,1,1,29,260605,Mark Stowe,Forward,9,0,0,-1,,,,1,324310,18,324310.0,3600.0,60',2025-08-03 04:40:32
13501,742954,18015,away,1,4-4-1-1,1,1,28,176470,James Craigen,Rear Center Forward,10,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,18015,away,1,4-4-1-1,1,1,11,206430,Cameron Russell,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,18015,away,1,4-4-1-1,1,0,12,365874,Kenzi Nair,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,18015,away,1,4-4-1-1,1,0,20,366804,Given Ndlovu,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-13 04:46:09
13501,742954,18015,away,1,4-4-1-1,1,0,17,384139,Archie Wylie,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,18015,away,1,4-4-1-1,1,0,6,345984,Bailey Dall,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,18015,away,1,4-4-1-1,1,0,10,340473,Mackenzie Scott,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,18015,away,1,4-4-1-1,1,0,18,324310,Brogan Walls,Substitute,0,1,260605,29,260605.0,3600.0,60',0,0,-1,,,,2025-08-03 04:40:32
13501,742954,18015,away,1,4-4-1-1,1,0,1,212947,Blair Carswell,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742954,18015,away,1,4-4-1-1,1,0,9,179659,Blair Henderson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742955,2832,home,0,4-1-3-2,1,1,1,256428,Mark Weir,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742955,2832,home,0,4-1-3-2,1,1,6,277672,Edin Lynch,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742955,2832,home,0,4-1-3-2,1,1,3,336766,Quinn Mitchell,Left Back,3,0,0,-1,,,,1,408356,16,408356.0,3300.0,55',2025-08-03 04:40:32
13501,742955,2832,home,0,4-1-3-2,1,1,10,260602,Jason Jarvis,Sweeper,4,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742955,2832,home,0,4-1-3-2,1,1,5,154406,Jack Duncan,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742955,2832,home,0,4-1-3-2,1,1,17,352383,Lewis Mcarthur,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742955,2832,home,0,4-1-3-2,1,1,7,239268,James Stokes,Right Midfielder,7,0,0,-1,,,,1,366791,15,366791.0,4140.0,69',2025-08-03 04:40:32
13501,742955,2832,home,0,4-1-3-2,1,1,4,350197,Jake Service,Center Midfielder,8,0,0,-1,,,,1,407287,24,407287.0,2700.0,45',2025-08-03 04:40:32
13501,742955,2832,home,0,4-1-3-2,1,1,19,407285,Callum Brodie,Center Right Forward,9,0,0,-1,,,,1,276209,25,276209.0,3600.0,60',2025-08-03 04:40:32
13501,742955,2832,home,0,4-1-3-2,1,1,27,289617,Tiwi Daramola,Center Left Forward,10,0,0,-1,,,,1,291066,18,291066.0,3300.0,55',2025-08-03 04:40:32
13501,742955,2832,home,0,4-1-3-2,1,1,8,321900,Robert Mahon,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-08-03 04:40:32
13501,742955,2832,home,0,4-1-3-2,1,0,24,407287,Logan Myles,,0,1,350197,4,350197.0,2700.0,45',0,0,-1,,,,2025-08-03 04:40:32
13501,742955,2832,home,0,4-1-3-2,1,0,18,291066,Trialist A,,0,1,289617,27,289617.0,3300.0,55',0,0,-1,,,,2025-08-03 04:40:32
