seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13636,761425,17582,home,0,4-2-3-1,1,1,21,328873,Joe Morrison,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-12-10 06:01:41
13636,761425,17582,home,0,4-2-3-1,1,1,2,170447,David Ferguson,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-12-10 06:01:41
13636,761425,17582,home,0,4-2-3-1,1,1,3,347295,Magnus Mackenzie,Left Back,3,0,0,-1,,,,1,228162,33,228162.0,3480.0,58',2025-12-10 06:01:41
13636,761425,17582,home,0,4-2-3-1,1,1,27,311719,James Lyon,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-12-10 06:01:41
13636,761425,17582,home,0,4-2-3-1,1,1,5,162825,Sean Fagan,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-12-10 06:01:41
13636,761425,17582,home,0,4-2-3-1,1,1,20,239327,Rhys Breen,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-12-10 06:01:41
13636,761425,17582,home,0,4-2-3-1,1,1,10,261415,John Robertson,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2025-12-10 06:01:41
13636,761425,17582,home,0,4-2-3-1,1,1,6,190864,Jack Leitch,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-12-10 06:01:41
13636,761425,17582,home,0,4-2-3-1,1,1,14,312026,Connor Young,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-12-10 06:01:41
13636,761425,17582,home,0,4-2-3-1,1,1,8,291490,Joao Balde,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-12-10 06:01:41
13636,761425,17582,home,0,4-2-3-1,1,1,12,365680,Keir Foster,Attacking Midfielder Left,11,0,0,-1,,,,1,293874,11,293874.0,2700.0,45',2025-12-10 06:01:41
13636,761425,17582,home,0,4-2-3-1,1,0,11,293874,Jack Healy,Substitute,0,1,365680,12,365680.0,2700.0,45',0,0,-1,,,,2025-12-10 06:01:41
13636,761425,17582,home,0,4-2-3-1,1,0,33,228162,Ouzy See,Substitute,0,1,347295,3,347295.0,3480.0,58',0,0,-1,,,,2025-12-10 06:01:41
13636,761425,17582,home,0,4-2-3-1,1,0,4,192096,Jamie Hamilton,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-10 06:01:41
13636,761425,17582,home,0,4-2-3-1,1,0,25,179662,Lewis Spence,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-10 06:01:41
13636,761425,17582,home,0,4-2-3-1,1,0,19,277572,Reegan Mimnaugh,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-10 06:01:41
13636,761425,17582,home,0,4-2-3-1,1,0,24,346943,Erik Sula,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-10 06:01:41
13636,761425,17582,home,0,4-2-3-1,1,0,16,366364,Lewis Dobbie,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-10 06:01:41
13636,761425,17582,home,0,4-2-3-1,1,0,1,366869,Freddie Owens,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-12-10 06:01:41
