seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13503,743134,3019,home,0,4-3-3,1,1,25,183118,Yanick Brecher,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3019,home,0,4-3-3,1,1,2,271902,Lindrit Kamberi,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3019,home,0,4-3-3,1,1,43,399798,Neil Volken,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3019,home,0,4-3-3,1,1,15,82716,Nelson Palacio,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3019,home,0,4-3-3,1,1,5,266937,Mariano Gómez,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3019,home,0,4-3-3,1,1,27,276906,Ilan Sauter,Center Left Defender,6,0,0,-1,,,,1,357088,48,357088.0,5220.0,87',2025-07-26 04:39:17
13503,743134,3019,home,0,4-3-3,1,1,10,121505,Steven Zuber,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3019,home,0,4-3-3,1,1,38,341068,Miguel Reichmuth,Left Midfielder,8,0,0,-1,,,,1,403906,45,403906.0,5220.0,87',2025-07-26 04:39:17
13503,743134,3019,home,0,4-3-3,1,1,29,321096,Damienus Reverson,Forward,9,0,0,-1,,,,1,328043,26,328043.0,3960.0,66',2025-07-26 04:39:17
13503,743134,3019,home,0,4-3-3,1,1,17,282382,Matthias Phaëton,Right Forward,10,0,0,-1,,,,1,402528,40,402528.0,4920.0,82',2025-07-26 04:39:17
13503,743134,3019,home,0,4-3-3,1,1,11,362660,Umeh Emmanuel,Left Forward,11,0,0,-1,,,,1,275016,7,275016.0,4920.0,82',2025-07-26 04:39:17
13503,743134,3019,home,0,4-3-3,1,0,6,380662,Cheveyo Tsawa,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3019,home,0,4-3-3,1,0,7,275016,Bledian Krasniqi,Substitute,0,1,362660,11,362660.0,4920.0,82',0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3019,home,0,4-3-3,1,0,45,403906,Gian Stork,Substitute,0,1,341068,38,341068.0,5220.0,87',0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3019,home,0,4-3-3,1,0,40,402528,Vincent Nvendo,Substitute,0,1,282382,17,282382.0,4920.0,82',0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3019,home,0,4-3-3,1,0,18,269588,Mohamed Bangoura,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3019,home,0,4-3-3,1,0,1,386593,Silas Huber,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3019,home,0,4-3-3,1,0,48,357088,Daniel Ihendu,Substitute,0,1,276906,27,276906.0,5220.0,87',0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3019,home,0,4-3-3,1,0,26,328043,Jahnoah Markelo,Substitute,0,1,321096,29,321096.0,3960.0,66',0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3019,home,0,4-3-3,1,0,22,286180,Armstrong Okoflex,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3076,away,1,4-2-3-1,1,1,1,273303,Anthony Racioppi,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3076,away,1,4-2-3-1,1,1,14,176495,Numa Lavanchy,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3076,away,1,4-2-3-1,1,1,20,275009,Nias Hefti,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3076,away,1,4-2-3-1,1,1,5,324702,Noah Sow,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3076,away,1,4-2-3-1,1,1,28,321206,Kreshnik Hajrizi,Center Right Defender,5,0,0,-1,,,,1,323752,21,323752.0,3840.0,64',2025-07-26 04:39:17
13503,743134,3076,away,1,4-2-3-1,1,1,17,275012,Jan Kronig,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3076,away,1,4-2-3-1,1,1,7,283802,Ylyas Chouaref,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2025-07-26 04:39:17
13503,743134,3076,away,1,4-2-3-1,1,1,88,238879,Ali Kabacalman,Right Midfielder,8,0,0,-1,,,,1,356272,11,356272.0,4620.0,77',2025-07-26 04:39:17
13503,743134,3076,away,1,4-2-3-1,1,1,33,406337,Rilind Nivokazi,Forward,9,0,0,-1,,,,1,406530,13,406530.0,5100.0,85',2025-07-26 04:39:17
13503,743134,3076,away,1,4-2-3-1,1,1,10,202673,Anton Miranchuk,Attacking Midfielder,10,0,0,-1,,,,1,313093,29,313093.0,3840.0,64',2025-07-26 04:39:17
13503,743134,3076,away,1,4-2-3-1,1,1,70,202179,Benjamin Kololli,Attacking Midfielder Left,11,0,0,-1,,,,1,307245,39,307245.0,3840.0,64',2025-07-26 04:39:17
13503,743134,3076,away,1,4-2-3-1,1,0,44,407437,Nevio Biner,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-07-26 04:39:17
