seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13566,749918,3794,home,1,4-2-3-1,1,1,21,298351,Abdullah Yigiter,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13566,749918,3794,home,1,4-2-3-1,1,1,22,170645,Sander van de Streek,Right Back,2,0,0,-1,,,,1,401503,20,401503.0,5040.0,84',2025-08-10 04:44:46
13566,749918,3794,home,1,4-2-3-1,1,1,3,207543,Kenneth Paal,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13566,749918,3794,home,1,4-2-3-1,1,1,18,341702,Jakub Kaluzinski,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13566,749918,3794,home,1,4-2-3-1,1,1,89,143224,Veysel Sari,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13566,749918,3794,home,1,4-2-3-1,1,1,5,277469,Bahadir Ozturk,Center Left Defender,6,0,0,-1,,,,1,222554,14,222554.0,2280.0,38',2025-08-10 04:44:46
13566,749918,3794,home,1,4-2-3-1,1,1,11,113459,Guray Vural,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13566,749918,3794,home,1,4-2-3-1,1,1,6,260447,Soner Dikmen,Right Midfielder,8,0,0,-1,,,,1,276041,27,276041.0,5040.0,84',2025-08-10 04:44:46
13566,749918,3794,home,1,4-2-3-1,1,1,9,307755,Tomas Cvancara,Forward,9,0,0,-1,,,,1,355370,99,355370.0,5040.0,84',2025-08-10 04:44:46
13566,749918,3794,home,1,4-2-3-1,1,1,10,239750,Abdülkadir Ömür,Attacking Midfielder,10,0,0,-1,,,,1,284247,7,284247.0,3840.0,64',2025-08-10 04:44:46
13566,749918,3794,home,1,4-2-3-1,1,1,26,212216,Nikola Storm,Attacking Midfielder Left,11,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13566,749918,3794,home,1,4-2-3-1,1,0,20,401503,Hasan Ilcin,Substitute,0,1,170645,22,170645.0,5040.0,84',0,0,-1,,,,2025-08-10 04:44:46
13566,749918,3794,home,1,4-2-3-1,1,0,98,408787,Ege Izmirli,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-25 04:55:46
13566,749918,3794,home,1,4-2-3-1,1,0,19,404647,Ali Demirbilek,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13566,749918,3794,home,1,4-2-3-1,1,0,33,398481,Berkay Topdemir,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-25 04:55:46
13566,749918,3794,home,1,4-2-3-1,1,0,90,383238,Kerem Kayaarasi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13566,749918,3794,home,1,4-2-3-1,1,0,96,352534,Kagan Arican,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-10 04:44:46
13566,749918,3794,home,1,4-2-3-1,1,0,7,284247,Bunyamin Balci,Substitute,0,1,239750,10,239750.0,3840.0,64',0,0,-1,,,,2025-08-10 04:44:46
