seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13477,756214,257,home,0,4-3-3,1,1,1,157933,Jack Butland,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-08-21 04:55:19
13477,756214,257,home,0,4-3-3,1,1,3,243725,Max Aarons,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-08-21 04:55:19
13477,756214,257,home,0,4-3-3,1,1,30,352820,Jayden Meghoma,Left Back,3,0,0,-1,,,,1,141144,2,141144.0,4199.0,70',2025-08-21 04:55:19
13477,756214,257,home,0,4-3-3,1,1,43,260027,Nicolas Raskin,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-08-21 04:55:19
13477,756214,257,home,0,4-3-3,1,1,24,319987,Nasser Djiga,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-08-21 04:55:19
13477,756214,257,home,0,4-3-3,1,1,5,181394,John Souttar,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-08-21 04:55:19
13477,756214,257,home,0,4-3-3,1,1,10,303049,Mohammed Diomande,Right Midfielder,7,0,0,-1,,,,1,307477,11,307477.0,3647.0,61',2025-08-21 04:55:19
13477,756214,257,home,0,4-3-3,1,1,6,215790,Joe Rothwell,Left Midfielder,8,0,0,-1,,,,1,288579,16,288579.0,5119.0,86',2025-08-21 04:55:19
13477,756214,257,home,0,4-3-3,1,1,99,272224,Danilo,Forward,9,0,0,-1,,,,1,358999,29,358999.0,3648.0,61',2025-08-29 05:28:14
13477,756214,257,home,0,4-3-3,1,1,18,285974,Oliver Antman,Right Forward,10,0,0,-1,,,,1,365332,47,365332.0,4198.0,70',2025-08-21 04:55:19
13477,756214,257,home,0,4-3-3,1,1,23,340208,Djeidi Gassama,Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-08-21 04:55:19
13477,756214,257,home,0,4-3-3,1,0,52,368045,Findlay Curtis,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-21 04:55:19
13477,756214,257,home,0,4-3-3,1,0,63,366794,Zander Hutton,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-21 04:55:19
13477,756214,257,home,0,4-3-3,1,0,2,141144,James Tavernier,Substitute,0,1,352820,30,352820.0,4199.0,70',0,0,-1,,,,2025-08-21 04:55:19
13477,756214,257,home,0,4-3-3,1,0,47,365332,Mikey Moore,Substitute,0,1,285974,18,285974.0,4198.0,70',0,0,-1,,,,2025-08-21 04:55:19
13477,756214,257,home,0,4-3-3,1,0,50,376392,Josh Gentles,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-21 04:55:19
13477,756214,257,home,0,4-3-3,1,0,29,358999,Hamza Igmane,Substitute,0,1,272224,99,272224.0,3648.0,61',0,0,-1,,,,2025-08-21 04:55:19
13477,756214,257,home,0,4-3-3,1,0,31,16264,Liam Kelly,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-08-21 04:55:19
