seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13694,757965,2990,home,1,4-2-3-1,1,1,41,258424,Bartosz Mrozek,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,1,2,305503,Joel Pereira,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,1,15,358299,Michal Gurgul,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,1,24,239756,Filip Jagiello,Left Midfielder,4,0,0,-1,,,,1,313256,43,313256.0,4023.0,68',2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,1,3,267613,Alex Douglas,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,1,16,176767,Antonio Milic,Center Left Defender,6,0,0,-1,,,,1,325947,72,325947.0,4047.0,68',2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,1,88,336436,Taofeek Ismaheel,Attacking Midfielder Right,7,0,0,-1,,,,1,290071,19,290071.0,4810.0,81',2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,1,6,330724,Timothy Ouma,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,1,9,169583,Mikael Ishak,Forward,9,0,0,-1,,,,1,329971,7,329971.0,4054.0,68',2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,1,77,133852,Luis Palma,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,1,56,405754,Kornel Lisman,Attacking Midfielder Left,11,0,0,-1,,,,1,245553,14,245553.0,4540.0,76',2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,0,33,365888,Mateusz Pruchniewski,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,0,31,304932,Krzysztof Bakowski,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,0,27,405755,Wojciech Monka,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,0,14,245553,Leo Bengtsson,Substitute,0,1,405754,56,405754.0,4540.0,76',0,0,-1,,,,2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,0,19,290071,Bryan Fiabema,Substitute,0,1,336436,88,336436.0,4810.0,81',0,0,-1,,,,2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,0,7,329971,Yannick Agnero,Substitute,0,1,169583,9,169583.0,4054.0,68',0,0,-1,,,,2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,0,72,325947,Mateusz Skrzypczak,Substitute,0,1,176767,16,176767.0,4047.0,68',0,0,-1,,,,2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,0,43,313256,Antoni Kozubal,Substitute,0,1,239756,24,239756.0,4023.0,68',0,0,-1,,,,2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,0,20,235180,Robert Gumny,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,0,99,308472,Pablo Rodriguez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-03 05:13:17
13694,757965,2990,home,1,4-2-3-1,1,0,4,68802,Joao Moutinho,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-03 05:13:17
