seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13269,732348,14290,home,0,4-3-3,1,1,1,409087,Dor Benyamini,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-15 06:09:43
13269,732348,14290,home,0,4-3-3,1,1,4,340693,Yonatan Kay Laish,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-11-15 06:09:43
13269,732348,14290,home,0,4-3-3,1,1,8,362657,Ran Binyamin,Left Back,3,0,0,-1,,,,1,412123,17,412123.0,4560.0,76',2025-11-15 06:09:43
13269,732348,14290,home,0,4-3-3,1,1,7,324954,Tai Abed,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-11-15 06:09:43
13269,732348,14290,home,0,4-3-3,1,1,21,409957,Maor Yashilirmak,Center Right Defender,5,0,0,-1,,,,1,376804,3,376804.0,4560.0,76',2025-11-15 06:09:43
13269,732348,14290,home,0,4-3-3,1,1,5,390839,Nikita Stoioanov,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-11-15 06:09:43
13269,732348,14290,home,0,4-3-3,1,1,6,385090,Niv Yehoshua,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-11-15 06:09:43
13269,732348,14290,home,0,4-3-3,1,1,2,362656,Noam Ben Harush,Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-11-15 06:09:43
13269,732348,14290,home,0,4-3-3,1,1,11,366252,Saied Abu Farchi,Forward,9,0,0,-1,,,,1,384617,14,384617.0,3840.0,64',2025-11-15 06:09:43
13269,732348,14290,home,0,4-3-3,1,1,22,363454,Mohamad Abu Rumi,Right Forward,10,0,0,-1,,,,1,409958,19,409958.0,3840.0,64',2025-11-15 06:09:43
13269,732348,14290,home,0,4-3-3,1,1,10,364199,Adi Yona,Left Forward,11,0,0,-1,,,,1,335158,16,335158.0,3840.0,64',2025-11-15 06:09:43
13269,732348,14290,home,0,4-3-3,1,0,19,409958,Daniel Dappa,Substitute,0,1,363454,22,363454.0,3840.0,64',0,0,-1,,,,2025-11-15 06:09:43
13269,732348,14290,home,0,4-3-3,1,0,18,362655,Ofek Melika,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-15 06:09:43
13269,732348,14290,home,0,4-3-3,1,0,17,412123,Roee Alkokin,Substitute,0,1,362657,8,362657.0,4560.0,76',0,0,-1,,,,2025-11-15 06:09:43
13269,732348,14290,home,0,4-3-3,1,0,12,343193,Roy Navi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-15 06:09:43
13269,732348,14290,home,0,4-3-3,1,0,3,376804,Denis Kulikov,Substitute,0,1,409957,21,409957.0,4560.0,76',0,0,-1,,,,2025-11-15 06:09:43
13269,732348,14290,home,0,4-3-3,1,0,16,335158,Bar Linn,Substitute,0,1,364199,10,364199.0,3840.0,64',0,0,-1,,,,2025-11-15 06:09:43
13269,732348,14290,home,0,4-3-3,1,0,20,393560,Yanai Distalfeld,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-15 06:09:43
13269,732348,14290,home,0,4-3-3,1,0,14,384617,Iyad Khalaili,Substitute,0,1,366252,11,366252.0,3840.0,64',0,0,-1,,,,2025-11-15 06:09:43
13269,732348,14290,home,0,4-3-3,1,0,9,386927,Karem Zoabi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-15 06:09:43
13269,732348,14253,away,1,4-2-3-1,1,1,1,373795,Martin Børsheim,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-20 06:03:07
13269,732348,14253,away,1,4-2-3-1,1,1,3,359502,Jesper Reitan-Sunde,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-11-20 06:03:07
13269,732348,14253,away,1,4-2-3-1,1,1,6,336755,Dennis Gjengaar,Left Back,3,0,0,-1,,,,1,319331,16,319331.0,3600.0,60',2025-11-20 06:03:07
13269,732348,14253,away,1,4-2-3-1,1,1,8,354149,Jens Hjerto Dahl,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-11-20 06:03:07
13269,732348,14253,away,1,4-2-3-1,1,1,5,361818,Eivind Helland,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-11-20 06:03:07
13269,732348,14253,away,1,4-2-3-1,1,1,13,356399,Rasmus Holten,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-11-20 06:03:07
13269,732348,14253,away,1,4-2-3-1,1,1,10,323173,Marius Broholm,Attacking Midfielder Right,7,0,0,-1,,,,1,359500,15,359500.0,5100.0,85',2025-11-20 06:03:07
13269,732348,14253,away,1,4-2-3-1,1,1,17,325047,Niklas Odegard,Right Midfielder,8,0,0,-1,,,,1,380299,22,380299.0,5100.0,85',2025-11-20 06:03:07
13269,732348,14253,away,1,4-2-3-1,1,1,9,330045,Sindre Walle Egeli,Forward,9,0,0,-1,,,,1,319301,20,319301.0,5100.0,85',2025-11-20 06:03:07
13269,732348,14253,away,1,4-2-3-1,1,1,7,334109,Sverre Nypan,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-11-20 06:03:07
13269,732348,14253,away,1,4-2-3-1,1,1,11,341309,Edvin Austbø,Attacking Midfielder Left,11,0,0,-1,,,,1,340237,18,340237.0,3600.0,60',2025-11-20 06:03:07
13269,732348,14253,away,1,4-2-3-1,1,0,16,319331,Vetle Egeli,Substitute,0,1,336755,6,336755.0,3600.0,60',0,0,-1,,,,2025-11-20 06:03:07
13269,732348,14253,away,1,4-2-3-1,1,0,20,319301,Henrik Skogvold,Substitute,0,1,330045,9,330045.0,5100.0,85',0,0,-1,,,,2025-11-20 06:03:07
13269,732348,14253,away,1,4-2-3-1,1,0,12,382795,Einar Fauskanger,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-20 06:03:07
13269,732348,14253,away,1,4-2-3-1,1,0,22,380299,Jakob Segadal Hansen,Substitute,0,1,325047,17,325047.0,5100.0,85',0,0,-1,,,,2025-11-20 06:03:07
