seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13043,736772,21481,home,1,4-4-2,1,1,1,339367,Maria Matthaiou,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,1,17,339377,Marilena Georgiou,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,1,3,396186,Chryso Michael,Left Back,3,0,0,-1,,,,1,339358,5,339358.0,3780.0,63',2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,1,7,339369,Maria Panagiotou,Center Right Midfielder,4,0,0,-1,,,,1,339359,11,339359.0,4320.0,72',2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,1,16,339357,Sára Papadopoúlou,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,1,4,398253,Andrea Cusick,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,1,19,400559,Marilia Konstantinou,Right Midfielder,7,0,0,-1,,,,1,398225,23,398225.0,3780.0,63',2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,1,8,323509,Filippa Savva,Center Left Midfielder,8,0,0,-1,,,,1,339365,2,339365.0,4860.0,81',2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,1,9,339366,Antri Violari,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,1,18,339363,Eiríni Michaíl,Center Right Forward,10,0,0,-1,,,,1,413190,13,413190.0,4260.0,71',2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,1,10,339773,Elena Aristodimou,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,0,21,396363,María Zamaní,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,0,14,413576,Natalia Solonos,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,0,2,339365,Chara Charalambous,Substitute,0,1,323509,8,323509.0,4860.0,81',0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,0,15,413207,Styliana Aspraki,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,0,11,339359,Loucretia Chrysostomou,Substitute,0,1,339369,7,339369.0,4320.0,72',0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,0,5,339358,Efthalía Siakallí,Substitute,0,1,396186,3,396186.0,3780.0,63',0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,0,13,413190,Sofia Mcbeth,Substitute,0,1,339363,18,339363.0,4260.0,71',0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,0,20,413171,Chariklia Kosta,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,0,6,211889,Steffi Hardy,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,0,22,339373,Konstantína Kouzáli,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,0,12,413110,Ioanna Hanny,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21481,home,1,4-4-2,1,0,23,398225,Christina Kyriakidi,Substitute,0,1,400559,19,400559.0,3780.0,63',0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,1,1,349030,Antigona Hyska,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,1,20,398227,Klea Hamonikaj,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,1,3,339217,Arbenita Curraj,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,1,14,339214,Esmeralda Franja,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,1,21,339210,Alma Hilaj,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,1,5,366628,Arbiona Bajraktari,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,1,6,339211,Sara Maliqi,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,1,11,339213,Megi Doçi,Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,1,9,396289,Valentina Troka,Forward,9,0,0,-1,,,,1,398273,22,398273.0,4860.0,81',2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,1,13,312106,Mimoza Hamidi,Right Forward,10,0,0,-1,,,,1,398248,17,398248.0,3600.0,60',2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,1,10,339221,Qëndresa Krasniqi,Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,0,22,398273,Florentina Kuqi,Substitute,0,1,396289,9,396289.0,4860.0,81',0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,0,18,402738,Sara Begallo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,0,2,339212,Armera Tukaj,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,0,15,349029,Aglia Iliadhi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,0,19,351728,Suzane Vuksani,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,0,23,396288,Klesjana Spaho,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,0,12,396327,Raimonda Spahiu,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,0,4,398228,Leonora Dedgjonaj,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736772,21030,away,0,4-3-3,1,0,17,398248,Xhesika Ndoj,Substitute,0,1,312106,13,312106.0,3600.0,60',0,0,-1,,,,2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,1,1,295688,Barbora Votíková,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,1,21,351735,Kristyna Ruzicková,Right Back,2,0,0,-1,,,,1,406271,20,406271.0,5100.0,85',2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,1,6,295685,Eva Bartonová,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,1,12,298492,Klára Cahynová,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,1,17,362979,Barbora Polcarová,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,1,19,295701,Aneta Dedinová,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,1,18,295700,Kamila Dubcova,Right Midfielder,7,0,0,-1,,,,1,315090,15,315090.0,4560.0,76',2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,1,11,295697,Tereza Krejciriková,Left Midfielder,8,0,0,-1,,,,1,336041,7,336041.0,3960.0,66',2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,1,9,298490,Andrea Staskova,Forward,9,0,0,-1,,,,1,364996,10,364996.0,4560.0,76',2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,1,5,398205,Aneta Polásková,Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,1,14,298667,Michaela Khyrova,Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,0,20,406271,Sabina Strízová,Substitute,0,1,351735,21,351735.0,5100.0,85',0,0,-1,,,,2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,0,23,398210,Vanesa Jílková,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,0,2,413072,Lucie Krejcová,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,0,10,364996,Jana Zufánková,Substitute,0,1,298490,9,298490.0,4560.0,76',0,0,-1,,,,2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,0,15,315090,Katerina Kotrcová,Substitute,0,1,295700,18,295700.0,4560.0,76',0,0,-1,,,,2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,0,3,351742,Denisa Tenkrátová,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,0,7,336041,Antonie Stárová,Substitute,0,1,295697,11,295697.0,3960.0,66',0,0,-1,,,,2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,0,4,315093,Klára Cvrcková,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,0,8,315086,Aneta Pochmanova,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,0,16,295706,Olivie Lukasova,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,0,13,295687,Denisa Vesela,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,6517,home,1,4-3-3,1,0,22,351767,Katerina Vithová,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,1,1,331478,Mariella El Sherif,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,1,12,268324,Laura Wienroither,Right Back,2,0,0,-1,,,,1,372753,2,372753.0,5400.0,90',2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,1,20,255561,Katharina Naschenweng,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,1,17,252344,Sarah Puntigam,Sweeper,4,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,1,5,315005,Claudia Wenger,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,1,13,252341,Virginia Kirchberger,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,1,16,330333,Annabel Schasching,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,1,8,339757,Sophie Hillebrand,Center Midfielder,8,0,0,-1,,,,1,315019,11,315019.0,3900.0,65',2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,1,18,281473,Julia Hickelsberger-Fuller,Center Right Forward,9,0,0,-1,,,,1,255555,7,255555.0,3840.0,64',2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,1,22,354439,Eileen Campbell,Center Left Forward,10,0,0,-1,,,,1,400241,9,400241.0,5280.0,88',2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,1,15,330332,Maria Plattner,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,0,9,400241,Carina Brunold,,0,1,354439,22,354439.0,5280.0,88',0,0,-1,,,,2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,0,21,402404,Larissa Rusek,,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,0,3,411117,Sarah Gutmann,,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,0,2,372753,Chiara D'Angelo,,0,1,268324,12,268324.0,5400.0,90',0,0,-1,,,,2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,0,11,315019,Melanie Brunnthaler,,0,1,339757,8,339757.0,3900.0,65',0,0,-1,,,,2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,0,4,314197,Celina Degen,,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,0,6,252343,Katharina Schiechtl,,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,0,23,256031,Jasmin Pal,,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,0,7,255555,Viktoria Pinther,,0,1,281473,18,281473.0,3840.0,64',0,0,-1,,,,2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,0,10,252348,Laura Feiersinger,,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736773,18444,away,0,4-1-3-2,1,0,14,317809,Lisa Kolb,,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736774,4178,home,1,5-3-2,1,1,1,219059,Grace Moloney,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736774,4178,home,1,5-3-2,1,1,5,293411,Aoife Mannion,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736774,4178,home,1,5-3-2,1,1,11,219079,Katie McCabe,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736774,4178,home,1,5-3-2,1,1,3,296780,Chloe Mustaki,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736774,4178,home,1,5-3-2,1,1,4,367065,Caitlin Hayes,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736774,4178,home,1,5-3-2,1,1,2,331326,Jessie Stapleton,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736774,4178,home,1,5-3-2,1,1,10,219065,Denise O'Sullivan,Center Right Midfielder,7,0,0,-1,,,,1,245350,17,245350.0,4500.0,75',2025-10-25 05:16:14
13043,736774,4178,home,1,5-3-2,1,1,8,219056,Ruesha Littlejohn,Center Midfielder,8,0,0,-1,,,,1,287522,6,287522.0,3600.0,60',2025-10-25 05:16:14
13043,736774,4178,home,1,5-3-2,1,1,21,299472,Emily Murphy,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736774,4178,home,1,5-3-2,1,1,18,230968,Kyra Carusa,Center Right Forward,10,0,0,-1,,,,1,328246,20,328246.0,4500.0,75',2025-10-25 05:16:14
13043,736774,4178,home,1,5-3-2,1,1,14,226079,Marissa Sheva,Center Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736774,4178,home,1,5-3-2,1,0,19,336368,Abbie Larkin,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13043,736774,4178,home,1,5-3-2,1,0,16,408803,Katie Keane,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
