seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13100,757091,22164,home,0,4-2-3-1,1,1,1,202751,Koke Vegas,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,22164,home,0,4-2-3-1,1,1,3,292951,Aldair Sanchez,Right Back,2,0,0,-1,,,,1,316340,11,316340.0,4140.0,69',2025-09-11 05:13:09
13100,757091,22164,home,0,4-2-3-1,1,1,24,288980,Karifa Yao,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,22164,home,0,4-2-3-1,1,1,23,297537,Marc Ybarra,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,22164,home,0,4-2-3-1,1,1,4,377079,Hugo Bacharach,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,22164,home,0,4-2-3-1,1,1,5,256384,Grant D. Stoneman,Center Left Defender,6,0,0,-1,,,,1,218846,20,218846.0,4620.0,77',2025-09-11 05:13:09
13100,757091,22164,home,0,4-2-3-1,1,1,77,297831,Amos Shapiro-Thompson,Attacking Midfielder Right,7,0,0,-1,,,,1,316346,15,316346.0,4080.0,68',2025-09-11 05:13:09
13100,757091,22164,home,0,4-2-3-1,1,1,12,279821,Clay Holstad,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,22164,home,0,4-2-3-1,1,1,7,334117,Dwayne Atkinson,Forward,9,0,0,-1,,,,1,338778,18,338778.0,3360.0,56',2025-09-11 05:13:09
13100,757091,22164,home,0,4-2-3-1,1,1,21,111864,Maxi Rodriguez,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,22164,home,0,4-2-3-1,1,1,9,256238,Jerome Williams,Attacking Midfielder Left,11,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,22164,home,0,4-2-3-1,1,0,6,318514,Aimé Mabika,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,22164,home,0,4-2-3-1,1,0,22,271736,Jackson Lee,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,22164,home,0,4-2-3-1,1,0,20,218846,Zachary Herivaux,Substitute,0,1,256384,5,256384.0,4620.0,77',0,0,-1,,,,2025-09-11 05:13:09
13100,757091,22164,home,0,4-2-3-1,1,0,11,316340,Noah Fuson,Substitute,0,1,292951,3,292951.0,4140.0,69',0,0,-1,,,,2025-09-11 05:13:09
13100,757091,22164,home,0,4-2-3-1,1,0,15,316346,Frank Nodarse,Substitute,0,1,297831,77,297831.0,4080.0,68',0,0,-1,,,,2025-09-11 05:13:09
13100,757091,22164,home,0,4-2-3-1,1,0,18,338778,Joseph Brito,Substitute,0,1,334117,7,334117.0,3360.0,56',0,0,-1,,,,2025-09-11 05:13:09
13100,757091,22164,home,0,4-2-3-1,1,0,27,410383,Mathieu Ndongo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,17828,away,1,3-4-3,1,1,99,293475,Jared Mazzola,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,17828,away,1,3-4-3,1,1,2,202672,Jack Gurr,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,17828,away,1,3-4-3,1,1,22,241490,Michelle Benítez,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,17828,away,1,3-4-3,1,1,4,220685,Lee Desmond,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,17828,away,1,3-4-3,1,1,6,315918,Frederik Kleemann,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,17828,away,1,3-4-3,1,1,21,319122,Rayan Djedje,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,17828,away,1,3-4-3,1,1,19,137458,Nick Ross,Center Right Midfielder,7,0,0,-1,,,,1,108222,96,108222.0,4740.0,79',2025-09-11 05:13:09
13100,757091,17828,away,1,3-4-3,1,1,8,103806,Rodrigo Lopez,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,17828,away,1,3-4-3,1,1,90,256235,Khori Bennett,Forward,9,0,0,-1,,,,1,231179,17,231179.0,4740.0,79',2025-09-11 05:13:09
13100,757091,17828,away,1,3-4-3,1,1,10,272615,Cristian Parano,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,17828,away,1,3-4-3,1,1,11,230600,Russell Cicerone,Center Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,17828,away,1,3-4-3,1,0,96,108222,Luis Felipe Fernandes,Substitute,0,1,137458,19,137458.0,4740.0,79',0,0,-1,,,,2025-09-11 05:13:09
13100,757091,17828,away,1,3-4-3,1,0,23,400721,Aaron Edwards,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,17828,away,1,3-4-3,1,0,55,381427,Chibuike Ukaegbu,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,17828,away,1,3-4-3,1,0,20,362351,Blake Willey,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,17828,away,1,3-4-3,1,0,15,318520,Cody Baker,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
13100,757091,17828,away,1,3-4-3,1,0,24,291516,Lewis Jamieson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-09-11 05:13:09
