seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13776,759361,131453,home,0,3-4-2-1,1,1,1,329086,Jamie Gerstenberg,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131453,home,0,3-4-2-1,1,1,20,242241,Julia Lester,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131453,home,0,3-4-2-1,1,1,10,348913,Meg Hughes,Left Midfielder,3,0,0,-1,,,,1,411740,12,411740.0,4980.0,83',2025-10-04 05:12:32
13776,759361,131453,home,0,3-4-2-1,1,1,23,292692,Daviana Vaka,Center Left Defender,4,0,0,-1,,,,1,246887,15,246887.0,3540.0,59',2025-10-04 05:12:32
13776,759361,131453,home,0,3-4-2-1,1,1,5,323370,Georgie Brown,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131453,home,0,3-4-2-1,1,1,27,411701,Paige Kenton,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131453,home,0,3-4-2-1,1,1,3,348023,Sophia Boman,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131453,home,0,3-4-2-1,1,1,8,292481,Sophie Jones,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131453,home,0,3-4-2-1,1,1,7,323320,Jade Pennock,Forward,9,0,0,-1,,,,1,411703,11,411703.0,4680.0,78',2025-10-04 05:12:32
13776,759361,131453,home,0,3-4-2-1,1,1,4,316938,Madison Kemp,Center Right Forward,10,0,0,-1,,,,1,411702,6,411702.0,3540.0,59',2025-10-04 05:12:32
13776,759361,131453,home,0,3-4-2-1,1,1,19,389505,Ashlyn Puerta,Center Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131453,home,0,3-4-2-1,1,0,11,411703,Andrea Fernández,Substitute,0,1,323320,7,323320.0,4680.0,78',0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131453,home,0,3-4-2-1,1,0,13,292540,Kaitlyn Parks,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131453,home,0,3-4-2-1,1,0,15,246887,Katie Sullivan,Substitute,0,1,292692,23,292692.0,3540.0,59',0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131453,home,0,3-4-2-1,1,0,12,411740,Caroline Murray,Substitute,0,1,348913,10,348913.0,4980.0,83',0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131453,home,0,3-4-2-1,1,0,22,328320,Zara Siassi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131453,home,0,3-4-2-1,1,0,16,351918,Helena Errington,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131453,home,0,3-4-2-1,1,0,6,411702,Jessica Hunt,Substitute,0,1,316938,4,316938.0,3540.0,59',0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131447,away,1,4-2-3-1,1,1,1,278276,Rylee Foster,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131447,away,1,4-2-3-1,1,1,18,307428,Samar Guidry,Right Back,2,0,0,-1,,,,1,307879,3,307879.0,4080.0,68',2025-10-04 05:12:32
13776,759361,131447,away,1,4-2-3-1,1,1,13,268155,Cyera Hintzen,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131447,away,1,4-2-3-1,1,1,22,290268,Amber Brooks,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131447,away,1,4-2-3-1,1,1,2,226782,Hannah Davison,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131447,away,1,4-2-3-1,1,1,11,293126,Maya McCutcheon,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131447,away,1,4-2-3-1,1,1,16,399645,Tamara Bolt,Attacking Midfielder Right,7,0,0,-1,,,,1,411693,7,411693.0,4440.0,74',2025-10-04 05:12:32
13776,759361,131447,away,1,4-2-3-1,1,1,24,328567,Wayny Balata,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-10-04 05:12:32
13776,759361,131447,away,1,4-2-3-1,1,1,20,262023,Allie Thornton,Forward,9,0,0,-1,,,,1,335327,9,335327.0,5220.0,87',2025-10-04 05:12:32
13776,759361,131447,away,1,4-2-3-1,1,1,21,326918,Camryn Lancaster,Attacking Midfielder,10,0,0,-1,,,,1,292641,17,292641.0,4080.0,68',2025-10-04 05:12:32
13776,759361,131447,away,1,4-2-3-1,1,1,12,411694,Sealey Strawn,Attacking Midfielder Left,11,0,0,-1,,,,1,224874,4,224874.0,4080.0,68',2025-10-04 05:12:32
