seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12851,2024,AUS.1,5326,12978,2,0,1,2,0,0,0,0,0,0,0,0,0,0,5,2024-11-10 06:14:09
12851,2024,AUS.1,11143,25187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-11-10 06:14:11
12851,2024,AUS.1,8352,32752,3,2,1,1,0,0,0,0,0,0,0,0,0,0,3,2024-11-10 06:14:13
12851,2024,AUS.1,5323,46941,3,0,0,2,0,0,0,0,0,0,0,0,0,10,6,2024-11-10 06:14:12
12851,2024,AUS.1,5328,96076,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2024-11-10 06:14:12
12851,2024,AUS.1,19340,101127,3,0,1,3,1,0,0,0,0,0,1,0,0,0,5,2024-11-10 06:14:11
12851,2024,AUS.1,13696,103025,4,2,0,1,0,0,0,0,0,0,2,0,0,0,5,2024-11-10 06:14:13
12851,2024,AUS.1,22344,103819,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-11-10 06:14:09
12851,2024,AUS.1,5327,107530,3,0,0,0,1,0,0,0,0,0,0,0,0,4,4,2024-11-10 06:14:13
12851,2024,AUS.1,19340,109214,2,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2024-11-10 06:14:11
12851,2024,AUS.1,11143,122553,3,0,2,0,0,0,0,0,0,0,1,0,0,0,3,2024-11-10 06:14:11
12851,2024,AUS.1,5327,127502,1,0,1,0,1,0,0,0,0,3,5,0,0,0,1,2024-11-10 06:14:13
12851,2024,AUS.1,5327,130119,3,0,4,4,2,0,0,0,0,0,2,0,0,0,4,2024-11-10 06:14:13
12851,2024,AUS.1,20086,130493,3,0,7,4,0,0,0,0,0,4,9,1,0,0,3,2024-11-10 06:14:14
12851,2024,AUS.1,5326,138555,2,1,1,1,0,0,0,1,0,0,0,0,0,0,3,2024-11-10 06:14:09
12851,2024,AUS.1,5326,138605,2,2,0,0,0,0,0,0,0,0,2,0,0,0,3,2024-11-10 06:14:09
12851,2024,AUS.1,5326,138978,3,0,1,1,0,0,0,0,0,1,2,0,0,0,7,2024-11-10 06:14:09
12851,2024,AUS.1,5328,138984,3,0,4,2,0,1,0,0,0,0,1,0,0,0,1,2024-11-10 06:14:12
12851,2024,AUS.1,5326,139091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-11-10 06:14:09
12851,2024,AUS.1,11143,140994,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2024-11-10 06:14:11
12851,2024,AUS.1,5321,141656,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-11-10 06:14:08
12851,2024,AUS.1,19340,143342,3,0,2,2,0,0,0,0,0,0,1,0,0,0,5,2024-11-10 06:14:11
12851,2024,AUS.1,5323,147131,3,1,1,1,0,0,0,2,0,0,0,0,0,0,3,2024-11-10 06:14:12
12851,2024,AUS.1,5328,150380,4,0,0,1,0,0,0,0,0,0,2,0,0,0,2,2024-11-10 06:14:12
12851,2024,AUS.1,5326,151921,3,0,6,3,0,0,0,0,0,0,0,0,0,0,6,2024-11-10 06:14:09
12851,2024,AUS.1,8352,152783,3,0,1,1,0,0,0,0,0,1,2,1,0,0,3,2024-11-10 06:14:13
12851,2024,AUS.1,13696,153631,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,2024-11-10 06:14:13
12851,2024,AUS.1,13696,154389,4,0,3,2,0,0,0,0,0,0,1,0,0,0,7,2024-11-10 06:14:13
12851,2024,AUS.1,5328,154406,4,0,0,0,1,0,0,0,0,0,0,0,0,10,2,2024-11-10 06:14:12
12851,2024,AUS.1,5322,155209,3,0,5,3,0,0,0,0,0,3,10,0,0,0,8,2024-11-10 06:14:12
12851,2024,AUS.1,5325,155999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-11-10 06:14:10
12851,2024,AUS.1,5321,157183,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2024-11-10 06:14:08
12851,2024,AUS.1,11143,157429,1,0,3,0,0,1,0,0,0,0,2,0,0,0,0,2024-11-10 06:14:11
12851,2024,AUS.1,22344,157692,3,0,2,4,0,0,0,0,0,0,3,0,0,0,0,2024-11-10 06:14:09
12851,2024,AUS.1,19340,157901,3,0,1,5,0,0,0,0,0,6,10,2,0,0,5,2024-11-10 06:14:11
12851,2024,AUS.1,5322,159165,3,0,3,1,0,0,0,0,0,0,0,0,0,0,7,2024-11-10 06:14:12
12851,2024,AUS.1,8352,159343,3,0,6,4,0,0,0,1,0,0,2,0,0,0,2,2024-11-10 06:14:13
12851,2024,AUS.1,22344,159466,3,1,2,0,0,0,0,0,0,0,3,0,0,0,0,2024-11-10 06:14:09
12851,2024,AUS.1,8352,159470,3,0,2,5,0,0,0,0,0,2,3,1,0,0,3,2024-11-10 06:14:13
12851,2024,AUS.1,5321,159503,2,0,0,2,0,0,0,0,0,0,3,0,0,0,3,2024-11-10 06:14:08
12851,2024,AUS.1,19340,168388,3,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2024-11-10 06:14:11
12851,2024,AUS.1,5328,172137,4,0,3,1,2,0,0,0,0,1,5,1,0,0,2,2024-11-10 06:14:12
12851,2024,AUS.1,20086,173089,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2024-11-10 06:14:14
12851,2024,AUS.1,5327,173447,3,0,2,3,0,0,0,0,0,0,4,0,0,0,4,2024-11-10 06:14:13
12851,2024,AUS.1,8352,175958,3,0,4,3,0,0,0,0,0,2,9,1,0,0,3,2024-11-10 06:14:13
12851,2024,AUS.1,22344,176886,3,0,4,1,1,0,0,0,0,0,5,0,0,0,0,2024-11-10 06:14:09
12851,2024,AUS.1,19340,177360,2,1,0,0,0,0,0,0,0,1,1,0,0,0,3,2024-11-10 06:14:11
12851,2024,AUS.1,11143,179396,3,0,0,1,0,0,0,0,0,3,10,2,0,0,3,2024-11-10 06:14:11
12851,2024,AUS.1,13696,182064,4,1,4,1,0,0,0,0,0,0,1,0,0,0,8,2024-11-10 06:14:13
12851,2024,AUS.1,22344,182552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-11-10 06:14:09
12851,2024,AUS.1,19340,184413,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,2024-11-10 06:14:11
12851,2024,AUS.1,5327,191001,2,0,0,2,0,0,0,0,0,3,6,1,0,0,1,2024-11-10 06:14:13
12851,2024,AUS.1,5321,191564,2,0,1,0,0,0,0,1,0,0,5,0,0,0,4,2024-11-10 06:14:08
12851,2024,AUS.1,11143,194351,2,1,1,2,0,0,0,1,0,0,1,0,0,0,0,2024-11-10 06:14:11
12851,2024,AUS.1,5322,194728,3,0,0,0,0,0,0,0,0,0,0,0,0,9,8,2024-11-10 06:14:12
12851,2024,AUS.1,8352,194736,3,0,3,10,0,0,0,0,0,0,7,0,0,0,3,2024-11-10 06:14:13
12851,2024,AUS.1,13696,194906,4,0,4,5,2,0,0,2,0,4,17,2,0,0,8,2024-11-10 06:14:13
12851,2024,AUS.1,11143,195333,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2024-11-10 06:14:11
12851,2024,AUS.1,5321,195788,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2024-11-10 06:14:08
12851,2024,AUS.1,5328,196064,4,1,4,2,0,0,0,1,0,4,11,1,0,0,2,2024-11-10 06:14:12
12851,2024,AUS.1,8352,197630,3,0,2,4,0,0,0,1,0,0,1,0,0,0,3,2024-11-10 06:14:13
12851,2024,AUS.1,5322,200396,3,0,7,2,0,0,0,0,0,0,2,0,0,0,8,2024-11-10 06:14:12
12851,2024,AUS.1,11143,200414,2,0,3,2,0,0,0,0,0,0,2,0,0,0,3,2024-11-10 06:14:11
12851,2024,AUS.1,5322,200417,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2024-11-10 06:14:12
12851,2024,AUS.1,20086,202094,3,0,3,0,1,0,0,0,0,0,1,0,0,0,3,2024-11-10 06:14:14
12851,2024,AUS.1,5323,205817,3,0,4,4,0,0,0,0,0,2,3,0,0,0,6,2024-11-10 06:14:12
