seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12742,2024,AUT.1,18794,4804,28,0,23,14,7,0,3,0,0,7,24,3,0,0,42,2025-05-26 04:47:34
12742,2024,AUT.1,4411,20770,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-26 04:47:32
12742,2024,AUT.1,21950,21896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-26 04:47:31
12742,2024,AUT.1,4411,37442,24,12,9,12,1,0,0,3,0,4,22,3,0,0,8,2025-05-26 04:47:32
12742,2024,AUT.1,13294,47037,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2025-05-26 04:47:35
12742,2024,AUT.1,13294,74694,22,13,11,2,2,0,0,1,0,0,4,0,0,0,13,2025-05-26 04:47:35
12742,2024,AUT.1,4411,95290,9,5,1,2,1,0,0,0,0,1,2,0,0,0,8,2025-05-26 04:47:32
12742,2024,AUT.1,21846,99587,21,9,15,3,2,2,0,0,0,1,7,1,0,0,13,2025-05-26 04:47:31
12742,2024,AUT.1,13294,120196,24,15,9,13,0,0,0,5,0,4,16,2,0,0,9,2025-05-26 04:47:35
12742,2024,AUT.1,13294,134018,22,11,14,10,0,1,0,1,0,13,21,4,0,0,12,2025-05-26 04:47:35
12742,2024,AUT.1,519,136963,20,6,8,15,6,1,0,2,0,18,54,5,0,0,14,2025-05-26 04:47:32
12742,2024,AUT.1,4411,141449,21,4,11,19,2,0,0,4,0,5,13,3,0,0,26,2025-05-26 04:47:32
12742,2024,AUT.1,1382,142977,29,0,19,18,8,0,0,0,0,2,9,0,0,0,28,2025-05-26 04:47:30
12742,2024,AUT.1,1382,146647,20,18,16,2,3,0,0,0,0,1,1,0,0,0,7,2025-05-26 04:47:30
12742,2024,AUT.1,4405,147261,15,7,10,8,2,1,0,1,0,4,14,0,0,0,13,2025-05-26 04:47:33
12742,2024,AUT.1,20966,149296,5,0,0,1,0,0,0,0,0,0,0,0,0,11,8,2025-05-26 04:47:33
12742,2024,AUT.1,4411,150652,27,5,22,28,1,0,0,7,0,22,49,7,0,0,23,2025-05-26 04:47:32
12742,2024,AUT.1,20966,151693,14,0,17,9,4,0,0,2,0,2,15,0,0,0,26,2025-05-26 04:47:33
12742,2024,AUT.1,6907,152366,31,7,20,17,4,1,0,0,0,6,17,2,0,0,32,2025-05-26 04:47:34
12742,2024,AUT.1,4411,154326,26,1,21,19,6,0,0,1,0,4,13,1,0,0,27,2025-05-26 04:47:32
12742,2024,AUT.1,20966,156639,31,5,36,25,5,0,0,4,0,13,39,4,0,0,56,2025-05-26 04:47:33
