seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12227,2024,BRA.CAMP.CARIOCA,3454,34390,5,0,0,0,1,0,0,2,0,1,1,1,0,0,3,2024-07-13 03:03:34
12227,2024,BRA.CAMP.CARIOCA,3454,43711,3,2,0,0,1,0,0,0,0,0,0,0,0,0,4,2024-07-13 03:03:34
12227,2024,BRA.CAMP.CARIOCA,3445,48735,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2024-07-13 03:03:34
12227,2024,BRA.CAMP.CARIOCA,6087,67902,9,3,0,0,5,0,0,0,0,0,0,0,0,0,8,2024-07-13 03:03:39
12227,2024,BRA.CAMP.CARIOCA,3445,74906,6,3,0,0,1,0,0,0,0,0,0,0,0,0,5,2024-07-13 03:03:34
12227,2024,BRA.CAMP.CARIOCA,3445,77641,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2024-07-13 03:03:34
12227,2024,BRA.CAMP.CARIOCA,3454,84877,8,2,0,0,4,0,0,4,0,2,2,2,0,0,5,2024-07-13 03:03:34
12227,2024,BRA.CAMP.CARIOCA,3445,94120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-07-13 03:03:34
12227,2024,BRA.CAMP.CARIOCA,900,94270,9,1,0,0,2,0,0,1,0,0,0,0,0,0,10,2024-07-13 03:03:35
12227,2024,BRA.CAMP.CARIOCA,819,98398,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:03:36
12227,2024,BRA.CAMP.CARIOCA,4806,101029,11,0,0,0,3,0,0,0,0,0,0,0,0,0,19,2024-07-13 03:03:38
12227,2024,BRA.CAMP.CARIOCA,6086,104899,2,1,0,0,1,0,0,0,0,0,0,0,0,0,3,2024-07-13 03:03:37
12227,2024,BRA.CAMP.CARIOCA,3454,124025,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2024-07-13 03:03:34
12227,2024,BRA.CAMP.CARIOCA,18134,125239,2,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2024-07-13 03:03:36
12227,2024,BRA.CAMP.CARIOCA,3445,127502,5,2,0,0,1,0,0,0,0,0,0,0,0,0,3,2024-07-13 03:03:34
12227,2024,BRA.CAMP.CARIOCA,18134,131420,9,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2024-07-13 03:03:36
12227,2024,BRA.CAMP.CARIOCA,15502,137308,6,0,0,0,2,0,0,0,0,0,0,0,0,0,6,2024-07-13 03:03:34
12227,2024,BRA.CAMP.CARIOCA,15502,139008,9,0,0,0,3,0,0,0,0,0,0,0,0,0,14,2024-07-13 03:03:34
12227,2024,BRA.CAMP.CARIOCA,20855,144773,6,2,0,0,0,0,0,0,0,1,1,1,0,0,9,2024-07-13 03:03:39
12227,2024,BRA.CAMP.CARIOCA,819,145405,8,1,0,0,1,0,0,0,0,3,3,3,0,0,0,2024-07-13 03:03:36
12227,2024,BRA.CAMP.CARIOCA,3445,146162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:03:34
12227,2024,BRA.CAMP.CARIOCA,3454,147341,6,0,0,0,1,1,0,0,0,0,0,0,0,0,3,2024-07-13 03:03:34
12227,2024,BRA.CAMP.CARIOCA,10265,150976,8,5,0,0,0,0,0,0,0,2,2,2,0,0,11,2024-07-13 03:03:37
12227,2024,BRA.CAMP.CARIOCA,4806,155441,10,0,0,0,6,0,0,1,0,0,0,0,0,0,15,2024-07-13 03:03:38
12227,2024,BRA.CAMP.CARIOCA,3445,155466,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:03:34
12227,2024,BRA.CAMP.CARIOCA,20855,155520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:03:39
12227,2024,BRA.CAMP.CARIOCA,3445,158382,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2024-07-13 03:03:34
12227,2024,BRA.CAMP.CARIOCA,6086,164262,9,1,0,0,2,0,1,0,0,0,0,0,0,0,11,2024-07-13 03:03:37
12227,2024,BRA.CAMP.CARIOCA,3445,165749,4,0,0,0,0,0,0,1,0,2,2,2,0,0,3,2024-07-13 03:03:34
12227,2024,BRA.CAMP.CARIOCA,18134,166874,7,7,0,0,1,0,0,0,0,0,0,0,0,0,3,2024-07-13 03:03:36
12227,2024,BRA.CAMP.CARIOCA,4806,169905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:03:38
12227,2024,BRA.CAMP.CARIOCA,6086,170362,6,2,0,0,2,0,0,0,0,0,0,0,0,0,2,2024-07-13 03:03:37
12227,2024,BRA.CAMP.CARIOCA,20855,174780,10,3,0,0,1,0,0,0,0,0,0,0,0,0,12,2024-07-13 03:03:39
12227,2024,BRA.CAMP.CARIOCA,6086,174782,9,3,0,0,1,0,0,2,0,3,3,3,0,0,8,2024-07-13 03:03:37
