seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12460,2024,CHN.1,21909,3578,21,7,11,39,3,0,0,2,2,12,39,4,0,3,40,2024-12-02 05:53:11
12460,2024,CHN.1,21506,21544,29,0,38,21,5,0,0,0,1,4,16,1,0,11,43,2024-12-02 05:53:13
12460,2024,CHN.1,8225,30970,11,10,1,4,0,0,0,1,0,0,2,0,0,0,4,2024-12-02 05:53:09
12460,2024,CHN.1,18199,30974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-02 05:53:09
12460,2024,CHN.1,21506,68927,28,0,15,17,3,0,0,0,3,4,11,0,0,4,39,2024-12-02 05:53:13
12460,2024,CHN.1,8225,82388,18,0,31,11,7,0,0,0,5,0,9,0,0,1,26,2024-12-02 05:53:09
12460,2024,CHN.1,7521,82922,26,20,29,13,1,0,0,1,2,16,41,6,0,1,13,2024-12-02 05:53:12
12460,2024,CHN.1,21355,96093,7,0,0,1,0,0,0,0,0,0,0,0,36,10,7,2024-12-02 05:53:09
12460,2024,CHN.1,2052,97134,25,1,23,18,4,0,0,4,5,2,7,1,0,7,23,2024-12-02 05:53:08
12460,2024,CHN.1,7521,97193,23,0,0,8,1,0,0,0,2,0,0,0,124,67,29,2024-12-02 05:53:12
12460,2024,CHN.1,8225,102040,26,1,17,9,4,0,1,0,1,9,22,2,0,21,43,2024-12-02 05:53:09
12460,2024,CHN.1,18199,102583,27,1,27,17,3,1,0,0,3,4,8,1,0,6,46,2024-12-02 05:53:09
12460,2024,CHN.1,22199,111203,12,3,9,22,0,0,0,0,1,7,15,2,0,1,15,2024-07-13 02:48:06
12460,2024,CHN.1,18203,112373,7,5,8,3,2,0,0,0,0,2,3,0,0,0,4,2024-12-02 05:53:14
12460,2024,CHN.1,18203,117009,10,7,4,0,0,0,0,1,0,1,4,1,0,0,8,2024-12-02 05:53:14
12460,2024,CHN.1,8239,117657,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-12-02 05:53:13
12460,2024,CHN.1,21910,117866,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1,2024-12-02 05:53:11
12460,2024,CHN.1,18199,119217,26,5,12,17,2,1,0,0,1,0,2,0,0,4,34,2024-12-02 05:53:09
12460,2024,CHN.1,21507,119428,28,0,0,1,1,0,1,0,1,0,0,0,243,110,45,2024-12-02 05:53:10
12460,2024,CHN.1,21910,122582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-02 05:53:11
12460,2024,CHN.1,18203,133296,11,6,7,1,0,0,0,0,0,1,8,1,0,0,12,2024-12-02 05:53:14
12460,2024,CHN.1,18203,134363,16,14,6,7,2,0,0,0,1,6,19,2,0,0,7,2024-12-02 05:53:14
