seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12625,2024,DEN.1,607,12577,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2024-09-24 04:54:34
12625,2024,DEN.1,575,33435,19,0,7,11,1,0,0,1,0,1,11,0,0,0,29,2025-03-21 04:49:49
12625,2024,DEN.1,21933,87487,26,7,0,0,5,0,0,0,0,0,0,0,0,0,30,2024-07-13 02:45:58
12625,2024,DEN.1,7853,99920,22,0,0,1,0,0,0,0,0,0,0,0,0,50,23,2025-03-21 04:49:48
12625,2024,DEN.1,7860,105216,3,0,2,0,0,0,0,0,0,0,0,0,0,0,5,2025-01-01 05:39:42
12625,2024,DEN.1,7860,106073,11,3,2,3,1,0,0,0,0,0,7,0,0,0,11,2025-03-21 04:49:50
12625,2024,DEN.1,12498,107063,18,12,9,3,0,0,0,2,0,5,8,0,0,0,13,2025-03-21 04:49:51
12625,2024,DEN.1,11550,108321,10,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2024-07-13 02:45:57
12625,2024,DEN.1,572,109962,15,2,14,11,4,0,0,1,0,1,9,0,0,0,14,2025-01-01 05:39:42
12625,2024,DEN.1,7853,118411,22,0,29,21,1,0,0,0,0,26,47,16,0,0,20,2025-03-21 04:49:48
12625,2024,DEN.1,3101,129916,12,0,6,3,2,0,0,0,0,0,3,0,0,0,18,2025-03-21 04:49:49
12625,2024,DEN.1,3132,131741,13,13,0,3,0,0,0,0,0,0,1,0,0,0,3,2025-03-21 04:49:50
12625,2024,DEN.1,7853,133567,17,1,18,15,2,0,0,0,0,3,7,1,0,0,14,2025-03-21 04:49:48
12625,2024,DEN.1,12498,134000,5,3,1,1,0,0,0,0,0,0,1,0,0,0,5,2025-03-21 04:49:51
12625,2024,DEN.1,3101,134257,8,4,1,3,0,0,0,0,0,0,0,0,0,0,6,2025-03-21 04:49:49
12625,2024,DEN.1,12498,137404,19,13,12,5,1,0,0,0,0,3,14,1,0,0,13,2025-03-21 04:49:51
12625,2024,DEN.1,7860,142329,11,8,10,10,3,0,0,0,0,0,1,0,0,0,5,2025-03-21 04:49:50
12625,2024,DEN.1,3101,145645,22,0,0,1,0,0,0,0,0,0,0,0,0,46,36,2025-03-21 04:49:49
12625,2024,DEN.1,3101,146803,20,0,15,23,7,0,0,3,0,12,27,3,0,0,28,2025-03-21 04:49:49
