seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12739,2024,ENG.TROPHY,350,4948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-01 05:58:13
12739,2024,ENG.TROPHY,302,5882,2,1,5,2,2,0,0,0,0,0,1,0,0,0,6,2024-12-01 05:58:10
12739,2024,ENG.TROPHY,345,5883,3,0,0,0,0,0,0,1,0,0,0,0,0,14,4,2024-12-01 05:58:12
12739,2024,ENG.TROPHY,343,8497,3,0,3,4,1,0,0,0,0,0,2,0,0,0,3,2024-12-01 05:57:56
12739,2024,ENG.TROPHY,324,8630,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-31 05:18:34
12739,2024,ENG.TROPHY,389,9253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-01 05:58:01
12739,2024,ENG.TROPHY,352,11547,3,1,3,0,0,0,0,0,0,4,6,2,0,0,2,2024-12-01 05:58:14
12739,2024,ENG.TROPHY,320,11595,3,0,3,1,1,0,0,1,0,1,7,1,0,0,2,2024-12-01 05:57:55
12739,2024,ENG.TROPHY,2731,16601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-01 05:57:49
12739,2024,ENG.TROPHY,278,17277,2,1,2,2,0,0,0,0,0,2,3,1,0,0,2,2024-12-01 05:58:05
12739,2024,ENG.TROPHY,279,20016,2,0,1,1,0,0,0,0,0,0,3,0,0,0,4,2024-12-01 05:57:58
12739,2024,ENG.TROPHY,335,20553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-01 05:58:02
12739,2024,ENG.TROPHY,396,20878,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-01 05:57:57
12739,2024,ENG.TROPHY,389,24675,3,0,4,10,0,0,0,0,0,0,2,0,0,0,6,2024-12-01 05:58:01
12739,2024,ENG.TROPHY,390,32234,3,0,5,1,1,0,0,1,0,0,0,0,0,0,7,2024-12-01 05:58:05
12739,2024,ENG.TROPHY,387,34171,3,0,0,1,0,0,0,0,0,0,0,0,0,2,3,2024-12-01 05:57:52
12739,2024,ENG.TROPHY,304,34595,3,0,0,0,0,0,0,0,0,0,0,0,0,12,5,2024-12-01 05:58:05
12739,2024,ENG.TROPHY,309,38095,3,1,9,1,0,0,0,0,0,1,3,0,0,0,2,2024-12-01 05:58:03
