seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12722,2024,ESP.2,87,3141,40,2,23,69,8,0,0,16,0,49,107,16,0,0,43,2025-06-02 04:48:06
12722,2024,ESP.2,1538,3731,41,3,28,104,4,0,0,11,0,17,47,7,0,0,32,2025-06-02 04:48:05
12722,2024,ESP.2,6832,22315,30,15,15,19,3,0,0,1,0,4,11,2,0,0,20,2025-06-02 04:48:01
12722,2024,ESP.2,9322,24278,32,0,1,2,3,0,1,0,3,1,1,0,357,90,41,2024-07-13 02:50:40
12722,2024,ESP.2,92,40202,31,8,6,33,1,0,0,5,0,8,27,3,0,0,20,2025-06-02 04:48:06
12722,2024,ESP.2,5413,42506,21,15,16,11,4,0,0,0,0,4,12,1,0,0,10,2025-06-02 04:48:05
12722,2024,ESP.2,3788,46803,35,17,29,0,8,0,0,6,0,0,11,0,0,0,25,2025-06-02 04:48:07
12722,2024,ESP.2,90,55243,9,9,2,1,0,0,0,0,0,0,1,0,0,0,3,2025-02-05 05:36:30
12722,2024,ESP.2,12587,55246,31,2,29,9,6,1,1,1,2,6,13,4,0,18,33,2024-07-13 02:50:37
12722,2024,ESP.2,3751,57149,33,9,29,17,4,0,0,2,0,22,58,4,0,0,26,2025-06-02 04:48:03
12722,2024,ESP.2,3751,74630,21,12,15,21,2,0,0,2,0,4,19,1,0,0,5,2025-06-02 04:48:03
12722,2024,ESP.2,95,75433,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2024-07-13 02:50:39
12722,2024,ESP.2,2737,76884,5,0,0,1,0,0,0,0,0,0,0,0,0,20,10,2025-06-02 04:48:01
12722,2024,ESP.2,87,77935,21,7,15,16,2,1,1,1,0,3,10,0,0,0,14,2025-06-02 04:48:06
12722,2024,ESP.2,9322,82074,4,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2024-07-13 02:50:40
12722,2024,ESP.2,5419,84064,23,2,21,3,5,0,0,0,0,3,5,0,0,0,34,2025-06-02 04:48:04
12722,2024,ESP.2,1538,87897,41,0,0,6,3,0,0,0,0,0,0,0,0,101,42,2025-06-02 04:48:05
12722,2024,ESP.2,3752,87963,37,10,41,23,3,1,0,0,0,5,12,0,0,0,31,2025-06-02 04:48:03
12722,2024,ESP.2,6832,97026,15,15,13,1,2,0,0,0,0,0,4,0,0,0,2,2025-06-02 04:48:01
