seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12993,2024,IND.2,21311,130707,20,1,0,0,2,0,0,0,0,0,0,0,0,0,31,2025-04-22 04:49:48
12993,2024,IND.2,22472,141060,8,3,0,0,0,0,0,0,0,0,0,0,0,0,8,2025-04-22 04:49:47
12993,2024,IND.2,22473,141244,9,0,0,0,0,0,0,4,0,10,11,10,0,0,18,2025-04-22 04:49:45
12993,2024,IND.2,8896,146571,12,2,0,0,5,1,1,0,0,1,1,1,0,0,11,2025-04-22 04:49:45
12993,2024,IND.2,21311,149420,17,9,0,0,1,0,0,0,0,0,0,0,0,0,16,2025-04-22 04:49:48
12993,2024,IND.2,8896,151255,18,1,0,0,7,0,0,8,0,4,4,4,0,0,16,2025-04-22 04:49:45
12993,2024,IND.2,19341,152661,17,2,0,0,1,0,0,2,0,2,2,2,0,0,12,2025-04-22 04:49:47
12993,2024,IND.2,21311,155508,21,14,0,0,3,0,0,1,0,3,3,3,0,0,13,2025-04-22 04:49:48
12993,2024,IND.2,8896,164474,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-04-22 04:49:45
12993,2024,IND.2,18895,169652,9,1,0,0,3,0,1,0,0,1,1,1,0,0,16,2025-04-22 04:49:44
12993,2024,IND.2,22069,170396,18,1,0,0,2,1,0,5,0,3,3,3,0,0,19,2025-04-22 04:49:46
12993,2024,IND.2,18898,173006,17,0,0,0,0,0,0,2,0,13,13,13,0,0,31,2025-04-22 04:49:48
12993,2024,IND.2,18896,180171,20,0,0,0,5,0,0,5,0,1,1,1,0,0,25,2025-04-22 04:49:46
12993,2024,IND.2,18896,181257,19,8,0,0,2,0,0,2,0,7,7,6,0,0,12,2025-04-22 04:49:46
12993,2024,IND.2,22070,184454,7,0,0,0,4,0,1,0,0,1,1,1,0,0,10,2025-04-22 04:49:45
12993,2024,IND.2,18898,192834,17,1,0,0,3,2,0,4,0,3,3,3,0,0,29,2025-04-22 04:49:48
12993,2024,IND.2,21312,196710,20,0,0,0,5,0,0,8,0,10,10,8,0,0,27,2025-04-22 04:49:47
12993,2024,IND.2,21312,197467,6,0,0,0,2,0,0,0,0,0,0,0,0,0,10,2025-04-22 04:49:47
12993,2024,IND.2,18896,198090,21,1,0,0,4,0,0,8,0,9,9,9,0,0,29,2025-04-22 04:49:46
12993,2024,IND.2,21312,199815,19,0,0,0,3,0,0,1,0,1,1,1,0,0,22,2025-04-22 04:49:47
12993,2024,IND.2,22070,201741,6,0,0,0,0,0,0,2,0,0,0,0,0,0,15,2025-02-21 05:47:21
12993,2024,IND.2,21311,213090,22,3,0,0,3,0,1,2,0,17,18,17,0,0,33,2025-04-22 04:49:48
12993,2024,IND.2,22071,218247,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2025-04-22 04:49:46
12993,2024,IND.2,22472,221142,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2025-04-22 04:49:47
12993,2024,IND.2,19341,222223,18,5,0,0,2,0,0,1,0,7,7,7,0,0,15,2025-04-22 04:49:47
12993,2024,IND.2,22069,222528,9,4,0,0,6,0,0,1,0,3,3,3,0,0,6,2025-04-22 04:49:46
12993,2024,IND.2,22070,226356,7,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-04-22 04:49:45
12993,2024,IND.2,21311,226880,19,3,0,0,3,0,0,2,0,2,2,2,0,0,27,2025-04-22 04:49:48
12993,2024,IND.2,22069,226910,21,0,0,0,6,0,0,1,0,0,0,0,0,0,31,2025-04-22 04:49:46
12993,2024,IND.2,22070,227841,5,1,0,0,4,0,0,0,0,0,0,0,0,0,6,2025-04-22 04:49:45
12993,2024,IND.2,18895,227910,14,0,0,0,3,1,0,0,0,0,0,0,0,0,25,2025-04-22 04:49:44
12993,2024,IND.2,22069,227918,21,0,0,0,3,0,0,0,0,0,0,0,0,0,30,2025-04-22 04:49:46
