seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12942,2024,POR.TACA.PORTUGAL,1929,108223,5,0,4,14,5,0,0,1,3,2,13,0,0,0,7,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,119289,5,0,5,6,2,0,0,0,0,1,5,1,0,1,7,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,164194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,169402,6,1,7,10,0,0,0,1,2,4,5,2,0,1,6,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,192421,6,0,2,9,1,0,0,1,2,6,16,4,0,0,8,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,201304,5,2,8,3,1,0,0,1,0,0,2,0,0,1,4,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,212900,6,0,6,3,1,0,0,2,0,3,5,2,0,1,8,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,224103,4,1,3,4,0,0,0,2,0,5,12,3,0,0,4,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,245637,2,0,0,1,0,0,0,1,0,0,1,0,0,0,4,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,256607,5,3,6,0,0,0,0,0,0,0,1,0,0,0,2,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,265944,3,1,2,0,0,0,0,1,0,0,1,0,0,1,3,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,272700,4,1,5,2,1,0,0,1,0,1,5,0,0,1,5,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,286109,5,0,0,1,0,0,0,0,0,0,0,0,65,20,7,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,290081,5,5,0,0,0,0,0,0,0,2,6,1,0,0,0,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,304571,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,306664,4,1,2,3,0,0,0,0,0,1,10,0,0,0,3,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,307631,1,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,310637,1,0,3,2,1,0,0,0,0,0,0,0,0,1,1,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,327161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,329691,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,346588,6,0,2,2,0,0,0,0,0,2,7,0,0,8,8,2024-09-27 05:08:14
12942,2024,POR.TACA.PORTUGAL,1929,355061,6,0,11,9,0,0,0,0,3,0,4,0,0,2,8,2024-09-27 05:08:14
