seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12860,2024,RSA.1,11913,22004,5,0,0,3,0,0,0,0,0,0,0,0,0,15,8,2025-06-28 04:37:33
12860,2024,RSA.1,18615,66450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-28 04:37:37
12860,2024,RSA.1,7084,89834,10,1,1,4,0,1,0,0,0,0,0,0,0,20,4,2025-06-28 04:37:34
12860,2024,RSA.1,7079,92296,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-01-26 05:34:41
12860,2024,RSA.1,7079,92896,16,1,16,9,1,0,0,0,0,0,2,0,0,0,15,2025-06-28 04:37:32
12860,2024,RSA.1,7077,108527,19,8,22,10,6,0,0,0,0,4,11,1,0,0,12,2025-06-28 04:37:33
12860,2024,RSA.1,11913,111463,11,1,5,3,1,0,0,0,0,2,6,2,0,0,10,2025-06-28 04:37:33
12860,2024,RSA.1,7080,111946,15,5,13,9,1,0,0,0,0,13,33,4,0,0,10,2025-06-28 04:37:37
12860,2024,RSA.1,7100,116195,7,4,1,9,0,0,0,0,0,2,3,0,0,0,0,2025-06-28 04:37:32
12860,2024,RSA.1,13317,120123,20,0,1,4,3,0,0,0,0,0,0,0,0,52,26,2025-06-28 04:37:35
12860,2024,RSA.1,7099,127303,14,2,13,11,0,0,0,2,0,2,6,0,0,0,8,2025-06-28 04:37:36
12860,2024,RSA.1,7100,129306,29,0,1,10,2,0,0,0,0,0,0,0,0,69,32,2025-06-28 04:37:32
12860,2024,RSA.1,7100,129365,19,6,12,15,1,0,0,0,0,0,1,0,0,0,13,2025-06-28 04:37:32
12860,2024,RSA.1,7080,138752,16,1,8,3,2,0,0,0,0,1,6,0,0,0,12,2025-06-28 04:37:37
12860,2024,RSA.1,7077,139425,28,0,8,15,2,0,0,0,0,2,10,1,0,0,29,2025-06-28 04:37:33
12860,2024,RSA.1,13317,141465,4,2,6,2,0,0,0,1,0,3,6,0,0,0,1,2025-06-28 04:37:35
