seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12689,2024,RUS.1,1963,39740,28,0,0,3,0,0,0,1,0,0,0,0,0,52,21,2025-06-21 04:48:41
12689,2024,RUS.1,1941,67003,18,12,4,10,2,0,1,2,0,5,15,1,0,0,5,2025-06-21 04:48:45
12689,2024,RUS.1,22300,80579,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-21 05:32:13
12689,2024,RUS.1,596,84295,10,0,15,10,1,0,0,2,0,0,4,0,0,0,13,2025-06-21 04:48:41
12689,2024,RUS.1,15582,86701,26,0,0,0,5,0,0,0,0,0,0,0,0,0,37,2024-07-13 02:50:31
12689,2024,RUS.1,22271,93367,22,2,27,20,1,0,0,5,0,19,47,9,0,0,34,2025-06-21 04:48:40
12689,2024,RUS.1,596,104497,19,2,19,15,3,0,0,4,0,8,25,3,0,0,17,2025-06-21 04:48:41
12689,2024,RUS.1,1963,105471,21,8,22,5,4,0,0,0,0,1,6,0,0,0,8,2025-06-21 04:48:41
12689,2024,RUS.1,1963,105813,16,6,11,11,4,0,0,2,0,3,5,0,0,0,6,2025-06-21 04:48:41
12689,2024,RUS.1,20019,108282,24,14,0,0,3,0,0,0,0,3,3,3,0,0,24,2024-07-13 02:50:29
12689,2024,RUS.1,7424,117353,29,0,46,58,5,0,0,5,0,18,56,6,0,0,46,2025-06-21 04:48:42
12689,2024,RUS.1,3851,117362,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2025-06-21 04:48:45
12689,2024,RUS.1,2533,124905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-21 04:48:45
12689,2024,RUS.1,15582,124913,26,9,0,0,2,0,0,0,0,3,3,3,0,0,20,2024-07-13 02:50:31
12689,2024,RUS.1,7424,132972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-11-25 16:01:29
12689,2024,RUS.1,20019,132972,23,5,0,0,5,0,0,0,0,1,1,1,0,0,25,2024-07-13 02:50:29
12689,2024,RUS.1,21539,135934,5,2,1,4,0,0,0,0,0,0,2,0,0,0,7,2025-06-21 04:48:42
12689,2024,RUS.1,11336,136454,27,6,11,13,4,0,0,1,0,1,6,0,0,0,13,2025-06-21 04:48:43
12689,2024,RUS.1,15582,140406,16,2,0,0,2,0,1,0,0,1,1,0,0,0,20,2024-07-13 02:50:31
12689,2024,RUS.1,7424,148356,2,1,0,0,0,0,0,0,0,2,3,0,0,0,2,2025-06-21 04:48:42
12689,2024,RUS.1,21949,148356,12,0,0,0,3,0,0,0,0,0,0,0,0,0,17,2024-07-13 02:50:29
12689,2024,RUS.1,11336,150204,16,13,7,4,1,0,0,1,0,6,21,1,0,0,8,2025-06-21 04:48:43
12689,2024,RUS.1,7424,150364,20,1,37,23,6,0,0,0,0,3,11,0,0,0,33,2025-06-21 04:48:42
12689,2024,RUS.1,21539,151234,12,0,0,1,1,0,0,0,0,0,0,0,0,31,17,2025-06-21 04:48:42
12689,2024,RUS.1,21949,151793,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-07-13 02:50:29
12689,2024,RUS.1,3851,151797,22,10,15,15,4,0,0,0,0,3,10,2,0,0,21,2025-06-21 04:48:45
12689,2024,RUS.1,3850,151799,19,1,0,1,2,0,0,1,0,0,0,0,0,50,31,2025-06-21 04:48:43
12689,2024,RUS.1,20019,151803,19,0,0,0,2,0,0,0,0,0,0,0,0,0,28,2024-07-13 02:50:29
12689,2024,RUS.1,22300,154354,21,13,8,7,2,0,0,0,0,4,10,1,0,0,8,2025-06-21 04:48:42
12689,2024,RUS.1,7424,157282,5,5,0,0,0,0,0,0,0,0,4,0,0,0,2,2024-11-25 16:01:29
12689,2024,RUS.1,22271,159239,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-21 05:32:12
12689,2024,RUS.1,3851,159560,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-06-21 04:48:45
12689,2024,RUS.1,2533,162263,20,20,6,3,1,0,0,0,0,6,14,2,0,0,1,2025-06-21 04:48:45
12689,2024,RUS.1,21539,165233,5,4,2,2,1,1,0,0,0,0,0,0,0,0,4,2025-06-21 04:48:42
12689,2024,RUS.1,7424,169035,26,13,13,23,4,0,0,1,0,9,26,3,0,0,27,2025-06-21 04:48:42
12689,2024,RUS.1,15582,169417,21,3,0,0,2,0,0,0,0,0,0,0,0,0,23,2024-07-13 02:50:31
12689,2024,RUS.1,11336,171508,27,0,25,23,4,0,0,2,0,2,17,1,0,0,21,2025-06-21 04:48:43
12689,2024,RUS.1,22271,172157,8,2,3,5,1,0,0,0,0,2,7,1,0,0,11,2025-01-21 05:32:12
12689,2024,RUS.1,7424,175894,8,8,0,2,0,0,0,0,0,1,4,0,0,0,2,2025-01-21 05:32:14
12689,2024,RUS.1,11336,176058,25,0,65,91,7,1,0,4,0,37,80,12,0,0,20,2025-06-21 04:48:43
12689,2024,RUS.1,21539,177155,18,0,0,1,1,0,0,0,0,0,0,0,0,59,25,2025-06-21 04:48:42
12689,2024,RUS.1,21949,177410,26,11,0,0,1,0,0,0,0,6,6,6,0,0,19,2024-07-13 02:50:29
12689,2024,RUS.1,3851,178007,27,0,32,50,7,0,0,0,0,3,17,0,0,0,41,2025-06-21 04:48:45
12689,2024,RUS.1,596,178116,15,6,9,20,1,0,0,0,0,0,4,0,0,0,12,2025-06-21 04:48:41
12689,2024,RUS.1,15582,178344,26,2,0,0,4,0,0,0,0,3,4,3,0,0,31,2024-07-13 02:50:31
12689,2024,RUS.1,2533,182018,28,0,33,44,5,0,0,0,0,1,4,0,0,0,16,2025-06-21 04:48:45
12689,2024,RUS.1,1941,182337,27,2,17,35,1,0,0,1,0,24,51,7,0,0,20,2025-06-21 04:48:45
12689,2024,RUS.1,3851,183666,28,26,7,7,3,0,0,2,0,4,6,0,0,0,11,2025-06-21 04:48:45
12689,2024,RUS.1,13150,184033,4,0,5,2,1,0,0,0,0,0,3,0,0,0,7,2025-01-21 05:32:16
12689,2024,RUS.1,20019,184741,20,10,0,0,0,0,0,0,0,0,0,0,0,0,13,2024-07-13 02:50:29
12689,2024,RUS.1,1941,184848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-21 05:32:17
12689,2024,RUS.1,1941,184968,23,7,48,38,7,0,0,5,0,11,35,3,0,0,15,2025-06-21 04:48:45
12689,2024,RUS.1,21539,185726,23,2,17,21,6,0,1,0,0,2,14,0,0,0,28,2025-06-21 04:48:42
12689,2024,RUS.1,442,185823,8,0,0,1,0,0,0,0,0,0,0,0,0,31,6,2025-06-21 04:48:44
12689,2024,RUS.1,15582,185902,13,3,0,0,2,0,0,0,0,0,0,0,0,0,10,2024-07-13 02:50:31
12689,2024,RUS.1,2533,186575,30,0,12,28,1,0,0,3,0,4,16,0,0,0,18,2025-06-21 04:48:45
12689,2024,RUS.1,442,189042,13,6,14,5,2,1,0,1,0,5,9,1,0,0,10,2025-06-21 04:48:44
12689,2024,RUS.1,1941,189794,16,8,14,14,2,1,0,0,0,3,11,1,0,0,10,2025-06-21 04:48:45
12689,2024,RUS.1,2533,189914,12,4,5,1,0,0,0,0,0,2,3,0,0,0,5,2025-06-21 04:48:45
12689,2024,RUS.1,20019,190343,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2024-07-13 02:50:29
12689,2024,RUS.1,15582,190625,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-07-13 02:50:31
12689,2024,RUS.1,2991,191104,22,3,28,29,10,0,0,0,0,10,30,3,0,0,33,2025-06-21 04:48:40
12689,2024,RUS.1,21949,192259,23,6,0,0,1,0,0,0,0,1,1,1,0,0,22,2024-07-13 02:50:29
12689,2024,RUS.1,1941,194048,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2,2024-09-15 04:47:23
12689,2024,RUS.1,2533,194048,24,14,20,15,3,0,0,2,0,17,41,4,0,0,8,2025-06-21 04:48:45
12689,2024,RUS.1,2991,194183,15,6,22,6,3,0,0,0,0,3,13,0,0,0,19,2025-06-21 04:48:40
12689,2024,RUS.1,7424,195199,16,7,14,12,2,0,0,1,0,1,5,0,0,0,20,2025-06-21 04:48:42
12689,2024,RUS.1,3851,195282,14,7,9,4,2,0,0,0,0,0,4,0,0,0,18,2025-06-21 04:48:45
12689,2024,RUS.1,7424,195367,9,0,0,3,0,0,0,0,0,0,0,0,0,26,21,2025-06-21 04:48:42
12689,2024,RUS.1,1941,195368,8,4,11,1,1,0,0,0,0,0,2,0,0,0,3,2025-06-21 04:48:45
12689,2024,RUS.1,3850,195374,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2025-06-21 04:48:43
12689,2024,RUS.1,1963,195496,24,12,17,16,1,0,0,3,0,7,22,2,0,0,10,2025-06-21 04:48:41
12689,2024,RUS.1,442,195500,26,0,38,22,8,0,0,3,0,10,32,0,0,0,35,2025-06-21 04:48:44
12689,2024,RUS.1,7424,195667,30,2,8,22,3,0,0,4,0,14,32,7,0,0,51,2025-06-21 04:48:42
12689,2024,RUS.1,21949,196783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:50:29
12689,2024,RUS.1,1963,198350,25,0,27,14,4,0,0,1,0,6,11,3,0,0,18,2025-06-21 04:48:41
12689,2024,RUS.1,1941,198360,7,7,0,1,0,0,0,0,0,1,7,0,0,0,2,2025-01-21 05:32:17
12689,2024,RUS.1,596,199101,18,1,5,5,0,0,0,1,0,4,11,2,0,0,19,2025-06-21 04:48:41
12689,2024,RUS.1,3850,199487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-21 04:48:43
12689,2024,RUS.1,1941,200981,7,3,8,6,1,0,0,0,0,0,0,0,0,0,4,2025-06-21 04:48:45
12689,2024,RUS.1,15582,202570,24,13,0,0,4,1,0,0,0,2,3,2,0,0,18,2024-07-13 02:50:31
12689,2024,RUS.1,1941,202702,3,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2025-06-21 04:48:45
12689,2024,RUS.1,15582,202702,29,0,0,0,4,0,0,0,0,0,0,0,1,0,42,2024-07-13 02:50:31
12689,2024,RUS.1,20019,202714,10,5,0,0,2,1,0,0,0,0,0,0,0,0,6,2024-07-13 02:50:29
12689,2024,RUS.1,2533,203707,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2025-04-20 15:42:36
12689,2024,RUS.1,1963,204923,4,1,1,6,0,0,0,2,0,5,7,0,0,0,1,2024-09-19 04:51:52
12689,2024,RUS.1,1963,205442,26,0,20,27,3,1,0,2,0,7,26,1,0,0,13,2025-06-21 04:48:41
12689,2024,RUS.1,13150,205664,23,10,22,10,4,0,0,1,0,3,6,1,0,0,19,2025-06-21 04:48:44
12689,2024,RUS.1,2991,205670,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2025-06-21 04:48:40
12689,2024,RUS.1,11336,205712,3,3,0,0,0,0,0,0,0,1,1,1,0,0,2,2025-06-21 04:48:43
12689,2024,RUS.1,15582,205712,7,5,0,0,1,1,0,0,0,0,0,0,0,0,3,2024-07-13 02:50:31
12689,2024,RUS.1,3852,205724,26,4,40,51,2,0,0,4,0,19,62,8,0,0,28,2025-06-21 04:48:44
12689,2024,RUS.1,596,206252,26,0,1,5,2,0,0,0,0,0,0,0,0,78,32,2025-06-21 04:48:41
12689,2024,RUS.1,1963,206552,15,4,18,14,3,0,0,1,0,1,7,0,0,0,9,2025-01-21 05:32:12
12689,2024,RUS.1,2533,206552,22,8,23,17,3,0,0,1,0,1,9,0,0,0,11,2025-06-21 04:48:45
12689,2024,RUS.1,21949,206846,26,12,0,0,4,0,0,0,0,2,2,2,0,0,20,2024-07-13 02:50:29
12689,2024,RUS.1,22271,206846,25,5,25,18,4,0,0,3,0,1,11,0,0,0,28,2025-06-21 04:48:40
12689,2024,RUS.1,22271,207044,15,0,0,4,0,0,0,0,0,0,0,0,0,67,21,2025-06-21 04:48:40
12689,2024,RUS.1,21539,207421,27,10,36,11,5,1,0,0,0,6,23,0,0,0,20,2025-06-21 04:48:42
12689,2024,RUS.1,11336,208642,22,13,12,13,4,0,0,0,0,0,5,0,0,0,10,2025-06-21 04:48:43
12689,2024,RUS.1,596,208700,26,5,34,55,3,1,0,3,0,18,44,7,0,0,26,2025-06-21 04:48:41
12689,2024,RUS.1,3851,211667,24,9,19,17,1,0,0,2,0,6,25,2,0,0,24,2025-06-21 04:48:45
12689,2024,RUS.1,442,211895,22,0,1,2,2,0,0,0,0,0,0,0,0,60,35,2025-06-21 04:48:44
12689,2024,RUS.1,2533,212348,5,5,1,0,0,0,0,0,0,0,3,0,0,0,0,2025-06-21 04:48:45
12689,2024,RUS.1,3850,212769,21,2,25,13,5,1,2,0,0,6,14,1,0,0,28,2025-06-21 04:48:43
12689,2024,RUS.1,22271,213843,26,0,32,6,8,1,2,1,0,4,12,1,0,0,45,2025-06-21 04:48:40
12689,2024,RUS.1,596,214231,5,1,0,1,0,0,0,0,0,1,1,1,0,17,3,2025-06-21 04:48:41
12689,2024,RUS.1,2533,215934,30,10,20,14,0,0,0,4,0,20,53,8,0,0,13,2025-06-21 04:48:45
12689,2024,RUS.1,22271,216351,12,1,20,10,2,0,0,0,0,1,8,0,0,0,19,2025-06-21 04:48:40
12689,2024,RUS.1,18285,217150,27,1,47,40,7,0,0,4,0,28,80,5,0,0,41,2025-06-21 04:48:43
12689,2024,RUS.1,596,218237,20,4,21,14,3,0,0,1,0,0,11,0,0,0,17,2025-06-21 04:48:41
12689,2024,RUS.1,2991,219176,12,0,22,17,3,0,0,3,0,11,29,2,0,0,16,2025-06-21 04:48:40
12689,2024,RUS.1,1941,219535,26,0,37,21,8,1,0,1,0,4,18,2,0,0,25,2025-06-21 04:48:45
12689,2024,RUS.1,2991,220698,21,3,10,3,2,0,0,0,0,6,16,2,0,0,34,2025-06-21 04:48:40
12689,2024,RUS.1,21949,220698,19,0,0,0,1,0,0,0,0,0,0,0,0,0,28,2024-07-13 02:50:29
12689,2024,RUS.1,3852,220727,25,19,6,8,3,0,0,0,0,1,6,0,0,0,10,2025-06-21 04:48:44
12689,2024,RUS.1,18285,220730,7,3,4,6,1,0,0,1,0,0,5,0,0,0,10,2025-06-21 04:48:43
12689,2024,RUS.1,2991,220757,13,10,12,14,1,0,0,1,0,1,7,0,0,0,12,2025-06-21 04:48:40
12689,2024,RUS.1,7424,221029,3,0,2,4,0,1,0,0,0,0,0,0,0,0,3,2025-01-21 05:32:14
12689,2024,RUS.1,22271,221140,29,3,25,7,4,0,0,5,0,24,55,6,0,0,48,2025-06-21 04:48:40
12689,2024,RUS.1,3850,221401,7,6,5,2,1,0,0,0,0,1,3,0,0,0,3,2025-06-21 04:48:43
12689,2024,RUS.1,596,222142,23,12,9,8,1,0,2,1,0,3,16,0,0,0,16,2025-06-21 04:48:41
12689,2024,RUS.1,2991,222299,10,1,4,17,0,0,0,0,0,1,2,0,0,0,12,2025-06-21 04:48:40
12689,2024,RUS.1,7424,222554,17,1,7,9,2,0,0,0,0,1,6,0,0,0,30,2025-06-21 04:48:42
12689,2024,RUS.1,13150,222587,16,4,21,38,4,0,0,0,0,5,16,2,0,0,21,2025-01-21 05:32:16
12689,2024,RUS.1,15582,222714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:50:31
12689,2024,RUS.1,20019,222800,12,9,0,0,1,0,0,0,0,1,1,1,0,0,5,2024-07-13 02:50:29
12689,2024,RUS.1,3852,222866,2,0,0,1,0,0,0,0,0,0,0,0,0,5,4,2025-06-21 04:48:44
12689,2024,RUS.1,21539,223303,23,5,23,29,5,0,0,1,0,1,8,0,0,0,18,2025-06-21 04:48:42
12689,2024,RUS.1,13150,224196,26,2,36,53,4,2,0,3,0,26,59,10,0,0,34,2025-06-21 04:48:44
12689,2024,RUS.1,442,224323,16,0,18,9,1,0,0,0,0,4,10,0,0,0,19,2025-06-21 04:48:44
12689,2024,RUS.1,1941,224632,11,6,11,11,0,0,0,0,0,11,28,1,0,0,4,2025-06-21 04:48:45
12689,2024,RUS.1,18285,225239,23,4,21,23,4,0,0,1,0,16,42,4,0,0,28,2025-06-21 04:48:43
12689,2024,RUS.1,13150,225494,10,4,7,6,1,0,0,0,0,0,1,0,0,0,10,2025-01-21 05:32:16
12689,2024,RUS.1,1941,225584,27,0,0,0,1,0,0,0,0,0,0,0,0,54,23,2025-06-21 04:48:45
12689,2024,RUS.1,1963,225585,24,2,16,10,3,0,0,2,0,4,13,1,0,0,13,2025-06-21 04:48:41
12689,2024,RUS.1,3851,225594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-21 05:32:16
12689,2024,RUS.1,21539,225594,9,2,12,5,0,0,0,0,0,2,12,0,0,0,8,2025-06-21 04:48:42
12689,2024,RUS.1,18285,225597,9,0,19,14,4,0,0,0,0,1,3,1,0,0,14,2025-06-21 04:48:43
12689,2024,RUS.1,2533,225598,4,1,0,0,0,0,0,0,0,0,0,0,0,6,5,2025-06-21 04:48:45
12689,2024,RUS.1,2991,225857,7,7,1,1,2,0,0,0,0,1,7,1,0,0,6,2025-01-21 05:32:12
12689,2024,RUS.1,2533,226991,16,1,14,26,3,0,0,5,0,10,28,0,0,0,9,2025-01-21 05:32:17
12689,2024,RUS.1,7424,227225,25,3,30,30,6,0,0,0,0,12,29,4,0,0,27,2025-06-21 04:48:42
12689,2024,RUS.1,21539,227271,16,4,17,26,2,1,0,1,0,10,31,4,0,0,13,2025-01-21 05:32:14
12689,2024,RUS.1,3852,228337,21,8,14,20,2,0,0,0,0,6,17,1,0,0,17,2025-06-21 04:48:44
12689,2024,RUS.1,1963,228342,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2024-08-03 08:41:17
12689,2024,RUS.1,596,228398,16,3,16,19,2,0,0,2,0,8,18,3,0,0,12,2025-06-21 04:48:41
12689,2024,RUS.1,20019,228447,12,0,0,0,3,0,0,0,0,1,1,1,0,0,13,2024-07-13 02:50:29
12689,2024,RUS.1,1963,228556,22,13,12,13,3,0,0,1,0,8,24,3,0,0,8,2025-06-21 04:48:41
12689,2024,RUS.1,7424,231243,30,0,23,32,2,0,0,0,0,3,8,0,0,0,56,2025-06-21 04:48:42
12689,2024,RUS.1,1941,231751,9,6,4,3,1,0,0,0,0,5,8,3,0,0,5,2025-01-21 05:32:17
12689,2024,RUS.1,13150,233561,14,9,15,14,2,0,0,0,0,3,8,2,0,0,10,2025-01-21 05:32:16
12689,2024,RUS.1,3852,234288,15,4,20,4,1,0,0,1,0,5,20,1,0,0,18,2025-06-21 04:48:44
12689,2024,RUS.1,2991,234407,27,0,0,9,1,0,0,1,0,0,0,0,0,81,44,2025-06-21 04:48:40
12689,2024,RUS.1,13150,234733,28,0,0,6,2,0,0,2,0,0,0,0,0,97,50,2025-06-21 04:48:44
12689,2024,RUS.1,7424,235997,22,6,11,22,1,0,0,0,0,7,23,0,0,0,33,2025-06-21 04:48:42
12689,2024,RUS.1,11336,236098,13,1,16,15,2,0,0,0,0,1,6,1,0,0,10,2025-06-21 04:48:43
12689,2024,RUS.1,20019,236387,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-07-13 02:50:29
12689,2024,RUS.1,22300,236387,5,3,6,2,1,0,0,0,0,0,1,0,0,0,2,2025-06-21 04:48:42
12689,2024,RUS.1,15582,236396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-07-13 02:50:31
12689,2024,RUS.1,7424,236432,8,2,6,7,2,0,0,1,0,0,0,0,0,0,10,2025-01-21 05:32:14
12689,2024,RUS.1,3852,236437,24,10,23,19,2,1,0,1,0,2,16,0,0,0,21,2025-06-21 04:48:44
12689,2024,RUS.1,20019,236437,17,10,0,0,1,0,0,0,0,2,2,2,0,0,10,2024-07-13 02:50:29
12689,2024,RUS.1,2533,236596,11,10,2,10,1,0,0,2,0,6,8,1,0,0,0,2025-01-21 05:32:17
12689,2024,RUS.1,2533,236782,30,0,20,25,3,0,0,1,0,9,20,2,0,0,17,2025-06-21 04:48:45
12689,2024,RUS.1,21949,237391,14,5,0,0,2,0,0,0,0,0,0,0,0,0,12,2024-07-13 02:50:29
12689,2024,RUS.1,2991,237586,27,3,33,25,6,0,1,1,0,4,16,0,0,0,35,2025-06-21 04:48:40
12689,2024,RUS.1,21539,237982,7,6,4,5,1,0,0,0,0,1,5,0,0,0,5,2025-01-21 05:32:14
12689,2024,RUS.1,3851,238241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-11-05 22:40:52
12689,2024,RUS.1,21949,238241,15,5,0,0,3,0,0,0,0,4,4,4,0,0,16,2024-07-13 02:50:29
12689,2024,RUS.1,21539,238397,20,2,19,8,4,1,0,0,0,1,6,0,0,0,28,2025-06-21 04:48:42
12689,2024,RUS.1,2991,238434,25,5,33,31,7,0,0,0,0,4,22,0,0,0,35,2025-06-21 04:48:40
12689,2024,RUS.1,21539,238933,24,0,42,28,10,0,0,1,0,4,21,0,0,0,31,2025-06-21 04:48:42
12689,2024,RUS.1,15582,239160,22,12,0,0,2,0,0,0,0,3,3,3,0,0,20,2024-07-13 02:50:31
12689,2024,RUS.1,2991,239427,10,5,9,5,3,0,0,0,0,0,10,0,0,0,10,2025-01-21 05:32:12
12689,2024,RUS.1,15582,240238,11,5,0,0,0,0,0,0,0,0,0,0,0,0,16,2024-07-13 02:50:31
12689,2024,RUS.1,18285,240504,18,2,22,6,6,0,0,1,0,0,11,0,0,0,28,2025-06-21 04:48:43
12689,2024,RUS.1,7424,240505,29,16,28,16,3,0,0,1,0,17,37,6,0,0,33,2025-06-21 04:48:42
12689,2024,RUS.1,3851,240567,28,0,45,42,5,1,0,6,0,5,34,1,0,0,40,2025-06-21 04:48:45
12689,2024,RUS.1,1963,240578,29,0,29,43,3,1,0,3,0,21,50,7,0,0,19,2025-06-21 04:48:41
12689,2024,RUS.1,596,241119,26,8,21,58,3,0,0,5,0,12,42,6,0,0,21,2025-06-21 04:48:41
12689,2024,RUS.1,442,241161,30,3,32,17,3,0,0,4,0,22,55,12,0,0,33,2025-06-21 04:48:44
12689,2024,RUS.1,1941,241173,27,0,10,83,5,0,0,7,0,29,78,12,0,0,21,2025-06-21 04:48:45
12689,2024,RUS.1,596,241587,26,3,37,26,5,1,0,2,0,17,44,5,0,0,25,2025-06-21 04:48:41
12689,2024,RUS.1,3850,245881,21,7,17,15,3,0,0,2,0,7,15,3,0,0,19,2025-06-21 04:48:43
12689,2024,RUS.1,3852,246853,5,3,3,1,1,0,0,0,0,0,1,0,0,0,4,2025-01-21 05:32:16
12689,2024,RUS.1,2991,248700,4,2,4,1,0,0,0,0,0,0,2,0,0,0,5,2025-06-21 04:48:40
12689,2024,RUS.1,22300,248702,15,3,18,11,3,3,0,0,0,1,5,0,0,0,10,2025-06-21 04:48:42
12689,2024,RUS.1,7424,248703,17,1,32,13,0,0,0,1,0,5,21,1,0,0,27,2025-01-21 05:32:14
12689,2024,RUS.1,3852,248829,25,15,17,9,4,0,0,2,0,18,47,5,0,0,19,2025-06-21 04:48:44
12689,2024,RUS.1,20019,251568,22,0,0,0,2,0,0,0,0,5,5,5,0,0,29,2024-07-13 02:50:29
12689,2024,RUS.1,596,251832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-03 08:41:11
12689,2024,RUS.1,22300,252026,19,1,15,16,5,0,0,0,0,2,9,0,0,0,22,2025-06-21 04:48:42
12689,2024,RUS.1,2991,252199,15,10,8,14,1,0,0,1,0,2,9,1,0,0,13,2025-06-21 04:48:40
12689,2024,RUS.1,11336,252567,23,1,25,5,4,0,0,1,0,4,15,2,0,0,17,2025-06-21 04:48:43
12689,2024,RUS.1,2991,252577,11,11,4,3,0,0,0,1,0,0,4,0,0,0,1,2025-06-21 04:48:40
12689,2024,RUS.1,3850,252594,10,4,9,4,1,0,0,1,0,0,1,0,0,0,13,2025-01-21 05:32:15
12689,2024,RUS.1,22300,252774,27,0,29,35,9,1,0,0,0,1,10,0,0,0,28,2025-06-21 04:48:42
12689,2024,RUS.1,21539,252775,25,2,29,15,5,0,0,1,0,13,42,3,0,0,34,2025-06-21 04:48:42
12689,2024,RUS.1,2533,253305,22,0,10,26,4,1,0,10,0,8,21,1,0,0,14,2025-06-21 04:48:45
12689,2024,RUS.1,2533,253957,27,0,0,2,1,0,0,0,0,0,0,0,0,67,13,2025-06-21 04:48:45
12689,2024,RUS.1,21949,253957,26,0,0,0,2,0,0,0,0,0,0,0,1,0,38,2024-07-13 02:50:29
12689,2024,RUS.1,3850,256118,21,2,37,27,5,2,0,3,0,5,21,1,0,0,27,2025-06-21 04:48:43
12689,2024,RUS.1,21539,256690,9,3,7,5,0,0,0,0,0,0,2,0,0,0,8,2025-01-21 05:32:14
12689,2024,RUS.1,13150,256809,22,3,15,19,4,0,0,2,0,6,20,1,0,0,35,2025-06-21 04:48:44
12689,2024,RUS.1,1941,256814,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-21 04:48:45
12689,2024,RUS.1,2991,256822,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2025-01-21 05:32:12
12689,2024,RUS.1,2991,257865,2,2,2,0,1,0,0,0,0,0,1,0,0,0,1,2025-06-21 04:48:40
12689,2024,RUS.1,1941,258308,26,6,29,48,2,0,0,9,0,9,32,0,0,0,16,2025-06-21 04:48:45
12689,2024,RUS.1,2991,258730,14,5,11,6,1,0,0,0,0,1,8,0,0,0,17,2025-06-21 04:48:40
12689,2024,RUS.1,13150,258952,12,3,8,5,4,0,0,2,0,0,4,0,0,0,18,2025-04-20 15:42:35
12689,2024,RUS.1,21539,259005,27,3,39,19,4,0,0,1,0,5,23,2,0,0,27,2025-06-21 04:48:42
12689,2024,RUS.1,3851,259006,24,1,23,17,1,1,0,0,0,0,7,0,0,0,31,2025-06-21 04:48:45
12689,2024,RUS.1,2991,259067,21,1,8,22,3,0,0,2,0,10,28,1,0,0,22,2025-06-21 04:48:40
12689,2024,RUS.1,3852,259067,5,0,1,2,1,0,0,0,0,2,9,0,0,0,8,2024-09-15 04:47:22
12689,2024,RUS.1,3851,259499,3,2,2,4,0,0,0,0,0,1,2,1,0,0,5,2025-01-21 05:32:16
12689,2024,RUS.1,21949,259499,18,7,0,0,1,0,0,0,0,4,4,4,0,0,14,2024-07-13 02:50:29
12689,2024,RUS.1,1941,259871,11,10,7,5,0,0,0,0,0,2,3,1,0,0,1,2025-06-21 04:48:45
12689,2024,RUS.1,11336,259879,25,1,27,39,4,0,0,3,0,15,36,3,0,0,10,2025-06-21 04:48:43
12689,2024,RUS.1,15582,260014,17,3,0,0,1,0,0,0,0,1,1,1,0,0,20,2024-07-13 02:50:31
12689,2024,RUS.1,2991,260270,18,7,10,21,2,0,0,0,0,9,20,2,0,0,15,2025-06-21 04:48:40
12689,2024,RUS.1,2991,260299,30,1,11,48,0,0,0,1,0,5,24,1,0,0,45,2025-06-21 04:48:40
