seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12723,2024,SCO.2,247,5938,33,3,14,21,6,0,0,0,0,3,6,0,0,0,34,2025-06-01 04:51:57
12723,2024,SCO.2,264,7331,18,7,4,8,1,0,0,1,1,3,9,1,0,0,8,2024-07-13 02:58:29
12723,2024,SCO.2,249,7977,23,5,22,30,5,1,0,3,0,1,2,0,0,0,21,2025-06-01 04:51:58
12723,2024,SCO.2,248,15327,10,0,6,3,4,0,0,0,0,0,0,0,0,0,6,2025-06-01 04:51:54
12723,2024,SCO.2,259,16154,33,6,32,24,6,0,0,1,0,21,47,5,0,0,20,2025-06-01 04:51:57
12723,2024,SCO.2,411,17575,6,0,0,0,0,0,0,0,0,0,0,0,0,17,11,2025-06-01 04:51:56
12723,2024,SCO.2,411,24636,31,15,30,29,5,0,0,2,0,11,24,4,0,0,24,2025-06-01 04:51:56
12723,2024,SCO.2,422,38106,18,6,20,7,4,0,0,1,0,2,10,1,0,0,18,2025-06-01 04:51:58
12723,2024,SCO.2,259,38397,32,6,22,18,5,0,0,3,0,17,48,6,0,0,22,2025-06-01 04:51:57
12723,2024,SCO.2,254,40299,23,3,14,26,2,1,0,1,0,0,4,0,0,0,17,2025-06-01 04:51:55
12723,2024,SCO.2,247,41258,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-31 14:44:40
12723,2024,SCO.2,422,42193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-01 04:51:58
12723,2024,SCO.2,422,43235,31,7,15,18,3,0,0,4,0,8,26,2,0,0,27,2025-06-01 04:51:58
12723,2024,SCO.2,252,61878,21,1,12,15,3,0,0,1,0,2,7,0,0,0,39,2024-07-13 02:58:30
12723,2024,SCO.2,249,70407,36,2,43,13,5,0,0,3,0,4,8,1,0,0,40,2025-06-01 04:51:58
12723,2024,SCO.2,253,72905,8,2,4,5,0,0,0,1,0,6,10,2,0,0,4,2024-07-13 02:58:30
12723,2024,SCO.2,249,73372,24,5,9,15,1,1,0,1,0,1,8,0,0,0,31,2025-06-01 04:51:58
12723,2024,SCO.2,2500,73657,14,9,8,9,0,0,0,0,0,5,9,2,0,0,7,2025-06-01 04:51:54
12723,2024,SCO.2,247,77907,33,0,30,28,1,1,0,2,0,29,63,15,0,0,29,2025-06-01 04:51:57
12723,2024,SCO.2,411,82925,20,13,3,9,1,0,0,1,0,5,10,1,0,0,15,2025-06-01 04:51:56
12723,2024,SCO.2,254,84036,13,1,12,5,2,0,0,0,0,14,26,9,0,0,8,2025-06-01 04:51:55
12723,2024,SCO.2,249,84213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-01 04:51:58
12723,2024,SCO.2,248,98298,26,11,7,21,1,0,0,1,0,9,19,3,0,0,13,2025-06-01 04:51:54
12723,2024,SCO.2,254,107568,35,0,35,29,7,0,0,1,0,10,19,6,0,0,32,2025-06-01 04:51:55
12723,2024,SCO.2,259,108365,31,21,18,35,6,0,0,1,0,8,16,3,0,0,9,2025-06-01 04:51:57
12723,2024,SCO.2,411,108367,11,1,10,10,3,0,0,1,0,2,3,0,0,0,13,2025-03-01 05:44:52
12723,2024,SCO.2,249,108739,18,1,13,10,1,1,0,0,0,1,4,0,0,0,19,2025-06-01 04:51:58
12723,2024,SCO.2,247,112329,9,6,7,0,4,0,0,0,0,0,1,0,0,0,2,2025-02-25 05:48:49
12723,2024,SCO.2,252,112881,14,10,10,5,2,1,0,0,0,1,3,0,0,0,15,2024-07-13 02:58:30
12723,2024,SCO.2,249,113963,33,0,27,28,4,0,0,0,0,6,17,2,0,0,39,2025-06-01 04:51:58
12723,2024,SCO.2,247,119000,18,1,19,16,4,1,0,4,0,6,15,3,0,0,18,2025-02-07 05:38:50
12723,2024,SCO.2,409,119000,32,1,44,33,7,1,0,4,0,12,24,6,0,0,37,2025-06-01 04:51:57
12723,2024,SCO.2,248,119083,12,5,17,12,1,0,0,0,0,6,16,4,0,0,10,2025-06-01 04:51:54
12723,2024,SCO.2,265,121665,30,0,16,24,4,1,0,0,0,3,11,2,0,0,37,2025-06-01 04:51:55
12723,2024,SCO.2,2500,122873,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-01 04:51:54
12723,2024,SCO.2,411,122960,5,0,4,0,0,0,0,0,0,1,4,0,0,0,4,2024-11-21 05:47:00
12723,2024,SCO.2,409,125080,30,2,26,12,4,0,1,1,0,1,9,0,0,0,41,2025-06-01 04:51:57
12723,2024,SCO.2,252,126266,19,0,20,19,8,0,0,2,1,3,9,2,0,0,37,2024-07-13 02:58:30
12723,2024,SCO.2,409,126323,14,2,10,14,2,0,0,0,0,3,4,1,0,0,24,2025-06-01 04:51:57
12723,2024,SCO.2,247,126421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-01 04:51:57
12723,2024,SCO.2,247,127116,9,0,0,2,1,0,0,0,0,0,0,0,0,26,18,2025-06-01 04:51:57
12723,2024,SCO.2,253,127942,15,10,6,10,1,0,0,1,3,1,3,1,0,0,4,2024-07-13 02:58:30
12723,2024,SCO.2,249,128639,11,5,8,13,0,0,0,0,0,1,5,0,0,0,8,2025-06-01 04:51:58
12723,2024,SCO.2,252,128793,16,1,9,14,3,0,0,0,0,0,5,0,0,0,33,2024-07-13 02:58:30
12723,2024,SCO.2,2500,130103,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-01 04:51:54
12723,2024,SCO.2,259,130467,21,2,20,7,4,1,0,0,0,7,8,4,0,0,15,2025-06-01 04:51:57
12723,2024,SCO.2,409,132256,19,0,2,4,1,0,0,0,0,0,0,0,0,61,31,2025-06-01 04:51:57
12723,2024,SCO.2,411,134390,34,26,17,15,2,0,0,1,0,5,12,2,0,0,14,2025-06-01 04:51:56
12723,2024,SCO.2,252,134842,24,5,14,16,0,0,0,1,4,3,7,1,0,0,50,2024-07-13 02:58:30
12723,2024,SCO.2,422,136207,34,5,32,30,5,0,0,1,0,16,37,6,0,0,43,2025-06-01 04:51:58
12723,2024,SCO.2,422,137317,32,0,43,23,7,0,0,2,0,3,10,2,0,0,38,2025-06-01 04:51:58
12723,2024,SCO.2,259,137367,25,8,29,20,3,0,0,2,0,7,21,3,0,0,9,2025-06-01 04:51:57
12723,2024,SCO.2,252,137450,23,0,0,2,0,0,0,0,0,0,0,0,0,65,48,2024-07-13 02:58:30
12723,2024,SCO.2,264,137726,19,4,12,11,1,0,0,1,3,6,19,3,0,0,10,2024-07-13 02:58:29
12723,2024,SCO.2,265,137726,27,12,19,20,5,1,0,4,0,7,22,1,0,0,14,2025-06-01 04:51:55
12723,2024,SCO.2,253,138377,36,3,29,38,1,0,0,3,15,29,46,8,0,0,29,2024-07-13 02:58:30
12723,2024,SCO.2,2500,139655,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2025-06-01 04:51:54
12723,2024,SCO.2,265,139703,4,3,5,1,1,1,0,0,0,0,1,0,0,0,3,2025-06-01 04:51:55
12723,2024,SCO.2,247,139761,29,4,35,21,12,1,0,0,0,2,6,0,0,0,30,2025-06-01 04:51:57
12723,2024,SCO.2,249,139792,28,10,11,16,3,0,0,2,0,7,13,2,0,0,20,2025-06-01 04:51:58
12723,2024,SCO.2,264,140037,33,5,46,41,8,0,0,6,26,36,75,18,0,0,17,2024-07-13 02:58:29
12723,2024,SCO.2,247,142234,5,2,2,0,0,0,0,0,0,1,1,0,0,0,1,2025-06-01 04:51:57
12723,2024,SCO.2,252,142368,30,5,29,15,6,0,0,0,1,6,15,0,0,0,52,2024-07-13 02:58:30
12723,2024,SCO.2,265,144039,18,5,22,28,6,0,0,0,0,4,7,0,0,0,11,2025-06-01 04:51:55
12723,2024,SCO.2,247,145139,13,12,3,8,0,0,0,1,0,1,1,0,0,0,3,2025-06-01 04:51:57
12723,2024,SCO.2,249,150538,13,3,7,13,0,0,0,1,0,8,13,3,0,0,12,2025-06-01 04:51:58
12723,2024,SCO.2,259,150538,13,3,7,13,0,0,0,1,0,8,13,3,0,0,12,2025-04-28 04:48:47
12723,2024,SCO.2,249,150623,19,2,10,2,0,0,0,1,0,4,10,2,0,0,14,2025-06-01 04:51:58
12723,2024,SCO.2,249,150839,7,0,5,3,1,0,0,0,0,1,2,0,0,0,10,2025-01-25 05:27:23
12723,2024,SCO.2,2500,152197,9,0,6,8,0,0,0,1,0,2,7,0,0,0,9,2025-06-01 04:51:54
12723,2024,SCO.2,252,153020,33,10,24,24,2,0,0,0,11,19,35,5,0,0,57,2024-07-13 02:58:30
