seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12656,2024,SUI.1,20032,75844,4,0,2,0,0,0,0,0,0,0,2,0,0,0,7,2025-06-20 04:51:07
12656,2024,SUI.1,3076,95525,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2025-06-20 04:51:05
12656,2024,SUI.1,3076,97680,4,0,8,4,1,0,0,0,0,1,1,0,0,0,4,2025-06-20 04:51:05
12656,2024,SUI.1,3076,100518,4,0,3,1,0,0,0,0,0,1,1,1,0,0,3,2025-06-20 04:51:05
12656,2024,SUI.1,20996,105140,4,4,0,0,0,0,0,0,0,1,2,1,0,0,0,2025-06-20 04:51:08
12656,2024,SUI.1,20996,113442,5,5,3,1,0,0,0,1,0,2,2,0,0,0,2,2025-06-20 04:51:08
12656,2024,SUI.1,3019,121505,5,1,5,8,0,0,0,2,0,6,22,1,0,0,8,2025-06-20 04:51:06
12656,2024,SUI.1,20032,121738,4,0,1,1,1,0,0,0,0,0,0,0,0,15,9,2025-06-20 04:51:07
12656,2024,SUI.1,989,125465,4,0,0,1,1,0,0,0,0,0,0,0,0,11,9,2025-06-20 04:51:03
12656,2024,SUI.1,492,126518,4,2,0,5,0,0,0,0,0,1,3,0,0,0,4,2025-06-20 04:51:06
12656,2024,SUI.1,989,136597,3,1,0,2,0,0,0,1,0,0,1,0,0,0,3,2025-06-20 04:51:03
12656,2024,SUI.1,2722,136746,4,0,5,1,0,0,0,0,0,0,1,0,0,0,4,2025-06-20 04:51:09
12656,2024,SUI.1,989,136775,5,1,3,8,0,0,0,4,0,5,15,4,0,0,10,2025-06-20 04:51:03
12656,2024,SUI.1,3076,137018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-20 04:51:05
12656,2024,SUI.1,3076,146384,3,3,1,1,1,0,0,0,0,0,2,0,0,0,1,2025-06-20 04:51:05
12656,2024,SUI.1,492,149565,3,1,1,2,0,0,0,0,0,2,2,2,0,0,2,2025-06-20 04:51:06
12656,2024,SUI.1,492,149845,5,0,1,4,0,0,0,2,0,0,1,0,0,0,7,2025-06-20 04:51:06
12656,2024,SUI.1,989,151553,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2025-06-20 04:51:03
12656,2024,SUI.1,20996,152190,5,0,0,1,0,0,0,0,0,0,0,0,0,13,7,2025-06-20 04:51:08
12656,2024,SUI.1,21538,154456,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-06-20 04:51:09
12656,2024,SUI.1,20032,158368,28,0,20,22,5,1,0,0,0,10,27,5,0,0,27,2025-06-20 04:51:07
12656,2024,SUI.1,3019,159318,7,4,4,0,1,0,0,1,0,1,7,0,0,0,4,2025-06-20 04:51:06
12656,2024,SUI.1,7672,162156,2,0,2,0,3,0,0,0,0,1,3,1,0,0,4,2025-06-20 04:51:04
12656,2024,SUI.1,7640,166255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-20 04:51:05
12656,2024,SUI.1,7672,167387,21,9,9,10,2,0,0,1,0,11,23,4,0,0,23,2025-06-20 04:51:04
12656,2024,SUI.1,20032,167728,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2025-06-20 04:51:07
12656,2024,SUI.1,557,173182,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-20 04:51:08
12656,2024,SUI.1,20032,173665,5,0,3,1,0,0,0,1,0,10,15,4,0,0,11,2025-06-20 04:51:07
12656,2024,SUI.1,557,174928,2,2,1,0,0,0,0,0,0,1,1,0,0,0,2,2025-06-20 04:51:08
12656,2024,SUI.1,20996,175739,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-06-20 04:51:08
12656,2024,SUI.1,3076,176495,5,0,1,4,0,0,0,1,0,0,2,0,0,0,6,2025-06-20 04:51:05
12656,2024,SUI.1,20996,176914,13,8,7,7,1,0,0,0,0,7,16,0,0,0,10,2025-06-20 04:51:08
12656,2024,SUI.1,3076,177870,5,1,6,5,1,0,0,0,0,0,0,0,0,0,5,2025-06-20 04:51:05
12656,2024,SUI.1,21538,179389,4,0,7,2,1,0,0,0,0,2,6,0,0,0,6,2025-06-20 04:51:09
12656,2024,SUI.1,20996,179390,2,0,3,0,0,0,0,0,0,1,2,0,0,0,1,2025-06-20 04:51:08
12656,2024,SUI.1,492,179391,4,0,4,3,0,0,0,0,0,1,2,0,0,0,7,2025-06-20 04:51:06
12656,2024,SUI.1,20032,181789,4,0,8,6,0,0,0,1,0,0,4,0,0,0,9,2025-06-20 04:51:07
12656,2024,SUI.1,3019,183118,5,0,0,1,0,0,0,0,0,0,0,0,0,11,9,2025-06-20 04:51:06
12656,2024,SUI.1,989,183265,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2025-06-20 04:51:03
12656,2024,SUI.1,3019,186151,5,1,2,1,0,0,0,0,0,0,0,0,0,0,8,2025-06-20 04:51:06
12656,2024,SUI.1,492,190599,3,0,3,0,2,0,0,0,0,1,2,0,0,0,4,2025-06-20 04:51:06
12656,2024,SUI.1,492,191017,5,0,7,4,0,0,0,1,0,2,7,0,0,0,7,2025-06-20 04:51:06
12656,2024,SUI.1,7672,193462,3,1,2,3,2,0,0,1,0,0,2,0,0,0,5,2025-06-20 04:51:04
12656,2024,SUI.1,11551,194352,1,0,0,1,0,0,0,0,0,1,1,1,0,0,2,2025-06-20 04:51:07
12656,2024,SUI.1,7640,195072,5,2,5,1,0,0,0,0,0,5,6,3,0,0,8,2025-06-20 04:51:05
12656,2024,SUI.1,2722,195221,5,2,6,2,1,0,0,0,0,4,10,1,0,0,5,2025-06-20 04:51:09
12656,2024,SUI.1,2722,199378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-20 04:51:09
12656,2024,SUI.1,21538,199388,5,0,7,4,2,0,0,0,0,0,3,0,0,0,11,2025-06-20 04:51:09
12656,2024,SUI.1,20032,199645,4,0,8,3,0,0,0,1,0,3,4,0,0,0,6,2025-06-20 04:51:07
12656,2024,SUI.1,21538,200334,1,0,0,2,0,0,0,0,0,0,0,0,0,0,5,2025-06-20 04:51:09
12656,2024,SUI.1,492,201375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-20 04:51:06
12656,2024,SUI.1,989,202100,4,0,5,5,0,1,0,1,0,8,17,5,0,0,8,2025-06-20 04:51:03
12656,2024,SUI.1,3076,202179,3,1,0,4,1,0,0,0,0,5,11,3,0,0,2,2025-06-20 04:51:05
12656,2024,SUI.1,3076,202673,4,0,2,5,0,0,0,1,0,0,3,0,0,0,4,2025-06-20 04:51:05
12656,2024,SUI.1,2722,205137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-20 04:51:09
12656,2024,SUI.1,492,207544,4,1,2,2,0,0,0,0,0,1,2,1,0,0,3,2025-06-20 04:51:06
12656,2024,SUI.1,20032,212534,2,0,0,2,0,0,0,0,0,1,2,1,0,0,5,2025-06-20 04:51:07
12656,2024,SUI.1,2722,213101,5,0,4,6,1,0,0,0,0,0,8,0,0,0,7,2025-06-20 04:51:09
12656,2024,SUI.1,21538,214201,5,0,1,2,1,0,0,0,0,0,0,0,0,14,11,2025-06-20 04:51:09
12656,2024,SUI.1,20996,214561,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-20 04:51:08
12656,2024,SUI.1,557,217526,5,3,2,1,1,0,0,0,0,3,5,0,0,0,4,2025-06-20 04:51:08
12656,2024,SUI.1,557,218836,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-20 04:51:08
12656,2024,SUI.1,11551,219463,5,0,1,2,0,0,0,0,0,1,5,1,0,0,8,2025-06-20 04:51:07
12656,2024,SUI.1,3019,219503,21,9,12,12,0,0,0,0,0,4,18,0,0,0,16,2025-06-20 04:51:06
12656,2024,SUI.1,557,219562,5,0,0,2,1,0,0,0,0,0,0,0,0,13,10,2025-06-20 04:51:08
12656,2024,SUI.1,492,222445,25,4,25,28,4,0,0,1,0,9,22,3,0,0,25,2025-06-20 04:51:06
12656,2024,SUI.1,2722,222715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-20 04:51:09
12656,2024,SUI.1,7672,223222,4,3,2,3,0,0,0,0,0,0,1,0,0,0,5,2025-06-20 04:51:04
12656,2024,SUI.1,7672,223234,5,0,7,2,0,0,0,0,0,2,4,2,0,0,9,2025-06-20 04:51:04
12656,2024,SUI.1,2722,223256,4,0,6,3,2,0,0,0,0,0,0,0,0,0,5,2025-06-20 04:51:09
12656,2024,SUI.1,3076,223496,11,5,11,15,2,0,0,1,0,4,10,1,0,0,13,2025-06-20 04:51:05
12656,2024,SUI.1,7640,223993,5,0,8,8,2,0,0,1,0,1,5,0,0,0,13,2025-06-20 04:51:05
