seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12885,2024,UEFA.CHAMPIONS,11420,3368,4,3,1,1,0,0,0,0,0,0,1,0,0,0,1,2025-01-30 14:47:52
12885,2024,UEFA.CHAMPIONS,6997,10767,6,1,3,5,0,0,0,0,0,0,0,0,0,2,5,2025-01-30 14:47:48
12885,2024,UEFA.CHAMPIONS,111,24412,2,0,3,2,1,0,0,0,1,0,0,0,0,0,2,2025-01-30 14:47:51
12885,2024,UEFA.CHAMPIONS,382,37557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-30 14:47:52
12885,2024,UEFA.CHAMPIONS,174,38721,8,0,10,19,2,0,0,0,2,0,5,0,0,0,9,2025-01-30 14:47:45
12885,2024,UEFA.CHAMPIONS,256,40200,8,0,1,0,1,0,0,0,1,0,0,0,91,28,13,2025-01-30 14:47:49
12885,2024,UEFA.CHAMPIONS,1068,70224,5,4,2,0,0,0,0,0,0,1,3,0,0,0,2,2025-01-30 14:47:46
12885,2024,UEFA.CHAMPIONS,111,76017,4,1,0,3,0,0,0,1,2,1,3,1,0,0,1,2025-01-30 14:47:51
12885,2024,UEFA.CHAMPIONS,86,76762,8,3,6,1,2,0,0,3,1,0,2,0,0,0,7,2025-01-30 14:47:53
12885,2024,UEFA.CHAMPIONS,521,81706,3,1,2,4,1,0,0,0,1,0,1,0,0,0,7,2025-01-30 14:47:54
12885,2024,UEFA.CHAMPIONS,256,84049,8,0,7,4,0,0,0,1,1,2,3,0,0,2,13,2025-01-30 14:47:49
12885,2024,UEFA.CHAMPIONS,132,84774,7,0,0,1,0,0,0,0,0,0,0,0,35,7,9,2025-01-30 14:47:47
12885,2024,UEFA.CHAMPIONS,166,85400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-30 14:47:51
12885,2024,UEFA.CHAMPIONS,105,86758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-30 14:47:46
12885,2024,UEFA.CHAMPIONS,86,87297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-30 14:47:53
12885,2024,UEFA.CHAMPIONS,105,89216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-30 14:47:46
12885,2024,UEFA.CHAMPIONS,110,91873,5,2,1,2,0,0,0,0,0,0,2,0,0,2,1,2025-01-30 14:47:50
12885,2024,UEFA.CHAMPIONS,110,93197,8,0,0,1,0,0,0,0,1,0,0,0,99,25,1,2025-01-30 14:47:50
