seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12892,2024,UEFA.EUROPA,367,6327,7,0,3,2,0,0,0,0,2,1,5,0,0,5,8,2025-01-31 14:47:50
12892,2024,UEFA.EUROPA,257,16264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-31 14:47:48
12892,2024,UEFA.EUROPA,2720,22706,1,0,0,0,0,0,0,0,0,0,0,0,7,3,2,2025-01-31 14:47:47
12892,2024,UEFA.EUROPA,360,42250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-31 14:47:47
12892,2024,UEFA.EUROPA,89,43815,5,0,7,5,1,0,0,1,1,1,3,1,0,0,1,2024-09-01 05:08:00
12892,2024,UEFA.EUROPA,2994,50959,6,0,9,8,1,0,0,0,0,0,1,0,0,0,5,2025-01-31 14:47:42
12892,2024,UEFA.EUROPA,605,73207,5,0,9,3,2,0,0,0,0,0,2,0,0,0,6,2024-09-01 05:08:08
12892,2024,UEFA.EUROPA,2720,75987,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-31 14:47:47
12892,2024,UEFA.EUROPA,139,78836,6,1,2,4,0,0,0,1,1,2,3,1,0,0,8,2024-09-01 05:08:02
12892,2024,UEFA.EUROPA,360,83176,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2025-01-31 14:47:47
12892,2024,UEFA.EUROPA,139,83802,8,0,0,1,0,0,0,0,1,0,0,0,83,24,8,2025-01-31 14:47:41
12892,2024,UEFA.EUROPA,104,84627,4,0,6,4,2,0,0,0,1,3,6,1,0,1,3,2025-01-31 14:47:40
12892,2024,UEFA.EUROPA,437,88865,7,4,3,1,0,0,0,0,3,2,10,1,0,0,4,2025-01-31 14:47:43
12892,2024,UEFA.EUROPA,432,89687,8,0,5,8,2,0,0,5,2,1,13,1,0,0,14,2025-01-31 14:47:45
12892,2024,UEFA.EUROPA,2994,92335,5,1,4,1,2,0,0,0,0,0,0,0,0,2,7,2025-01-31 14:47:42
12892,2024,UEFA.EUROPA,367,93193,4,0,0,0,0,0,0,0,0,0,0,0,64,18,6,2025-01-31 14:47:50
12892,2024,UEFA.EUROPA,367,96970,1,0,2,0,0,0,0,0,0,1,1,0,0,1,1,2025-01-31 14:47:50
12892,2024,UEFA.EUROPA,2994,98573,6,1,6,6,0,0,0,0,3,2,7,0,0,1,7,2025-01-31 14:47:42
12892,2024,UEFA.EUROPA,2720,99923,5,4,4,1,1,0,0,0,0,1,3,1,0,0,2,2025-01-31 14:47:47
12892,2024,UEFA.EUROPA,436,102337,8,5,3,10,2,0,0,2,1,7,9,2,0,1,7,2025-01-31 14:47:44
12892,2024,UEFA.EUROPA,605,107000,7,0,5,8,3,0,0,1,1,3,14,0,0,3,7,2025-01-31 14:47:48
12892,2024,UEFA.EUROPA,432,108622,5,0,0,1,0,0,0,0,1,0,0,0,46,14,10,2025-01-31 14:47:45
12892,2024,UEFA.EUROPA,572,109962,6,0,2,3,0,0,0,0,0,1,3,0,0,0,7,2025-01-28 15:06:39
12892,2024,UEFA.EUROPA,441,111177,5,0,2,3,0,0,0,0,2,0,1,0,0,5,5,2025-01-31 14:47:41
12892,2024,UEFA.EUROPA,112,114032,8,1,7,9,0,0,0,2,3,7,14,4,0,1,5,2025-01-31 14:47:45
12892,2024,UEFA.EUROPA,112,115103,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2024-09-01 05:07:57
12892,2024,UEFA.EUROPA,605,117239,7,0,8,6,2,0,0,0,0,1,4,0,0,2,6,2025-01-31 14:47:48
12892,2024,UEFA.EUROPA,257,121550,3,1,3,2,0,0,0,0,0,0,1,0,0,1,1,2025-01-31 14:47:48
12892,2024,UEFA.EUROPA,125,122280,6,0,0,0,1,0,0,0,0,0,0,0,60,12,5,2025-01-31 14:47:43
12892,2024,UEFA.EUROPA,125,122396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-31 14:47:43
12892,2024,UEFA.EUROPA,436,122575,8,1,4,5,1,0,0,1,1,2,4,1,0,1,11,2025-01-31 14:47:44
12892,2024,UEFA.EUROPA,360,124091,7,0,8,7,1,1,0,2,2,4,21,1,0,1,8,2025-01-31 14:47:47
12892,2024,UEFA.EUROPA,440,124878,3,1,2,6,0,0,0,0,1,4,5,2,0,0,4,2025-01-31 14:47:42
12892,2024,UEFA.EUROPA,1895,124880,5,0,0,0,0,0,0,0,0,0,0,0,72,23,10,2025-01-31 14:47:41
12892,2024,UEFA.EUROPA,152,124932,8,1,18,11,2,0,0,0,1,2,9,1,0,1,8,2025-01-31 14:47:43
12892,2024,UEFA.EUROPA,152,125136,2,1,0,0,1,0,0,0,0,0,0,0,11,5,4,2025-01-31 14:47:43
