seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12465,2024,UEFA.NATIONS,578,6327,6,0,6,7,0,0,0,0,1,1,2,0,0,7,3,2024-11-21 05:49:03
12465,2024,UEFA.NATIONS,476,7441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-11-21 05:48:58
12465,2024,UEFA.NATIONS,580,17617,4,0,0,0,0,0,0,0,1,0,0,0,56,16,3,2024-11-21 05:48:59
12465,2024,UEFA.NATIONS,578,17861,3,0,0,0,1,0,1,0,0,1,1,0,34,6,2,2024-11-21 05:49:03
12465,2024,UEFA.NATIONS,587,22773,4,3,9,10,1,0,0,0,0,2,3,0,0,0,2,2024-11-21 05:48:47
12465,2024,UEFA.NATIONS,482,22774,5,1,3,9,1,0,0,1,0,7,22,5,0,0,1,2024-11-21 05:48:58
12465,2024,UEFA.NATIONS,587,24278,4,0,0,1,0,0,0,0,0,0,0,0,34,10,4,2024-11-21 05:48:47
12465,2024,UEFA.NATIONS,462,25891,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2024-11-21 05:48:49
12465,2024,UEFA.NATIONS,587,26150,2,2,1,2,2,0,0,0,0,0,0,0,0,0,2,2024-11-21 05:48:47
12465,2024,UEFA.NATIONS,462,30116,2,0,3,4,0,0,0,0,2,0,1,0,0,0,0,2024-10-10 05:06:20
12465,2024,UEFA.NATIONS,579,31974,2,1,1,2,0,0,0,0,0,1,1,0,0,0,2,2024-11-21 05:48:47
12465,2024,UEFA.NATIONS,445,33227,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2024-11-13 05:55:45
12465,2024,UEFA.NATIONS,587,35915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-11-21 05:48:47
12465,2024,UEFA.NATIONS,164,37449,2,0,1,2,0,0,0,0,0,0,1,0,0,0,1,2024-10-02 04:56:52
12465,2024,UEFA.NATIONS,479,40200,6,0,0,0,0,0,0,0,0,0,0,0,80,17,5,2024-11-21 05:48:50
12465,2024,UEFA.NATIONS,476,41011,5,1,6,12,2,0,0,0,0,1,4,0,0,0,3,2024-11-21 05:48:58
12465,2024,UEFA.NATIONS,476,43575,3,1,3,0,0,0,0,0,0,0,2,0,0,0,3,2024-11-21 05:48:58
12465,2024,UEFA.NATIONS,578,45548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-11-04 22:42:13
12465,2024,UEFA.NATIONS,578,68601,4,1,5,3,0,0,0,0,0,0,0,0,0,0,1,2024-11-21 05:49:03
