seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12410,2024,USA.NWSL.CUP,21423,158693,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:34
12410,2024,USA.NWSL.CUP,21423,158770,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:34
12410,2024,USA.NWSL.CUP,21423,158774,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,2024-07-13 03:15:34
12410,2024,USA.NWSL.CUP,15364,159061,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:33
12410,2024,USA.NWSL.CUP,21423,208915,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:34
12410,2024,USA.NWSL.CUP,21423,209278,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2024-07-13 03:15:34
12410,2024,USA.NWSL.CUP,21423,209383,1,0,2,3,0,0,0,1,1,0,1,0,0,0,0,2024-07-13 03:15:34
12410,2024,USA.NWSL.CUP,15364,211034,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2024-07-13 03:15:33
12410,2024,USA.NWSL.CUP,21423,211037,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:34
12410,2024,USA.NWSL.CUP,21423,211048,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:34
12410,2024,USA.NWSL.CUP,15364,211609,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2024-07-13 03:15:33
12410,2024,USA.NWSL.CUP,15364,226566,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:33
12410,2024,USA.NWSL.CUP,15364,227388,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2024-07-13 03:15:33
12410,2024,USA.NWSL.CUP,21423,230968,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:34
12410,2024,USA.NWSL.CUP,15364,242159,1,0,2,2,1,0,0,0,0,0,0,0,0,0,1,2024-07-13 03:15:33
12410,2024,USA.NWSL.CUP,15364,242965,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2024-07-13 03:15:33
12410,2024,USA.NWSL.CUP,15364,243052,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2024-07-13 03:15:33
12410,2024,USA.NWSL.CUP,15364,245160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:33
12410,2024,USA.NWSL.CUP,21423,248779,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:34
12410,2024,USA.NWSL.CUP,15364,259791,1,0,2,1,1,0,0,0,1,0,2,0,0,0,1,2024-07-13 03:15:33
12410,2024,USA.NWSL.CUP,21423,261626,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:34
12410,2024,USA.NWSL.CUP,21423,261922,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2024-07-13 03:15:34
12410,2024,USA.NWSL.CUP,21423,262772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:34
12410,2024,USA.NWSL.CUP,15364,263902,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,2024-07-13 03:15:33
12410,2024,USA.NWSL.CUP,15364,279307,1,0,1,2,1,0,0,0,0,1,3,0,0,0,1,2024-07-13 03:15:33
12410,2024,USA.NWSL.CUP,15364,280976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:33
12410,2024,USA.NWSL.CUP,21423,283720,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:34
12410,2024,USA.NWSL.CUP,21423,283723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:15:34
