seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13166,2025,ARG.2,236,3038,19,11,0,0,4,0,0,0,0,0,0,0,0,0,9,2025-10-12 01:59:48
13166,2025,ARG.2,2,15039,31,0,0,0,3,1,0,0,0,0,0,0,0,0,25,2025-10-12 01:59:39
13166,2025,ARG.2,11978,16756,15,11,0,0,0,0,0,0,0,2,2,2,0,0,6,2025-10-12 01:59:44
13166,2025,ARG.2,17352,25591,18,1,0,0,3,0,0,0,0,0,0,0,0,0,13,2025-10-12 01:59:45
13166,2025,ARG.2,11990,34253,10,10,0,0,2,0,0,0,0,0,0,0,0,0,0,2025-10-12 01:59:47
13166,2025,ARG.2,13,35213,32,7,0,0,5,0,0,2,0,4,4,4,0,0,24,2025-10-12 01:59:47
13166,2025,ARG.2,10161,35262,16,2,0,0,4,0,0,0,0,0,0,0,0,0,13,2025-10-12 01:59:51
13166,2025,ARG.2,11978,47644,10,7,0,0,3,1,0,1,0,0,0,0,0,0,2,2025-10-12 01:59:44
13166,2025,ARG.2,13913,47784,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-12 01:59:38
13166,2025,ARG.2,17814,57149,12,2,0,0,3,0,0,1,0,1,1,1,0,0,12,2025-10-12 01:59:49
13166,2025,ARG.2,10743,66049,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-10-12 01:59:46
13166,2025,ARG.2,10149,66288,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-10-12 01:59:42
13166,2025,ARG.2,10162,66834,23,13,0,0,7,0,0,3,0,1,1,2,0,0,12,2025-10-12 01:59:51
13166,2025,ARG.2,10743,67312,21,16,0,0,1,0,0,2,0,2,2,2,0,0,5,2025-10-12 01:59:46
13166,2025,ARG.2,5263,68339,19,14,0,0,1,0,0,2,0,0,0,0,0,0,6,2025-10-12 01:59:46
13166,2025,ARG.2,17697,70303,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-10-12 01:59:43
13166,2025,ARG.2,13,71784,17,12,0,0,0,0,0,0,0,1,1,1,0,0,7,2025-10-12 01:59:47
13166,2025,ARG.2,10146,75513,21,7,0,0,3,0,1,0,0,0,0,0,0,0,19,2025-10-12 01:59:40
13166,2025,ARG.2,10743,75812,27,13,0,0,2,0,0,1,0,0,0,0,0,0,6,2025-10-12 01:59:46
13166,2025,ARG.2,2635,76137,24,8,0,0,4,0,0,3,0,2,2,3,0,0,20,2025-10-12 01:59:40
