seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13051,2025,BRA.CAMP.MINEIRO,17339,23783,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-02-14 05:48:56
13051,2025,BRA.CAMP.MINEIRO,2022,77577,5,0,1,0,2,0,0,0,0,0,1,0,0,0,5,2025-02-14 05:48:55
13051,2025,BRA.CAMP.MINEIRO,22142,86473,6,2,0,1,0,0,0,0,0,0,0,0,0,0,7,2025-02-14 05:48:55
13051,2025,BRA.CAMP.MINEIRO,18396,94635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-01 14:49:20
13051,2025,BRA.CAMP.MINEIRO,17339,95530,7,4,0,0,0,0,0,0,0,1,1,1,0,0,1,2025-02-14 05:48:56
13051,2025,BRA.CAMP.MINEIRO,22142,97233,8,0,0,0,0,0,0,0,0,0,0,0,0,3,11,2025-02-14 05:48:55
13051,2025,BRA.CAMP.MINEIRO,20851,97972,5,3,1,1,2,0,0,0,0,0,0,0,0,0,7,2025-02-14 05:48:54
13051,2025,BRA.CAMP.MINEIRO,22142,99143,6,0,0,0,2,1,0,1,0,0,0,0,0,0,6,2025-02-14 05:48:55
13051,2025,BRA.CAMP.MINEIRO,2022,108103,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-02-14 05:48:55
13051,2025,BRA.CAMP.MINEIRO,2022,108342,3,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2025-02-14 05:48:55
13051,2025,BRA.CAMP.MINEIRO,2022,108347,6,0,0,0,1,0,0,0,0,0,0,0,0,8,7,2025-02-14 05:48:55
13051,2025,BRA.CAMP.MINEIRO,2022,121921,8,4,1,0,0,0,0,1,0,3,3,3,0,0,5,2025-02-14 05:48:55
13051,2025,BRA.CAMP.MINEIRO,7632,124068,5,0,7,11,0,0,0,0,0,10,13,5,0,0,1,2025-02-14 05:48:54
13051,2025,BRA.CAMP.MINEIRO,22142,136692,6,1,1,1,1,0,0,0,0,1,1,1,0,0,2,2025-02-14 05:48:55
13051,2025,BRA.CAMP.MINEIRO,22142,138983,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-14 05:48:55
13051,2025,BRA.CAMP.MINEIRO,6154,142490,6,1,1,0,0,0,0,1,0,4,4,3,0,0,3,2025-02-14 05:48:53
13051,2025,BRA.CAMP.MINEIRO,9460,148403,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-14 05:48:57
13051,2025,BRA.CAMP.MINEIRO,20852,155481,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,2025-02-14 05:48:56
13051,2025,BRA.CAMP.MINEIRO,9460,157184,8,1,0,0,2,0,0,0,0,0,0,0,0,0,8,2025-02-14 05:48:57
13051,2025,BRA.CAMP.MINEIRO,7632,158272,5,5,2,1,0,0,0,0,0,1,2,1,0,0,0,2025-02-14 05:48:54
13051,2025,BRA.CAMP.MINEIRO,4910,168261,6,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2025-02-14 05:48:57
13051,2025,BRA.CAMP.MINEIRO,6154,172266,8,2,0,2,0,0,0,1,0,3,3,3,0,0,3,2025-02-14 05:48:53
13051,2025,BRA.CAMP.MINEIRO,22489,173495,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2025-02-14 05:48:54
13051,2025,BRA.CAMP.MINEIRO,2022,174782,7,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-02-14 05:48:55
13051,2025,BRA.CAMP.MINEIRO,2022,176810,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-02-14 05:48:55
13051,2025,BRA.CAMP.MINEIRO,2022,178349,6,1,0,2,0,0,0,0,0,2,2,1,0,0,4,2025-02-14 05:48:55
13051,2025,BRA.CAMP.MINEIRO,4910,178920,8,0,1,1,0,0,1,0,0,0,0,0,0,0,15,2025-02-14 05:48:57
13051,2025,BRA.CAMP.MINEIRO,9460,179139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-29 14:48:36
13051,2025,BRA.CAMP.MINEIRO,22142,179804,8,0,0,2,1,0,0,0,0,2,2,0,0,0,11,2025-02-14 05:48:55
13051,2025,BRA.CAMP.MINEIRO,7632,181657,5,0,3,2,1,0,0,0,0,1,2,0,0,0,1,2025-02-14 05:48:54
13051,2025,BRA.CAMP.MINEIRO,2022,182522,5,0,0,2,0,1,0,0,0,6,6,4,0,0,4,2025-02-14 05:48:55
13051,2025,BRA.CAMP.MINEIRO,20851,183619,5,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2025-02-14 05:48:54
13051,2025,BRA.CAMP.MINEIRO,7632,184717,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-02-14 05:48:54
13051,2025,BRA.CAMP.MINEIRO,17339,186635,8,3,0,0,0,0,0,0,0,1,1,1,0,0,5,2025-02-14 05:48:56
13051,2025,BRA.CAMP.MINEIRO,17339,186724,5,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2025-02-14 05:48:56
13051,2025,BRA.CAMP.MINEIRO,22489,186942,8,0,0,0,0,0,0,1,0,2,3,2,0,0,4,2025-02-14 05:48:54
13051,2025,BRA.CAMP.MINEIRO,6154,187381,7,0,0,2,1,0,0,0,0,0,0,0,0,0,5,2025-02-14 05:48:53
13051,2025,BRA.CAMP.MINEIRO,4910,189475,3,3,0,2,1,0,0,0,0,0,0,0,0,0,2,2025-02-14 05:48:57
13051,2025,BRA.CAMP.MINEIRO,20852,189482,3,3,1,1,0,0,0,0,0,0,0,0,0,0,2,2025-02-14 05:48:56
