seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13021,2025,BRA.CAMP.PAULISTA,2029,67518,10,2,5,26,0,0,0,0,2,7,15,2,0,0,7,2025-02-25 05:46:41
13021,2025,BRA.CAMP.PAULISTA,22486,74915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-25 05:46:40
13021,2025,BRA.CAMP.PAULISTA,3448,75881,8,3,5,16,0,0,0,0,1,2,6,1,0,0,5,2025-02-25 05:46:40
13021,2025,BRA.CAMP.PAULISTA,9169,77833,7,7,2,0,0,0,0,0,0,2,2,2,0,0,4,2025-02-25 05:46:41
13021,2025,BRA.CAMP.PAULISTA,9169,94120,6,0,2,2,2,0,0,0,1,0,1,0,0,4,7,2025-02-25 05:46:41
13021,2025,BRA.CAMP.PAULISTA,18127,94214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-24 05:39:31
13021,2025,BRA.CAMP.PAULISTA,11268,94304,11,0,1,0,2,0,0,0,0,0,0,0,153,35,13,2025-02-25 05:46:43
13021,2025,BRA.CAMP.PAULISTA,3459,94442,10,0,13,14,3,0,0,1,2,2,7,0,0,5,6,2025-02-25 05:46:42
13021,2025,BRA.CAMP.PAULISTA,4773,95317,4,3,1,0,0,0,0,0,0,0,1,0,0,3,2,2025-02-25 05:46:42
13021,2025,BRA.CAMP.PAULISTA,2029,95558,2,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2025-02-16 05:46:32
13021,2025,BRA.CAMP.PAULISTA,22486,101732,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-25 05:46:40
13021,2025,BRA.CAMP.PAULISTA,2029,109962,4,0,6,2,0,0,0,0,1,0,0,0,0,1,3,2025-02-25 05:46:41
13021,2025,BRA.CAMP.PAULISTA,9169,115379,10,1,4,5,2,0,0,2,2,4,12,1,0,0,17,2025-02-25 05:46:41
13021,2025,BRA.CAMP.PAULISTA,2029,118395,6,0,4,3,1,0,0,1,0,3,7,1,0,5,5,2025-02-25 05:46:41
13021,2025,BRA.CAMP.PAULISTA,10281,119069,12,1,0,0,1,0,0,0,0,0,0,0,147,30,12,2025-02-25 05:46:39
13021,2025,BRA.CAMP.PAULISTA,9169,119175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-16 05:46:32
13021,2025,BRA.CAMP.PAULISTA,11268,119175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-25 05:46:43
13021,2025,BRA.CAMP.PAULISTA,874,123865,6,4,5,1,0,0,0,0,1,2,2,0,0,0,4,2025-02-25 05:46:39
13021,2025,BRA.CAMP.PAULISTA,22486,125848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-25 05:46:40
13021,2025,BRA.CAMP.PAULISTA,2026,129722,5,3,2,2,1,0,0,0,0,0,1,0,0,0,3,2025-02-25 05:46:44
13021,2025,BRA.CAMP.PAULISTA,2026,130711,9,1,7,20,1,0,0,0,2,10,19,3,0,0,11,2025-02-25 05:46:44
13021,2025,BRA.CAMP.PAULISTA,2674,131245,12,4,24,7,2,0,0,0,4,1,4,0,0,0,12,2025-02-25 05:46:43
13021,2025,BRA.CAMP.PAULISTA,2674,132948,6,1,10,19,1,0,0,3,0,4,15,2,0,0,4,2025-02-25 05:46:43
13021,2025,BRA.CAMP.PAULISTA,22486,145107,12,0,12,24,0,0,0,0,1,12,25,5,0,2,19,2025-02-25 05:46:40
13021,2025,BRA.CAMP.PAULISTA,3459,145146,10,0,13,4,5,0,1,0,1,3,8,0,0,8,6,2025-02-25 05:46:42
13021,2025,BRA.CAMP.PAULISTA,18127,145369,8,2,15,11,2,0,0,0,2,7,17,2,0,0,4,2025-02-25 05:46:41
