seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13517,2025,CAN.W.NSL,131260,95125,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131261,158723,22,0,8,9,1,0,0,0,0,1,4,1,0,0,18,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131257,208900,13,2,17,15,3,0,0,2,0,8,20,2,0,0,22,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131257,208911,25,0,12,21,4,0,0,1,0,19,38,6,0,0,41,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131259,209207,22,2,5,9,1,0,0,2,0,5,14,1,0,0,14,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131261,209859,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131261,210367,24,5,19,14,3,0,0,1,0,5,13,0,0,0,19,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131256,211160,18,2,3,16,1,0,0,6,0,9,17,6,0,0,21,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131260,212043,22,6,8,6,1,0,0,1,0,0,2,0,0,0,29,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131256,212212,25,12,13,9,1,0,0,0,0,7,11,5,0,0,25,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131257,219965,22,2,2,15,5,0,2,0,0,5,7,3,0,0,24,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131261,219968,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131260,224567,15,10,9,11,1,0,0,0,0,3,6,0,0,0,14,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131258,227095,20,2,8,13,1,0,0,1,0,1,4,1,0,0,19,2025-10-20 05:13:02
13517,2025,CAN.W.NSL,131257,227151,23,0,0,2,1,0,0,0,0,0,0,0,0,52,37,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131261,230864,24,1,23,5,2,0,0,0,0,2,9,0,0,0,23,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131259,234762,22,2,15,19,3,0,0,0,0,5,14,2,0,0,18,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131256,243039,24,1,7,34,1,0,0,3,0,11,29,4,0,0,35,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131261,243127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131261,249625,23,1,7,12,4,0,0,0,0,8,16,3,0,0,16,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131258,255415,10,3,1,4,0,0,0,2,0,3,7,1,0,0,4,2025-10-20 05:13:02
13517,2025,CAN.W.NSL,131256,255523,14,0,1,2,1,0,0,0,0,0,0,0,0,0,20,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131260,255570,14,1,2,10,1,0,1,0,0,2,3,1,0,0,19,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131261,262235,23,10,11,4,1,0,0,0,0,7,13,2,0,0,17,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131257,262803,19,3,2,5,1,0,0,1,0,0,2,0,0,0,27,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131256,263670,19,4,4,2,2,0,0,0,0,1,4,0,0,0,24,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131256,267766,9,4,1,1,0,0,0,0,0,0,1,0,0,0,6,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131258,274482,24,0,9,13,5,0,0,0,0,7,15,3,0,0,22,2025-10-20 05:13:02
13517,2025,CAN.W.NSL,131256,277886,24,0,0,1,1,0,0,0,0,0,0,0,0,47,33,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131256,277975,23,1,8,3,2,0,0,2,0,9,18,4,0,0,30,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131261,277982,25,0,8,6,1,0,0,0,0,1,6,0,0,0,26,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131259,278234,24,1,16,15,3,0,0,0,0,3,5,1,0,0,16,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131259,278632,21,0,27,18,2,0,0,3,0,16,39,6,0,0,16,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131260,279427,16,6,9,9,3,0,0,1,0,2,4,1,0,0,14,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131257,279468,13,8,7,6,0,0,0,0,0,0,1,0,0,0,7,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131258,279837,19,2,7,9,2,0,0,3,0,17,27,8,0,0,13,2025-10-20 05:13:02
13517,2025,CAN.W.NSL,131258,280714,18,2,6,3,0,0,0,0,0,1,7,1,0,0,16,2025-10-20 05:13:02
13517,2025,CAN.W.NSL,131261,280797,8,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131258,282706,14,1,6,9,1,0,0,1,0,0,1,0,0,0,15,2025-10-20 05:13:02
13517,2025,CAN.W.NSL,131258,284180,6,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2025-10-20 05:13:02
13517,2025,CAN.W.NSL,131260,286466,12,3,6,6,0,0,0,0,0,6,11,1,0,0,12,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131259,287532,9,1,10,9,1,0,0,0,0,8,18,3,0,0,7,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131256,290265,19,7,11,7,3,0,0,1,0,3,7,0,0,0,15,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131256,290454,24,2,4,20,2,1,0,0,0,4,14,2,0,0,29,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131256,292809,7,7,0,2,0,0,0,0,0,2,4,0,0,0,4,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131260,292846,8,2,0,0,0,0,0,0,0,0,0,0,0,0,11,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131259,293130,23,15,10,4,4,0,0,1,0,4,16,1,0,0,6,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131258,293251,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-10-20 05:13:02
13517,2025,CAN.W.NSL,131260,293291,25,6,9,18,0,0,0,0,0,14,28,4,0,0,39,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131260,293933,12,1,10,20,3,0,0,2,0,2,14,0,0,0,17,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131258,294740,18,0,6,8,1,0,0,0,0,0,0,0,0,0,12,2025-10-20 05:13:02
13517,2025,CAN.W.NSL,131261,295060,6,6,3,2,1,0,0,0,0,0,1,0,0,0,4,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131261,295944,17,0,0,3,0,0,0,0,0,0,0,0,0,53,16,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131256,296042,22,10,12,12,3,1,0,2,0,17,32,7,0,0,10,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131259,298035,11,2,4,0,3,0,0,0,0,0,1,0,0,0,8,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131261,300131,23,1,12,13,4,0,0,0,0,2,9,1,0,0,23,2025-10-20 05:13:04
13517,2025,CAN.W.NSL,131257,300576,22,1,9,6,1,0,0,0,0,3,7,1,0,0,26,2025-10-20 05:13:03
13517,2025,CAN.W.NSL,131258,302455,13,9,8,1,0,0,0,0,0,3,7,2,0,0,4,2025-10-20 05:13:02
13517,2025,CAN.W.NSL,131258,307785,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2025-08-05 04:42:50
13517,2025,CAN.W.NSL,131259,308308,6,3,4,11,0,0,0,0,0,0,2,0,0,0,3,2025-10-20 05:13:03
