seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13231,2025,CHI.1,4139,3276,21,4,14,5,3,0,0,0,0,2,5,0,0,0,12,2025-12-10 05:58:00
13231,2025,CHI.1,7427,34237,19,8,1,3,0,0,0,1,0,3,11,1,0,0,9,2025-12-10 05:58:01
13231,2025,CHI.1,4139,40376,23,10,13,8,3,0,0,4,0,23,75,7,0,0,21,2025-12-10 05:58:00
13231,2025,CHI.1,19195,47057,22,5,12,6,3,1,0,3,0,1,11,1,0,0,24,2025-12-10 05:57:57
13231,2025,CHI.1,4134,48664,15,11,4,9,1,0,0,0,0,6,9,2,0,0,2,2025-12-10 05:57:58
13231,2025,CHI.1,4129,50905,2,0,0,1,0,0,0,0,0,0,0,0,0,3,2,2025-12-10 05:57:58
13231,2025,CHI.1,885,70275,2,1,0,3,0,0,0,0,0,0,0,0,0,0,1,2025-12-10 05:58:00
13231,2025,CHI.1,10142,70398,23,2,30,30,8,0,0,3,0,16,36,3,0,0,36,2025-12-10 05:57:57
13231,2025,CHI.1,4138,72377,28,0,24,27,6,1,0,1,0,9,25,1,0,0,36,2025-12-10 05:57:56
13231,2025,CHI.1,10142,73162,9,6,4,3,1,0,0,1,0,2,8,1,0,0,9,2025-12-10 05:57:57
13231,2025,CHI.1,10144,74864,29,2,17,5,5,0,1,1,0,0,4,0,0,0,35,2025-12-10 05:58:01
13231,2025,CHI.1,19195,75889,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:57:57
13231,2025,CHI.1,4139,76778,25,1,26,32,5,1,0,4,0,10,22,6,0,0,26,2025-12-10 05:58:00
13231,2025,CHI.1,4133,77751,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-21 02:16:52
