seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13230,2025,CHI.COPA_CHI,4139,3276,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-14 04:51:06
13230,2025,CHI.COPA_CHI,10143,3471,4,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2025-05-14 04:51:05
13230,2025,CHI.COPA_CHI,6071,24280,5,0,0,0,1,0,0,1,0,1,1,1,0,0,7,2025-05-14 04:50:56
13230,2025,CHI.COPA_CHI,10139,26508,4,1,0,0,0,0,0,0,0,1,1,1,0,0,2,2025-05-14 04:50:58
13230,2025,CHI.COPA_CHI,4135,29234,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2025-05-14 04:51:04
13230,2025,CHI.COPA_CHI,5362,34237,6,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2025-05-14 04:51:07
13230,2025,CHI.COPA_CHI,7427,34237,6,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2025-05-14 04:51:08
13230,2025,CHI.COPA_CHI,4139,40376,4,0,0,0,0,0,0,3,0,2,2,2,0,0,2,2025-05-14 04:51:06
13230,2025,CHI.COPA_CHI,19195,47057,3,3,0,0,1,0,0,0,0,2,2,2,0,0,2,2025-05-14 04:51:00
13230,2025,CHI.COPA_CHI,6073,47934,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-14 04:51:05
13230,2025,CHI.COPA_CHI,4134,48664,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2025-05-14 04:51:02
13230,2025,CHI.COPA_CHI,4129,50905,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2025-05-14 04:51:02
13230,2025,CHI.COPA_CHI,6071,70061,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025-05-14 04:50:56
13230,2025,CHI.COPA_CHI,10142,70398,3,0,0,0,0,0,0,0,0,2,2,2,0,0,6,2025-05-14 04:51:00
13230,2025,CHI.COPA_CHI,4138,72377,6,1,0,0,2,0,0,0,0,0,0,0,0,0,3,2025-05-14 04:50:57
13230,2025,CHI.COPA_CHI,10142,73162,5,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-05-14 04:51:00
13230,2025,CHI.COPA_CHI,3552,73947,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-14 04:51:06
13230,2025,CHI.COPA_CHI,10144,74864,5,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-05-14 04:51:08
13230,2025,CHI.COPA_CHI,17365,76471,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2025-05-14 04:50:59
13230,2025,CHI.COPA_CHI,8110,76691,3,0,0,0,0,0,0,0,0,1,1,1,0,0,7,2025-05-14 04:51:00
13230,2025,CHI.COPA_CHI,4139,76778,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-14 04:51:06
13230,2025,CHI.COPA_CHI,17365,77002,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2025-05-14 04:50:59
13230,2025,CHI.COPA_CHI,4133,77751,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-04-21 04:45:41
13230,2025,CHI.COPA_CHI,4129,82010,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-14 04:51:02
13230,2025,CHI.COPA_CHI,19195,82185,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-14 04:51:00
13230,2025,CHI.COPA_CHI,8110,82355,5,0,0,0,2,0,0,1,0,0,0,0,0,0,13,2025-05-14 04:51:00
13230,2025,CHI.COPA_CHI,4138,87673,4,2,0,0,1,0,0,1,0,1,1,1,0,0,0,2025-05-14 04:50:57
13230,2025,CHI.COPA_CHI,17365,89157,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-14 04:50:59
13230,2025,CHI.COPA_CHI,17365,94942,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-14 04:50:59
13230,2025,CHI.COPA_CHI,6072,95242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-14 04:51:04
13230,2025,CHI.COPA_CHI,19197,95931,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2025-05-14 04:51:01
13230,2025,CHI.COPA_CHI,4134,96287,5,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-05-14 04:51:02
13230,2025,CHI.COPA_CHI,4422,99271,5,0,0,0,0,0,1,0,0,0,0,0,0,0,13,2025-05-14 04:51:04
13230,2025,CHI.COPA_CHI,885,101277,6,2,0,0,1,0,0,0,0,0,0,0,0,0,4,2025-05-14 04:51:06
13230,2025,CHI.COPA_CHI,4139,101760,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-05-14 04:51:06
13230,2025,CHI.COPA_CHI,4422,101764,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2025-05-14 04:51:04
13230,2025,CHI.COPA_CHI,2688,102198,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2025-05-14 04:50:58
13230,2025,CHI.COPA_CHI,8186,102983,6,1,0,0,3,0,0,0,0,0,0,0,0,0,5,2025-05-14 04:50:59
13230,2025,CHI.COPA_CHI,19197,103159,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-05-14 04:51:01
13230,2025,CHI.COPA_CHI,19195,103425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-14 04:51:00
13230,2025,CHI.COPA_CHI,17363,103839,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-14 04:51:03
13230,2025,CHI.COPA_CHI,6071,104069,6,4,0,0,1,0,0,0,0,1,1,1,0,0,6,2025-05-14 04:50:56
13230,2025,CHI.COPA_CHI,8110,104321,4,0,0,0,0,0,0,0,0,2,2,2,0,0,7,2025-05-14 04:51:00
13230,2025,CHI.COPA_CHI,17365,104544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-14 04:50:59
13230,2025,CHI.COPA_CHI,10139,104553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-14 04:50:58
13230,2025,CHI.COPA_CHI,4422,106148,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-05-14 04:51:04
13230,2025,CHI.COPA_CHI,4130,111359,5,2,0,0,2,0,0,0,0,0,0,0,0,0,6,2025-05-14 04:51:08
13230,2025,CHI.COPA_CHI,6072,113155,6,3,0,0,0,0,0,2,0,0,0,0,0,0,1,2025-05-14 04:51:04
13230,2025,CHI.COPA_CHI,3552,113308,5,0,0,0,2,0,0,3,0,0,0,0,0,0,2,2025-05-14 04:51:06
13230,2025,CHI.COPA_CHI,2688,113574,4,1,0,0,1,0,0,0,0,0,0,0,0,0,5,2025-05-14 04:50:58
13230,2025,CHI.COPA_CHI,17365,114868,4,0,0,0,0,2,0,1,0,0,0,0,0,0,3,2025-05-14 04:50:59
13230,2025,CHI.COPA_CHI,2678,115037,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-05-14 04:50:57
13230,2025,CHI.COPA_CHI,6072,116702,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-05-14 04:51:04
13230,2025,CHI.COPA_CHI,5362,116781,6,3,0,0,0,0,0,0,0,2,2,2,0,0,4,2025-05-14 04:51:07
13230,2025,CHI.COPA_CHI,19198,118067,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-05-14 04:51:01
13230,2025,CHI.COPA_CHI,5362,118703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-14 04:51:07
13230,2025,CHI.COPA_CHI,10142,118846,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2025-05-14 04:51:00
13230,2025,CHI.COPA_CHI,4128,118892,6,1,0,0,4,0,0,0,0,0,0,0,0,0,10,2025-05-14 04:51:02
13230,2025,CHI.COPA_CHI,4422,120602,5,1,0,0,2,0,0,0,0,1,1,1,0,0,7,2025-05-14 04:51:04
13230,2025,CHI.COPA_CHI,10142,120710,3,0,0,0,1,0,0,1,0,0,0,0,0,0,5,2025-05-14 04:51:00
13230,2025,CHI.COPA_CHI,885,120914,3,1,0,0,1,1,0,0,0,0,0,0,0,0,4,2025-05-14 04:51:06
13230,2025,CHI.COPA_CHI,4133,121092,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-05-14 04:50:58
13230,2025,CHI.COPA_CHI,4137,121495,4,3,0,0,1,0,0,0,0,0,0,0,0,0,2,2025-05-14 04:51:03
13230,2025,CHI.COPA_CHI,10139,123340,4,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2025-05-14 04:50:58
13230,2025,CHI.COPA_CHI,17363,126102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-14 04:51:03
13230,2025,CHI.COPA_CHI,885,127264,5,0,0,0,2,0,0,0,0,1,1,1,0,0,9,2025-05-14 04:51:06
13230,2025,CHI.COPA_CHI,4422,128193,6,2,0,0,0,0,0,0,0,2,2,2,0,0,11,2025-05-14 04:51:04
13230,2025,CHI.COPA_CHI,10139,128312,2,1,0,0,1,0,0,0,0,1,1,1,0,0,4,2025-05-14 04:50:58
13230,2025,CHI.COPA_CHI,885,128321,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2025-05-14 04:51:06
13230,2025,CHI.COPA_CHI,4137,129509,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-05-14 04:51:03
13230,2025,CHI.COPA_CHI,10143,129514,4,2,0,0,0,0,0,0,0,1,1,1,0,0,2,2025-05-14 04:51:05
13230,2025,CHI.COPA_CHI,10142,131385,4,0,0,0,0,1,0,0,0,1,1,1,0,0,8,2025-05-14 04:51:00
13230,2025,CHI.COPA_CHI,19198,131517,4,1,0,0,0,0,0,0,0,1,1,1,0,0,6,2025-05-14 04:51:01
13230,2025,CHI.COPA_CHI,4134,131605,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-14 04:51:02
13230,2025,CHI.COPA_CHI,10139,132048,6,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2025-05-14 04:50:58
13230,2025,CHI.COPA_CHI,19197,132524,3,0,0,0,1,0,0,0,0,2,2,2,0,0,5,2025-05-14 04:51:01
13230,2025,CHI.COPA_CHI,6071,132587,6,2,0,0,1,0,0,0,0,1,1,1,0,0,9,2025-05-14 04:50:56
13230,2025,CHI.COPA_CHI,2688,133326,5,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2025-05-14 04:50:58
13230,2025,CHI.COPA_CHI,7427,134171,4,0,0,0,2,0,0,1,0,0,0,0,0,0,6,2025-05-14 04:51:08
13230,2025,CHI.COPA_CHI,4422,134247,5,3,0,0,2,0,0,0,0,1,1,1,0,0,8,2025-05-14 04:51:04
13230,2025,CHI.COPA_CHI,10142,135162,6,1,0,0,1,0,0,0,0,3,3,3,0,0,8,2025-05-14 04:51:00
13230,2025,CHI.COPA_CHI,6071,135394,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-05-14 04:50:56
13230,2025,CHI.COPA_CHI,8110,135601,2,1,0,0,0,0,0,0,0,1,1,1,0,0,2,2025-05-14 04:51:00
13230,2025,CHI.COPA_CHI,10138,136138,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-05-14 04:51:05
13230,2025,CHI.COPA_CHI,19198,136941,3,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2025-05-14 04:51:01
13230,2025,CHI.COPA_CHI,19195,136984,3,0,0,0,0,0,0,0,0,1,1,1,0,0,2,2025-05-14 04:51:00
13230,2025,CHI.COPA_CHI,4135,140384,5,1,0,0,2,0,0,0,0,0,0,0,0,0,5,2025-05-14 04:51:04
13230,2025,CHI.COPA_CHI,4129,140797,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-14 04:51:02
13230,2025,CHI.COPA_CHI,4134,141081,3,1,0,0,0,0,0,0,0,3,3,3,0,0,1,2025-05-14 04:51:02
13230,2025,CHI.COPA_CHI,2688,141825,3,0,0,0,0,0,0,0,0,3,3,3,0,0,2,2025-05-14 04:50:58
13230,2025,CHI.COPA_CHI,19195,142335,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2025-05-14 04:51:00
13230,2025,CHI.COPA_CHI,17365,142502,5,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2025-05-14 04:50:59
13230,2025,CHI.COPA_CHI,2678,143057,4,2,0,0,1,0,0,0,0,0,0,0,0,0,2,2025-05-14 04:50:57
13230,2025,CHI.COPA_CHI,4134,143410,4,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2025-05-14 04:51:02
13230,2025,CHI.COPA_CHI,885,144157,4,1,0,0,0,0,0,1,0,1,1,1,0,0,6,2025-05-14 04:51:06
13230,2025,CHI.COPA_CHI,10142,144378,3,1,0,0,1,0,0,0,0,0,0,0,0,0,5,2025-05-14 04:51:00
13230,2025,CHI.COPA_CHI,2688,144467,4,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2025-05-14 04:50:58
13230,2025,CHI.COPA_CHI,10138,144485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-14 04:51:05
13230,2025,CHI.COPA_CHI,4422,144532,5,2,0,0,2,0,0,1,0,1,1,1,0,0,6,2025-05-14 04:51:04
13230,2025,CHI.COPA_CHI,2688,145020,6,1,0,0,0,1,0,2,0,0,0,0,0,0,4,2025-05-14 04:50:58
13230,2025,CHI.COPA_CHI,19197,145226,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2025-05-14 04:51:01
13230,2025,CHI.COPA_CHI,10138,146137,5,3,0,0,1,0,0,0,0,0,0,0,0,0,9,2025-05-14 04:51:05
