seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13203,2025,COL.1,5485,24324,17,7,19,14,3,0,0,1,2,2,9,1,0,1,8,2025-05-27 04:49:00
13203,2025,COL.1,5489,28611,15,5,13,13,3,0,0,2,4,2,7,1,0,0,10,2025-05-27 04:48:59
13203,2025,COL.1,7915,31512,18,1,16,11,3,0,0,0,1,7,39,2,0,6,24,2025-05-27 04:49:03
13203,2025,COL.1,5489,41652,17,1,3,21,0,0,0,4,2,9,17,2,0,6,14,2025-05-27 04:48:59
13203,2025,COL.1,2672,48106,9,6,3,3,2,0,0,0,0,0,2,0,0,2,3,2025-05-27 04:48:59
13203,2025,COL.1,9762,54246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-27 04:49:04
13203,2025,COL.1,5488,66822,2,1,3,0,0,0,0,0,0,0,1,0,0,0,6,2025-05-27 04:49:02
13203,2025,COL.1,6137,70098,1,0,0,0,0,0,0,0,0,0,0,0,10,2,1,2025-05-27 04:48:59
13203,2025,COL.1,6137,70714,10,5,3,8,0,0,0,0,2,1,7,0,0,0,5,2025-05-27 04:48:59
13203,2025,COL.1,5264,70721,11,2,12,13,2,0,0,4,1,8,23,3,0,0,8,2025-05-27 04:48:58
13203,2025,COL.1,2919,70974,20,2,5,9,3,0,0,1,5,22,52,10,0,0,20,2025-05-27 04:49:03
13203,2025,COL.1,6137,73101,6,2,0,2,1,0,0,0,0,1,2,1,0,4,7,2025-05-27 04:48:59
13203,2025,COL.1,5485,75703,11,0,10,4,5,0,0,0,1,0,2,0,0,4,7,2025-05-27 04:49:00
13203,2025,COL.1,5486,76584,16,2,6,15,3,1,0,4,4,13,31,4,0,0,11,2025-05-27 04:49:00
13203,2025,COL.1,5488,77267,7,0,11,6,3,0,0,0,0,0,1,0,0,2,9,2025-05-27 04:49:02
13203,2025,COL.1,7915,77283,12,0,1,3,1,1,0,0,0,1,8,0,0,8,14,2025-05-27 04:49:03
13203,2025,COL.1,5484,87706,6,2,4,7,1,0,0,0,2,5,11,2,0,0,7,2025-05-27 04:49:03
13203,2025,COL.1,5480,92848,10,1,5,4,3,0,0,0,2,2,2,0,0,9,14,2025-05-27 04:48:58
13203,2025,COL.1,4815,98576,14,9,4,15,3,0,0,2,2,3,6,1,0,0,5,2025-05-27 04:48:57
13203,2025,COL.1,5489,98970,17,12,9,8,0,0,0,0,0,1,7,1,0,0,3,2025-05-27 04:48:59
13203,2025,COL.1,9762,104284,15,5,9,16,2,0,0,0,4,7,16,4,0,1,9,2025-05-27 04:49:04
13203,2025,COL.1,5484,106650,3,2,2,0,0,0,0,0,0,1,1,1,0,0,1,2025-05-27 04:49:03
